PeakID (cmd=annotatePeaks.pl GATA2.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_4740	chr12	79347957	79348221	+	0	NA	intron (SYT1, intron 7 of 9)	NA	-71168	MIR1252								
Interval_4897	chr12	100933654	100933784	+	0	NA	intron (ANO4, intron 2 of 26)	NA	139123	ANO4								
Interval_18446	chr7	38310746	38310971	+	0	NA	Intergenic	NA	-20247	LOC102724797								
Interval_4329	chr12	26239712	26239886	+	0	NA	Intergenic	NA	-25022	LOC101928554								
Interval_13884	chr3	108634979	108635315	+	0	NA	intron (DZIP3, intron 10 of 32)	NA	32358	DZIP3								
Interval_6615	chr15	42158620	42158857	+	0	NA	TTS (VPS39)	NA	-7961	PLA2G4F								
Interval_2900	chr10	103918256	103918453	+	0	NA	promoter-TSS (OBFC1)	NA	-67	OBFC1								
Interval_2460	chr10	49290922	49291052	+	0	NA	Intergenic	NA	7906	C10orf71-AS1								
Interval_5546	chr13	67368884	67369043	+	0	NA	Intergenic	NA	-138627	PCDH9								
Interval_1662	chr1	202810588	202810718	+	0	NA	promoter-TSS (PCAT6)	NA	-293	PCAT6								
Interval_15452	chr4	153138266	153138654	+	0	NA	Intergenic	NA	-118899	TRIM2								
Interval_19638	chr8	42152670	42153118	+	0	NA	promoter-TSS (AP3M2)	NA	-52	AP3M2								
Interval_18800	chr7	101075558	101075827	+	0	NA	Intergenic	NA	-9813	TRIM56								
Interval_8569	chr17	70825871	70826001	+	0	NA	Intergenic	NA	376243	CASC17								
Interval_16665	chr5	158954604	158954800	+	0	NA	intron (EBF1, intron 6 of 15)	NA	92980	LOC101927713								
Interval_644	chr1	70220166	70220355	+	0	NA	intron (SRSF11, intron 1 of 14)	NA	14532	SRSF11								
Interval_345	chr1	35062529	35062869	+	0	NA	intron (ZMYM1, intron 1 of 10)	NA	-16664	ZMYM1								
Interval_7967	chr17	10013608	10013920	+	0	NA	intron (GAS7, intron 2 of 13)	NA	22797	GAS7								
Interval_15551	chr4	177002156	177002356	+	0	NA	Intergenic	NA	-209511	VEGFC								
Interval_12036	chr20	25623898	25624066	+	0	NA	promoter-TSS (NANP)	NA	30	NANP								
Interval_14865	chr4	49099348	49099501	+	0	NA	Intergenic	NA	-62596	LOC101927209								
Interval_8244	chr17	40352938	40353119	+	0	NA	intron (RARA, intron 6 of 8)	NA	-10338	RARA-AS1								
Interval_698	chr1	82709227	82709378	+	0	NA	Intergenic	NA	275620	RP11-170N11.1								
Interval_11113	chr2	151907805	151907967	+	0	NA	intron (CACNB4, intron 2 of 13)	NA	-79391	ARL5A								
Interval_2520	chr10	62545782	62545988	+	0	NA	intron (ZNF365, intron 1 of 6)	NA	-170758	LOC283045								
Interval_7939	chr17	8120472	8120637	+	0	NA	promoter-TSS (TRNAR1)	NA	-159	TRNAL2								
Interval_4100	chr12	1711876	1712120	+	0	NA	intron (ADIPOR2, intron 2 of 8)	NA	20917	ADIPOR2								
Interval_3126	chr11	6288274	6288533	+	0	NA	Intergenic	NA	28729	CCKBR								
Interval_14745	chr4	32080106	32080424	+	0	NA	intron (LOC102723828, intron 1 of 2)	NA	82886	LOC102723828								
Interval_7620	chr16	61184770	61184918	+	0	NA	Intergenic	NA	712101	LOC101927605								
Interval_7621	chr16	61253031	61253189	+	0	NA	Intergenic	NA	780367	LOC101927605								
Interval_17341	chr6	48098059	48098356	+	0	NA	Intergenic	NA	-29518	PTCHD4								
Interval_20781	chr9	29290584	29290908	+	0	NA	Intergenic	NA	-77746	LINGO2								
Interval_8228	chr17	39153075	39153373	+	0	NA	promoter-TSS (PLXDC1)	NA	59	PLXDC1								
Interval_10461	chr2	52876586	52876798	+	0	NA	Intergenic	NA	-174077	MIR4431								
Interval_17630	chr6	108261274	108261625	+	0	NA	promoter-TSS (SNX3)	NA	-175	SNX3								
Interval_15916	chr5	56050824	56051392	+	0	NA	Intergenic	NA	55941	FLJ31104								
Interval_9436	chr19	10863495	10863738	+	0	NA	intron (C19orf38, intron 6 of 6)	NA	-8054	CARM1								
Interval_6172	chr14	80801944	80802074	+	0	NA	intron (CEP128, intron 13 of 24)	NA	137531	CEP128								
Interval_19345	chr8	17766344	17766635	+	0	NA	intron (MTUS1, intron 1 of 13)	NA	34731	MTUS1								
Interval_19566	chr8	35560821	35561144	+	0	NA	intron (UNC5D, intron 2 of 16)	NA	11684	UNC5D								
Interval_7420	chr16	29973516	29973735	+	0	NA	promoter-TSS (TAOK2)	NA	-242	TAOK2								
Interval_11607	chr2	218718086	218718229	+	0	NA	intron (TTLL4, intron 1 of 18)	NA	7322	TTLL4								
Interval_2960	chr10	114077477	114077749	+	0	NA	Intergenic	NA	33566	ADRB1								
Interval_36	chr1	5992444	5992695	+	0	NA	promoter-TSS (NPHP4)	NA	-1712	NPHP4								
Interval_9455	chr19	12608039	12608175	+	0	NA	intron (ZNF490, intron 2 of 4)	NA	2702	ZNF490								
Interval_11389	chr2	192679387	192679639	+	0	NA	Intergenic	NA	-70332	PCGEM1								
Interval_2564	chr10	68153636	68153936	+	0	NA	intron (MYPN, intron 7 of 20)	NA	47669	MYPN								
Interval_15228	chr4	107693229	107693363	+	0	NA	intron (PAPSS1, intron 3 of 11)	NA	26967	PAPSS1								
Interval_11034	chr2	139409371	139409518	+	0	NA	Intergenic	NA	512120	YY1P2								
Interval_19535	chr8	31113320	31113861	+	0	NA	intron (WRN, intron 19 of 34)	NA	80328	WRN								
Interval_1065	chr1	123886176	123886314	+	0	NA	Intergenic	NA	2367133	EMBP1								
Interval_21141	chr9	112180406	112180642	+	0	NA	Intergenic	NA	-5227	SUSD1								
Interval_3632	chr11	73154300	73154540	+	0	NA	Intergenic	NA	-12322	FCHSD2								
