chrom	start	end	peak_number	foldchange	-log10pvalue	-log10qvalue	relative_summit_pos
chr1	1059429	1059788	28	12.87878	35.19024	31.70003	217
chr1	1214811	1214999	39	5.04629	7.55962	4.95595	42
chr1	1216795	1216953	40	5.2589	7.8982800000000015	5.27054	66
chr1	1435739	1435897	50	4.94212	7.11464	4.53152	38
chr1	1471544	1471902	53	7.92541	17.26609	14.24425	152
chr1	1573922	1574166	56	4.82066	6.92306	4.35578	119
chr1	1615702	1616002	62	6.8627699999999985	11.48851	8.68155	121
chr1	1692704	1693294	65	5.55296	9.004430000000003	6.31281	151
chr1	1778365	1778523	71	4.8463699999999985	7.532710000000002	4.92923	74
chr1	1780380	1780697	74	19.13721	62.22867	58.25046999999999	179
chr1	2025788	2026008	82	3.95809	6.825989999999999	4.27229	133
chr1	2126636	2126820	84	4.9249800000000015	7.9680399999999985	5.3388300000000015	121
chr1	2199339	2199497	92	3.9627	5.80311	3.3199300000000003	93
chr1	2275946	2276134	101	5.0327	7.257560000000002	4.66999	75
chr1	2556655	2556879	115	2.96857	4.08996	1.7597599999999998	21
chr1	2585504	2585662	117	3.30225	4.28263	1.9329	5
chr1	2789096	2789254	121	4.62315	7.45915	4.8600400000000015	52
chr1	3454540	3454781	135	5.88304	9.20566	6.50928	130
chr1	3716988	3717161	145	6.5518	11.3648	8.56204	108
chr1	3772379	3772874	147	13.03625	30.17782	26.80261	152
chr1	3796407	3796762	149	7.13952	13.15166	10.27532	202
chr1	3842958	3843234	152	3.39434	4.84054	2.44286	245
chr1	6056414	6056597	178	3.8628	4.96183	2.5431	71
chr1	6789011	6789169	213	3.9664	5.33485	2.88225	128
chr1	6962252	6963476	216	9.328494999999998	30.22175	26.84435	312
chr1	7111289	7111447	219	3.94418	5.08718	2.65666	58
chr1	7117480	7117686	222	4.47357	6.64025	4.0959	117
chr1	8283353	8283511	257	5.18473	7.49771	4.89618	81
chr1	8817860	8818034	271	4.50436	6.42357	3.893380000000001	143
chr1	8873652	8873810	273	4.65715	6.66505	4.1177	109
chr1	9007807	9007965	282	5.73283	9.29726	6.59191	48
chr1	9064451	9064615	283	4.95338	8.33222	5.67935	94
chr1	9120328	9120539	292	5.98033	10.79217	8.02303	118
chr1	9129093	9129782	293	15.7767	38.22985	34.67454	129
chr1	9292722	9292941	310	4.65715	6.66505	4.1177	65
chr1	9296963	9297137	311	5.55296	9.004430000000003	6.31281	106
chr1	9588492	9588951	319	13.10126	29.64916	26.28305	209
chr1	9628533	9628779	323	3.6772	5.55754	3.09058	105
chr1	9764723	9764999	335	4.33674	5.91361	3.41646	215
chr1	9943255	9943632	344	9.42678	17.85259	14.81059	129
chr1	10430600	10431044	363	7.45011	13.24261	10.36125	147
chr1	10646173	10646496	372	5.37437	10.45117	7.691139999999999	194
chr1	10965690	10965848	379	4.1057	6.03964	3.5357199999999995	121
chr1	10986567	10986796	381	4.82066	6.92306	4.35578	108
chr1	11051975	11052178	385	3.9627	5.80311	3.3199300000000003	113
chr1	11262711	11262907	390	3.71071	6.09937	3.5934	105
chr1	11934619	11934824	416	4.95338	8.33222	5.67935	102
chr1	12148215	12148382	430	3.4633300000000005	5.39995	2.9447400000000004	136
chr1	12153206	12153422	431	2.97203	3.5804400000000003	1.32756	83
chr1	12157948	12158198	432	5.15632	8.03704	5.398	141
chr1	12194762	12194935	437	4.22141	6.22969	3.71025	72
chr1	12296693	12297018	440	4.52579	7.8878	5.26716	149
chr1	12420260	12420418	442	4.95338	8.33222	5.67935	116
chr1	14731945	14732103	468	5.15425	8.03369	5.398	61
chr1	14739607	14739858	469	5.59196	9.41023	6.70223	132
chr1	14924014	14924173	474	3.82336	4.90109	2.49756	68
chr1	15231761	15231962	479	6.83771	11.44788	8.641689999999999	84
chr1	15362799	15363113	486	6.93473	14.09789	11.1899	111
chr1	15829876	15830059	508	5.5507300000000015	9.00078	6.31281	77
chr1	15834392	15834600	510	4.75968	7.1013	4.51853	81
chr1	16217481	16217713	526	8.89568	20.02657	16.919929999999994	61
chr1	17009809	17010009	552	4.29293	6.6154199999999985	4.07253	76
chr1	17028826	17029067	557	5.9496	10.00133	7.264769999999999	139
chr1	17059699	17059927	559	6.74017	12.07199	9.24931	112
chr1	17565598	17565777	580	3.6772	5.55754	3.09058	82
chr1	18902748	18903032	597	5.37437	10.45117	7.691139999999999	131
chr1	18924319	18924529	598	3.6772	5.55754	3.09058	73
chr1	19124046	19124269	604	4.52542	6.20815	3.68939	85
chr1	19314304	19314548	610	5.9272800000000005	9.61252	6.89565	86
chr1	19469454	19469642	617	5.79178	10.10064	7.356210000000001	111
chr1	19505706	19505878	621	4.08769	5.30851	2.86801	73
chr1	19505959	19506127	622	4.62315	7.45915	4.8600400000000015	20
chr1	20119837	20120012	636	5.2836	9.23283	6.53139	102
chr1	20166217	20166404	641	5.88734	9.54786	6.83771	117
chr1	20633356	20633517	653	5.96776	9.67802	6.95984	106
chr1	21338116	21338311	673	4.36304	6.19962	3.68121	49
chr1	21866116	21866473	694	5.83847	10.92447	8.15215	100
chr1	21883136	21883298	696	4.83455	7.2213	4.63441	65
chr1	22794862	22795125	716	6.27428	12.08451	9.25263	126
chr1	23531268	23531582	737	8.06976	16.07183	13.09086	125
chr1	23743287	23743597	746	6.59875	10.69613	7.929589999999999	201
chr1	23825376	23825591	754	7.63727	18.1882	15.13815	150
chr1	23868307	23868515	759	5.52263	8.62761	5.96442	95
chr1	23908836	23909093	763	5.09151	9.57319	6.85982	143
chr1	24189626	24189977	771	3.6772	5.55754	3.09058	93
chr1	24198005	24198287	775	5.9496	10.00133	7.264769999999999	157
chr1	24481156	24481403	783	7.88835	14.39177	11.46729	71
chr1	24501267	24501506	784	3.73675	6.64582	4.10065	132
chr1	24502792	24503051	785	4.95338	8.33222	5.67935	152
chr1	24846620	24846868	798	3.56976	4.51031	2.13461	128
chr1	24957111	24957297	806	5.1056	7.95485	5.32672	86
chr1	24997623	24997985	810	6.5518	11.3648	8.56204	123
chr1	25247933	25248129	833	4.65715	6.66505	4.1177	43
chr1	25898284	25898458	860	5.9496	10.00133	7.264769999999999	126
chr1	25923094	25923292	863	3.9664	5.33485	2.88225	89
chr1	26288623	26288790	883	5.55296	9.004430000000003	6.31281	28
chr1	26471929	26472245	897	3.39434	4.84054	2.44286	211
chr1	26538041	26538228	902	4.97919	7.45255	4.85878	96
chr1	26555610	26555844	906	3.9664	5.33485	2.88225	71
chr1	26692227	26692839	913	6.34624	11.0259	8.243260000000001	193
chr1	26787804	26788272	922	8.72257	17.66787	14.63371	191
chr1	26900508	26900667	929	5.90119	8.92176	6.2456	51
chr1	27339359	27339565	950	4.62315	7.45915	4.8600400000000015	63
chr1	27341857	27342027	952	4.09488	5.53592	3.07448	73
chr1	27365488	27365712	954	8.06976	16.07183	13.09086	101
chr1	27365816	27366037	955	5.73283	9.29726	6.59191	47
chr1	27392368	27392674	958	6.53267	11.72599	8.91414	128
chr1	27478299	27478457	964	4.08769	5.30851	2.86801	66
chr1	27607403	27607561	973	4.20547	7.57828	4.97293	25
chr1	27622314	27622479	975	6.2450199999999985	10.12573	7.38088	96
chr1	27662782	27662940	985	3.56795	4.91879	2.50226	143
chr1	27872360	27872545	995	3.96007	6.3057300000000005	3.77982	85
chr1	27884747	27884998	997	4.62315	7.45915	4.8600400000000015	129
chr1	28123473	28123733	1012	7.13952	13.15166	10.27532	130
chr1	28135448	28135661	1014	4.36304	6.19962	3.68121	123
chr1	28236068	28236291	1022	3.86962	5.41017	2.95384	50
chr1	28392082	28392282	1032	4.62315	7.45915	4.8600400000000015	58
chr1	28505806	28506279	1037	7.26495	15.13508	12.18707	206
chr1	28506457	28506638	1038	4.75968	7.1013	4.51853	47
chr1	28518153	28518488	1039	4.29293	6.6154199999999985	4.07253	128
chr1	28774999	28775276	1053	4.59481	6.56658	4.0305	203
