PeakID (cmd=annotatePeaks.pl GFI1.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_1717	chr12	78636434	78636738	+	0	NA	Intergenic	NA	-228083	SYT1								
Interval_3646	chr19	49019480	49019630	+	0	NA	promoter-TSS (LOC101059948)	NA	-71	LOC101059948								
Interval_49	chr1	16158125	16158299	+	0	NA	TTS (LOC101927479)	NA	-2125	EPHA2								
Interval_6429	chr6	73455857	73456172	+	0	NA	Intergenic	NA	-3684	MB21D1								
Interval_4955	chr3	47017203	47017359	+	0	NA	intron (SETD2, intron 20 of 20)	NA	5739	NRADDP								
Interval_1619	chr12	39619956	39620337	+	0	NA	promoter-TSS (ABCD2)	NA	-105	ABCD2								
Interval_5670	chr4	155953877	155954160	+	0	NA	promoter-TSS (CTSO)	NA	-122	CTSO								
Interval_3434	chr19	4146041	4146240	+	0	NA	Intergenic	NA	-7461	CREB3L3								
Interval_1991	chr13	76882398	76882908	+	0	NA	exon (KCTD12, exon 1 of 1)	NA	3752	KCTD12								
Interval_1536	chr12	10153537	10153840	+	0	NA	Intergenic	NA	18450	OLR1								
Interval_6885	chr7	73237409	73237616	+	0	NA	Intergenic	NA	16873	NCF1B								
Interval_7669	chr9	14640620	14640927	+	0	NA	intron (ZDHHC21, intron 7 of 9)	NA	42813	ZDHHC21								
Interval_2911	chr17	26885757	26885806	+	0	NA	Intergenic	NA	408215	MIR4522								
Interval_5906	chr5	77629276	77629736	+	0	NA	exon (OTP, exon 3 of 3)	NA	9191	OTP								
Interval_7120	chr8	8346601	8346916	+	0	NA	intron (SGK223, intron 3 of 5)	NA	39322	SGK223								
Interval_150	chr1	40385720	40385884	+	0	NA	intron (SMAP2, intron 1 of 9)	NA	11169	SMAP2								
Interval_6221	chr6	7151520	7151664	+	0	NA	intron (RREB1, intron 2 of 13)	NA	43535	RREB1								
Interval_7715	chr9	33880317	33880484	+	0	NA	intron (UBE2R2, intron 1 of 3)	NA	53975	SNORD121B								
