chr	start	end	interval_id	num_peaks	num_samples	DFAM71927V3_1_745_R1.bool	MV411_4_321_R1.bool	DFAM71927V3_1_745_R1.fc	MV411_4_321_R1.fc	DFAM71927V3_1_745_R1.qval	MV411_4_321_R1.qval	DFAM71927V3_1_745_R1.pval	MV411_4_321_R1.pval	DFAM71927V3_1_745_R1.start	MV411_4_321_R1.start	DFAM71927V3_1_745_R1.end	MV411_4_321_R1.end	DFAM71927V3_1_745_R1.summit	MV411_4_321_R1.summit
chr1	9982	10031	Interval_1	1	1	TRUE	FALSE	8.24196	NA	8.08072	NA	13.12859	NA	9982	NA	10031	NA	40	NA
chr1	180740	180809	Interval_2	1	1	TRUE	FALSE	6.21565	NA	4.36831	NA	9.15711	NA	180740	NA	180809	NA	30	NA
chr1	817174	817504	Interval_3	1	1	FALSE	TRUE	NA	22.34805	NA	54.75978	NA	59.54357	NA	817174	NA	817504	NA	204
chr1	905122	905351	Interval_4	1	1	FALSE	TRUE	NA	7.2219	NA	9.49654	NA	13.28909	NA	905122	NA	905351	NA	94
chr1	1857318	1857616	Interval_5	1	1	FALSE	TRUE	NA	7.2219	NA	9.49654	NA	13.28909	NA	1857318	NA	1857616	NA	86
chr1	1869624	1869814	Interval_6	1	1	FALSE	TRUE	NA	3.32035	NA	1.93675	NA	5.13114	NA	1869624	NA	1869814	NA	92
chr1	4154882	4154942	Interval_7	1	1	TRUE	FALSE	15.1152	NA	24.28867	NA	29.97273	NA	4154882	NA	4154942	NA	37	NA
chr1	4222234	4222379	Interval_8	1	1	FALSE	TRUE	NA	5.00179	NA	4.03673	NA	7.48862	NA	4222234	NA	4222379	NA	30
chr1	4312103	4312350	Interval_9	1	1	FALSE	TRUE	NA	7.7534	NA	9.92683	NA	13.73902	NA	4312103	NA	4312350	NA	129
chr1	6037557	6037733	Interval_10	1	1	FALSE	TRUE	NA	5.08267	NA	4.42509	NA	7.91767	NA	6037557	NA	6037733	NA	122
chr1	6240460	6240809	Interval_11	1	1	FALSE	TRUE	NA	16.85111	NA	39.90275	NA	44.4771	NA	6240460	NA	6240809	NA	175
chr1	6901221	6901390	Interval_12	1	1	FALSE	TRUE	NA	5.99868	NA	6.11976	NA	9.72801	NA	6901221	NA	6901390	NA	109
chr1	7070295	7070580	Interval_13	1	1	FALSE	TRUE	NA	9.81014	NA	17.02099	NA	21.08954	NA	7070295	NA	7070580	NA	180
chr1	7913420	7913640	Interval_14	1	1	FALSE	TRUE	NA	5.68538	NA	5.32762	NA	8.88883	NA	7913420	NA	7913640	NA	76
chr1	8019997	8020386	Interval_15	1	1	FALSE	TRUE	NA	9.23559	NA	20.31037	NA	24.47683	NA	8019997	NA	8020386	NA	192
