PeakID (cmd=annotatePeaks.pl JUND.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_1168	chr17	26679956	26680150	+	0	NA	Intergenic	NA	613943	MIR4522								
Interval_1332	chr18	51236258	51236497	+	0	NA	Intergenic	NA	-38696	MEX3C								
Interval_446	chr10	125973363	125973563	+	0	NA	promoter-TSS (FANK1)	NA	-190	FANK1-AS1								
Interval_1860	chr20	23225415	23225671	+	0	NA	Intergenic	NA	37921	LOC100505664								
Interval_3040	chr8	32487127	32487391	+	0	NA	intron (NRG1, intron 1 of 4)	NA	46513	NRG1-IT3								
Interval_276	chr1	229508389	229508562	+	0	NA	promoter-TSS (NUP133)	NA	45	RP4-613A2.1								
Interval_1388	chr18	77065199	77065756	+	0	NA	intron (MBP, intron 2 of 6)	NA	67341	MBP								
Interval_876	chr14	77097931	77098277	+	0	NA	promoter-TSS (CIPC)	NA	-131	CIPC								
Interval_3017	chr8	22109606	22109818	+	0	NA	promoter-TSS (NUDT18)	NA	-293	NUDT18								
Interval_2679	chr6	30033416	30033741	+	0	NA	intron (ZNRD1-AS1, intron 5 of 5)	NA	-19656	HCG8								
Interval_2489	chr5	80125966	80126294	+	0	NA	intron (SERINC5, intron 11 of 12)	NA	-42465	CTD-2201I18.1								
Interval_2487	chr5	78907316	78907555	+	0	NA	intron (ARSB, intron 4 of 4)	NA	79099	ARSB								
Interval_71	chr1	62622121	62622404	+	0	NA	intron (DOCK7, intron 12 of 48)	NA	24775	ANGPTL3								
Interval_2066	chr3	16511929	16512141	+	0	NA	intron (RFTN1, intron 1 of 9)	NA	882	RFTN1								
Interval_3070	chr8	43237839	43238057	+	0	NA	Intergenic	NA	-54494	POTEA								
Interval_453	chr10	133259266	133259607	+	0	NA	Intergenic	NA	-11551	MIR202HG								
Interval_2501	chr5	88827242	88827422	+	0	NA	intron (MEF2C, intron 2 of 11)	NA	55882	MEF2C								
Interval_1142	chr17	7307430	7307618	+	0	NA	promoter-TSS (EIF5A)	NA	-851	EIF5A								
Interval_1660	chr2	65366703	65366919	+	0	NA	promoter-TSS (SPRED2)	NA	65788	SPRED2								
Interval_738	chr12	106288513	106288804	+	0	NA	Intergenic	NA	-14136	TCP11L2								
Interval_1410	chr19	2270775	2271027	+	0	NA	intron (OAZ1, intron 1 of 4)	NA	1380	OAZ1								
Interval_1671	chr2	70142634	70142999	+	0	NA	Intergenic	NA	-17500	LOC100133985								
Interval_1980	chr22	10753294	10753505	+	0	NA	Intergenic	NA	191606	LOC102723780								
Interval_614	chr11	124913031	124913204	+	0	NA	Intergenic	NA	-6133	HEPN1								
Interval_2183	chr3	125125838	125126061	+	0	NA	intron (SLC12A8, intron 5 of 12)	NA	25547	MIR5092								
Interval_888	chr14	89000638	89000848	+	0	NA	Intergenic	NA	21645	TRNAA17								
Interval_1915	chr20	58623931	58624141	+	0	NA	Intergenic	NA	-27217	STX16								
Interval_1929	chr21	10692826	10692899	+	0	NA	Intergenic	NA	171325	TPTE								
Interval_1020	chr16	10738838	10739128	+	0	NA	Intergenic	NA	-4803	NUBP1								
Interval_400	chr10	89086792	89087139	+	0	NA	Intergenic	NA	-23554	MIR4679-2								
