chr	TargetGene	TargetGeneTSS	geneIsExpressed	geneFailed	nEnhancersConsidered	nDistalEnhancersPredicted
chr1	A3GALT2	33786699	False	False	131	8.0
chr1	AADACL3	12776117	False	False	153	6.0
chr1	AADACL4	12704565	False	False	155	7.0
chr1	ABCA4	94586705	False	False	59	9.0
chr1	ABCB10	229694442	True	False	105	12.0
chr1	ABCD3	94883932	True	False	52	17.0
chr1	ABL2	179198819	True	False	86	16.0
chr1	ACADM	76190031	True	False	26	11.0
chr1	ACAP3	1243269	True	False	103	8.0
chr1	ACBD3	226374423	True	False	116	12.0
chr1	ACBD6	180472022	True	False	92	14.0
chr1	ACKR1	159173802	False	False	174	5.0
chr1	ACOT11	55013806	True	False	65	15.0
chr1	ACOT7	6453826	True	False	158	7.0
chr1	ACP6	147142665	True	False	120	5.0
chr1	ACTA1	229569843	False	False	102	7.0
chr1	ACTG1P20	27650364	True	False	210	7.0
chr1	ACTG1P4	104112025	True	False	47	19.0
chr1	ACTL8	18081807	False	False	120	12.0
chr1	ACTN2	236849753	False	False	72	13.0
chr1	ACTRT2	2938045	False	False	128	10.0
chr1	ADAM15	155023747	True	False	208	9.0
chr1	ADAM30	120439147	False	False	46	19.0
chr1	ADAMTS4	161168843	False	False	128	8.0
chr1	ADAMTSL4	150521844	True	False	179	10.0
chr1	ADAMTSL4-AS1	150547028	True	False	179	7.0
chr1	ADAR	154580724	True	False	208	5.0
chr1	ADCY10	167883464	False	False	66	14.0
chr1	ADGRB2	32229664	False	False	155	12.0
chr1	ADGRL2	82266081	False	False	43	17.0
chr1	ADGRL4	79472495	False	False	28	13.0
chr1	ADIPOR1	202927524	True	False	127	9.0
chr1	ADORA1	203096835	False	False	129	10.0
chr1	ADORA3	112046743	False	False	128	12.0
chr1	ADPRHL2	36554452	True	False	152	9.0
chr1	ADSS	244615436	False	False	70	9.0
chr1	AGBL4	50489626	False	False	88	15.0
chr1	AGBL4-IT1	49937757	False	False	88	14.0
chr1	AGL	100316044	True	False	34	12.0
chr1	AGMAT	15911605	True	False	131	11.0
chr1	AGO1	36348795	True	False	155	9.0
chr1	AGO3	36396682	True	False	157	5.0
chr1	AGO4	36273827	True	False	155	9.0
chr1	AGRN	955502	True	False	96	9.0
chr1	AGT	230850336	True	False	124	10.0
chr1	AGTRAP	11796141	True	False	145	8.0
chr1	AHCTF1	247095280	True	False	59	12.0
chr1	AHCYL1	110527386	True	False	116	5.0
chr1	AHDC1	27930005	True	False	213	6.0
chr1	AIDA	222885864	True	False	90	10.0
chr1	AIM1L	26680621	False	False	204	5.0
chr1	AIM2	159046691	False	False	175	7.0
chr1	AJAP1	4715104	False	False	160	6.0
chr1	AK2	33502512	True	False	139	9.0
chr1	AK4	65613849	True	False	49	12.0
chr1	AK5	77748286	True	False	23	8.0
chr1	AKIRIN1	39456915	True	False	149	6.0
chr1	AKNAD1	109399726	False	False	108	10.0
chr1	AKR1A1	46016454	True	False	116	11.0
chr1	AKR7A2	19638640	True	False	147	6.0
chr1	AKR7A2P1	113465971	False	False	133	11.0
chr1	AKR7A3	19615280	True	False	147	7.0
chr1	AKR7L	19600616	True	False	147	2.0
chr1	AKT3	244006584	True	False	71	10.0
chr1	ALDH4A1	19229293	True	False	142	8.0
chr1	ALDH9A1	165667900	True	False	101	10.0
chr1	ALG14	95538507	False	False	60	17.0
chr1	ALG6	63833260	True	False	47	14.0
chr1	ALPL	21835850	False	False	175	11.0
chr1	ALX3	110613322	False	False	116	7.0
chr1	AMIGO1	110052336	False	False	112	9.0
chr1	AMPD1	115238239	False	False	105	13.0
chr1	AMPD2	110162434	True	False	114	7.0
chr1	AMY2A	104159953	False	False	48	13.0
chr1	AMY2B	104097265	True	False	46	18.0
chr1	ANGEL2	213189217	True	False	75	15.0
chr1	ANGPTL1	178840215	False	False	84	17.0
chr1	ANGPTL3	63063157	False	False	50	17.0
chr1	ANGPTL7	11249345	False	False	145	8.0
chr1	ANKRD13C	70820417	True	False	37	17.0
chr1	ANKRD20A12P	142713605	False	False	37	22.0
chr1	ANKRD34A	145470507	False	False	69	7.0
chr1	ANKRD35	145549208	True	False	72	19.0
chr1	ANKRD36BP1	168216668	True	False	67	9.0
chr1	ANKRD45	173639001	False	False	58	11.0
