PeakID (cmd=annotatePeaks.pl GSE1.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_13	chr1	90990069	90990156	+	0	NA	intron (ZNF644, intron 1 of 5)	NA	31696	LOC102723410								
Interval_375	chr17_KI270729v1_random	27762	27838	+	0	NA	NA	NA	NA	NA								
Interval_151	chr10	113321115	113321255	+	0	NA	Intergenic	NA	191879	TCF7L2								
Interval_223	chr13	16633698	16633798	+	0	NA	Intergenic	NA	-1561549	FAM230C								
Interval_688	chr7	11444140	11444186	+	0	NA	intron (THSD7A, intron 13 of 25)	NA	388034	THSD7A								
Interval_607	chr5	32201253	32201329	+	0	NA	Intergenic	NA	-26972	GOLPH3								
Interval_225	chr13	16742934	16743010	+	0	NA	Intergenic	NA	-1452325	FAM230C								
Interval_811	chrUn_KI270333v1	30	154	+	0	NA	NA	NA	NA	NA								
Interval_450	chr2	131146192	131146320	+	0	NA	intron (PLEKHB2, intron 8 of 8)	NA	41409	PLEKHB2								
Interval_524	chr3	106345310	106345592	+	0	NA	Intergenic	NA	40300	LOC101929485								
Interval_825	chrUn_KI270442v1	77	200	+	0	NA	Intergenic	NA	-245166	LOC102724902								
Interval_794	chr9	137032000	137032135	+	0	NA	exon (FUT7, exon 1 of 2)	NA	773	FUT7								
Interval_103	chr1	197354779	197354855	+	0	NA	intron (CRB1, intron 4 of 11)	NA	86613	CRB1								
Interval_638	chr5	143002921	143003107	+	0	NA	intron (ARHGAP26, intron 11 of 22)	NA	-134104	ARHGAP26-AS1								
Interval_113	chr1	230973092	230973243	+	0	NA	intron (TTC13, intron 1 of 20)	NA	5705	TTC13								
Interval_333	chr16	78541373	78541449	+	0	NA	intron (WWOX, intron 8 of 8)	NA	-299945	LOC102724047								
Interval_245	chr13	101641754	101641865	+	0	NA	intron (ITGBL1, intron 6 of 9)	NA	189216	ITGBL1								
Interval_173	chr11	62109007	62109264	+	0	NA	Intergenic	NA	-14838	INCENP								
Interval_213	chr12	107799208	107799284	+	0	NA	Intergenic	NA	24861	ASCL4								
Interval_626	chr5	89293950	89294093	+	0	NA	Intergenic	NA	-389916	MEF2C								
Interval_90	chr1	143265684	143265854	+	0	NA	Intergenic	NA	40590	LOC101929814								
Interval_459	chr2	155446873	155446960	+	0	NA	Intergenic	NA	577699	AC093375.1								
Interval_54	chr1	124530304	124530391	+	0	NA	Intergenic	NA	3011235	EMBP1								
Interval_557	chr4	49109496	49109572	+	0	NA	Intergenic	NA	-52486	LOC101927209								
Interval_508	chr3	10845050	10845286	+	0	NA	intron (SLC6A11, intron 5 of 13)	NA	28936	SLC6A11								
Interval_389	chr18	24711662	24711738	+	0	NA	Intergenic	NA	83518	RP11-449D8.1								
Interval_142	chr10	62606524	62606601	+	0	NA	intron (ZNF365, intron 1 of 6)	NA	-198194	ADO								
Interval_714	chr7	124268080	124268156	+	0	NA	Intergenic	NA	83978	RP5-921G16.2								
