PeakID (cmd=annotatePeaks.pl HOXA9.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_881	chr3	183876563	183876938	+	0	NA	intron (PARL, intron 1 of 8)	NA	8151	PARL								
Interval_1391	chrUn_KI270438v1	105491	105610	+	0	NA	NA	NA	NA	NA								
Interval_1014	chr5	79561110	79561544	+	0	NA	Intergenic	NA	-47491	HOMER1								
Interval_867	chr3	143998339	143998607	+	0	NA	Intergenic	NA	26675	C3orf58								
Interval_802	chr22_KI270733v1_random	151323	151576	+	0	NA	Intergenic	NA	8652	LOC102724621								
Interval_1361	chr9	130061857	130062176	+	0	NA	intron (GPR107, intron 1 of 17)	NA	8310	GPR107								
Interval_968	chr4	147840939	147841240	+	0	NA	intron (ARHGAP10, intron 3 of 21)	NA	-6065	ARHGAP10								
Interval_86	chr1	171828773	171829249	+	0	NA	Intergenic	NA	-12484	DNM3								
Interval_894	chr4	3954552	3954841	+	0	NA	intron (FAM86EP, intron 1 of 5)	NA	725	FAM86EP								
Interval_925	chr4	49149636	49149796	+	0	NA	Intergenic	NA	-11616	LOC101927209								
Interval_847	chr3	111555870	111556056	+	0	NA	intron (CD96, intron 2 of 15)	NA	13884	CD96								
Interval_429	chr16	34590833	34591022	+	0	NA	Intergenic	NA	158935	LOC102724523								
Interval_852	chr3	119624349	119624627	+	0	NA	intron (PLA1A, intron 8 of 10)	NA	26640	PLA1A								
Interval_1163	chr7	62454627	62454917	+	0	NA	Intergenic	NA	849284	ZNF733P								
Interval_1183	chr7	107998163	107998557	+	0	NA	exon (LAMB1, exon 4 of 34)	NA	4999	LAMB1								
Interval_1224	chr8	36502856	36503261	+	0	NA	Intergenic	NA	-281266	KCNU1								
Interval_83	chr1	168504095	168504448	+	0	NA	Intergenic	NA	-8627	RP5-968D22.3								
Interval_161	chr10	76306801	76307192	+	0	NA	intron (C10orf11, intron 4 of 5)	NA	-581008	LOC101929328								
Interval_808	chr3	9238849	9239033	+	0	NA	intron (SRGAP3, intron 1 of 21)	NA	10744	SRGAP3								
Interval_76	chr1	153671165	153671426	+	0	NA	promoter-TSS (ILF2)	NA	45	TRNAM3								
Interval_1031	chr5	125272438	125272708	+	0	NA	intron (RP11-257I8.2, intron 4 of 5)	NA	-220688	RP11-756H20.1								
Interval_496	chr17	51457058	51457241	+	0	NA	Intergenic	NA	120434	FLJ42842								
Interval_1265	chr8	96620887	96621355	+	0	NA	Intergenic	NA	-24106	CPQ								
