chr	start	end	interval_id	num_peaks	num_samples	MV411_1_773_R1.bool	MV411_2_774_R1.bool	MV411_1_773_R1.fc	MV411_2_774_R1.fc	MV411_1_773_R1.qval	MV411_2_774_R1.qval	MV411_1_773_R1.pval	MV411_2_774_R1.pval	MV411_1_773_R1.start	MV411_2_774_R1.start	MV411_1_773_R1.end	MV411_2_774_R1.end	MV411_1_773_R1.summit	MV411_2_774_R1.summit	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1	838218	838707	Interval_1	1	1	TRUE	FALSE	13.33608	NA	49.29614	NA	54.71038	NA	838218	NA	838707	NA	180	NA	NA	intron (LINC01128, intron 2 of 3)	NA	10872	LINC01128								
chr1	8047897	8048214	Interval_2	1	1	TRUE	FALSE	6.22121	NA	7.58669	NA	11.92579	NA	8047897	NA	8048214	NA	161	NA	NA	Intergenic	NA	-21748	ERRFI1								
chr1	8121349	8121734	Interval_3	1	1	TRUE	FALSE	8.90647	NA	24.72147	NA	29.6308	NA	8121349	NA	8121734	NA	179	NA	NA	Intergenic	NA	-81222	LOC102724539								
chr1	9075089	9075285	Interval_4	1	1	TRUE	FALSE	4.45659	NA	4.4586	NA	8.58456	NA	9075089	NA	9075285	NA	135	NA	NA	Intergenic	NA	-5861	SLC2A5								
chr1	10898397	10898700	Interval_5	1	1	TRUE	FALSE	7.22627	NA	16.87874	NA	21.58403	NA	10898397	NA	10898700	NA	143	NA	NA	Intergenic	NA	83488	C1orf127								
chr1	11384188	11384540	Interval_6	2	2	TRUE	TRUE	12.98428	6.23657	40.66411	5.10048	45.91065	10.11211	11384188	11384328	11384540	11384426	185	53	NA	Intergenic	NA	-94874	PTCHD2								
chr1	11908403	11908597	Interval_7	1	1	TRUE	FALSE	3.73072	NA	3.67876	NA	7.73977	NA	11908403	NA	11908597	NA	79	NA	NA	TTS (RNU5E-1)	NA	346	RNU5E-1								
chr1	15627575	15628043	Interval_8	2	2	TRUE	TRUE	14.62539	9.4541	39.85839	10.23155	45.08712	15.48201	15627575	15627757	15628043	15627881	250	66	NA	intron (DDI2, intron 2 of 9)	NA	10351	DDI2								
chr1	16249741	16250000	Interval_9	1	1	TRUE	FALSE	3.65723	NA	5.17898	NA	9.36461	NA	16249741	NA	16250000	NA	171	NA	NA	TTS (FBXO42)	NA	-12707	RSG1								
chr1	17060621	17060805	Interval_10	1	1	TRUE	FALSE	4.01863	NA	3.90997	NA	7.99138	NA	17060621	NA	17060805	NA	103	NA	NA	Intergenic	NA	-6543	SDHB								
chr1	20446588	20446806	Interval_11	1	1	TRUE	FALSE	6.53262	NA	10.55795	NA	15.03394	NA	20446588	NA	20446806	NA	129	NA	NA	Intergenic	NA	-17903	LINC01141								
chr1	21022208	21022668	Interval_12	2	2	TRUE	TRUE	8.10742	6.5578	28.83393	4.98153	33.83296	9.98405	21022208	21022399	21022668	21022534	230	37	NA	intron (EIF4G3, intron 1 of 30)	NA	-34006	MIR1256								
chr1	25624314	25624550	Interval_13	1	1	TRUE	FALSE	5.99792	NA	9.50025	NA	13.93117	NA	25624314	NA	25624550	NA	141	NA	NA	intron (MAN1C1, intron 1 of 11)	NA	-62009	MAN1C1								
chr1	26315423	26315660	Interval_14	1	1	TRUE	FALSE	7.4593	NA	12.10509	NA	16.64315	NA	26315423	NA	26315660	NA	89	NA	NA	intron (UBXN11, intron 1 of 14)	NA	-2378	CD52								
chr1	28392011	28392344	Interval_15	1	1	TRUE	FALSE	4.78235	NA	5.97894	NA	10.22378	NA	28392011	NA	28392344	NA	182	NA	NA	promoter-TSS (PHACTR4)	NA	-45969	PHACTR4								
chr1	28648803	28649038	Interval_16	1	1	TRUE	FALSE	5.30999	NA	5.02144	NA	9.19631	NA	28648803	NA	28649038	NA	85	NA	NA	TTS (RNU11)	NA	321	RNU11								
chr1	31524287	31524594	Interval_17	2	2	TRUE	TRUE	6.83958	6.10056	11.69447	3.7568	16.22055	8.65263	31524287	31524378	31524594	31524447	153	21	NA	TTS (RP11-439L8.4)	NA	6006	RP11-439L8.4								
chr1	32825149	32825492	Interval_18	1	1	TRUE	FALSE	5.40515	NA	6.65386	NA	10.92847	NA	32825149	NA	32825492	NA	160	NA	NA	promoter-TSS (S100PBP)	NA	-7289	YARS								
chr1	35279349	35279591	Interval_19	1	1	TRUE	FALSE	7.56087	NA	12.87906	NA	17.44499	NA	35279349	NA	35279591	NA	104	NA	NA	intron (ZMYM4, intron 1 of 29)	NA	10503	ZMYM4								
chr1	38334938	38335178	Interval_20	1	1	TRUE	FALSE	7.17107	NA	18.91471	NA	23.6783	NA	38334938	NA	38335178	NA	91	NA	NA	Intergenic	NA	-120291	RP11-214L19.1								
chr1	38816090	38816393	Interval_21	1	1	TRUE	FALSE	7.31656	NA	14.55752	NA	19.18333	NA	38816090	NA	38816393	NA	151	NA	NA	Intergenic	NA	43581	RRAGC								
chr1	39892718	39893003	Interval_22	1	1	TRUE	FALSE	6.78562	NA	17.35175	NA	22.06803	NA	39892718	NA	39893003	NA	121	NA	NA	Intergenic	NA	9154	MYCL								
chr1	42709141	42709210	Interval_23	1	1	FALSE	TRUE	NA	6.01557	NA	5.44899	NA	10.47636	NA	42709141	NA	42709210	NA	29	NA	Intergenic	NA	26781	YBX1								
chr1	42937176	42937535	Interval_24	1	1	TRUE	FALSE	8.14771	NA	15.61377	NA	20.27581	NA	42937176	NA	42937535	NA	188	NA	NA	intron (SLC2A1, intron 2 of 9)	NA	-21693	SLC2A1-AS1								
chr1	46370259	46370529	Interval_25	1	1	TRUE	FALSE	5.64463	NA	9.73669	NA	14.17451	NA	46370259	NA	46370529	NA	104	NA	NA	Intergenic	NA	-23873	FAAH								
chr1	46581840	46582090	Interval_26	1	1	TRUE	FALSE	5.30853	NA	6.47522	NA	10.73977	NA	46581840	NA	46582090	NA	86	NA	NA	intron (MKNK1, intron 3 of 10)	NA	-2461	LOC101929673								
chr1	46826940	46827208	Interval_27	1	1	TRUE	FALSE	7.88725	NA	15.71712	NA	20.38453	NA	46826940	NA	46827208	NA	108	NA	NA	Intergenic	NA	28076	CYP4B1								
chr1	54965793	54966369	Interval_28	3	2	TRUE	TRUE	16.07761	11.5822;8.26647	79.10789	19.12698;8.00719	85.04375	24.65298;13.17263	54965793	54965913;54966265	54966369	54966151;54966364	291	158;50	NA	Intergenic	NA	-8140	TRNAK-CUU								
chr1	56255639	56255835	Interval_29	1	1	TRUE	FALSE	6.48034	NA	10.295	NA	14.75425	NA	56255639	NA	56255835	NA	95	NA	NA	Intergenic	NA	-184119	LOC102724140								
chr1	61255108	61255344	Interval_30	1	1	TRUE	FALSE	4.62239	NA	3.8498	NA	7.92177	NA	61255108	NA	61255344	NA	149	NA	NA	intron (NFIA, intron 2 of 9)	NA	-1708	RP5-833A20.1								
chr1	70038050	70038505	Interval_31	1	1	TRUE	FALSE	13.96659	NA	36.48957	NA	41.64929	NA	70038050	NA	70038505	NA	178	NA	NA	exon (LRRC7, exon 20 of 26)	NA	118956	PIN1P1								
chr1	77347671	77347995	Interval_32	1	1	TRUE	FALSE	6.92078	NA	15.03887	NA	19.68479	NA	77347671	NA	77347995	NA	159	NA	NA	intron (AK5, intron 6 of 13)	NA	65775	AK5								
chr1	78004210	78004485	Interval_33	1	1	TRUE	FALSE	5.08219	NA	5.02144	NA	9.19631	NA	78004210	NA	78004485	NA	176	NA	NA	promoter-TSS (DNAJB4)	NA	-604	DNAJB4								
chr1	78911986	78912225	Interval_34	1	1	TRUE	FALSE	5.21422	NA	5.85255	NA	10.08017	NA	78911986	NA	78912225	NA	156	NA	NA	intron (ELTD1, intron 12 of 14)	NA	94704	ELTD1								
chr1	84442316	84442607	Interval_35	1	1	TRUE	FALSE	6.00431	NA	11.51727	NA	16.03933	NA	84442316	NA	84442607	NA	154	NA	NA	Intergenic	NA	23129	LOC101927656								
