PeakID (cmd=annotatePeaks.pl IRF2BP2.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_1492	chr11	15800137	15800872	+	0	NA	Intergenic	NA	169070	MIR6073								
Interval_9485	chr9	110029388	110029534	+	0	NA	intron (PALM2-AKAP2, intron 7 of 10)	NA	-96040	AKAP2								
Interval_7866	chr6	26272805	26273090	+	0	NA	promoter-TSS (HIST1H2BI)	NA	-29	HIST1H2BI								
Interval_5929	chr20	43583947	43584203	+	0	NA	intron (SGK2, intron 12 of 12)	NA	-6859	IFT52								
Interval_3925	chr17	65056585	65056732	+	0	NA	promoter-TSS (GNA13)	NA	144	GNA13								
Interval_8011	chr6	45677583	45677879	+	0	NA	Intergenic	NA	-300287	SUPT3H								
Interval_7368	chr5	49659789	49659972	+	0	NA	Intergenic	NA	781520	EMB								
Interval_1573	chr11	57424797	57425203	+	0	NA	intron (SLC43A3, intron 4 of 13)	NA	2087	SLC43A3								
Interval_7471	chr5	102296296	102296587	+	0	NA	exon (SLCO4C1, exon 1 of 13)	NA	108	SLCO4C1								
Interval_4608	chr19	14118750	14118881	+	0	NA	TTS (ASF1B)	NA	-1068	PRKACA								
Interval_197	chr1	26696496	26696659	+	0	NA	promoter-TSS (LOC101928728)	NA	-172	LOC101928728								
Interval_1194	chr10	75547398	75547601	+	0	NA	intron (C10orf11, intron 2 of 6)	NA	-4959	MIR606								
Interval_4731	chr19	29687552	29687862	+	0	NA	Intergenic	NA	22206	PLEKHF1								
Interval_4115	chr17	83200409	83200648	+	0	NA	Intergenic	NA	25972	LOC100505909								
Interval_6763	chr3	136196483	136197027	+	0	NA	promoter-TSS (MSL2)	NA	-909	MSL2								
Interval_1445	chr11	4094773	4095019	+	0	NA	exon (RRM1, exon 1 of 19)	NA	202	RRM1								
Interval_593	chr1	148334285	148334895	+	0	NA	promoter-TSS (MIR5087)	NA	-36	MIR5087								
Interval_752	chr1	179365908	179366049	+	0	NA	promoter-TSS (AXDND1)	NA	237	AXDND1								
Interval_3867	chr17	58330858	58331522	+	0	NA	promoter-TSS (MIR142)	NA	77	MIR142								
Interval_3178	chr16	16076000	16076165	+	0	NA	intron (ABCC1, intron 13 of 29)	NA	126423	ABCC1								
Interval_4063	chr17	81346187	81346388	+	0	NA	Intergenic	NA	-15613	TMEM105								
Interval_5870	chr20	32652906	32653053	+	0	NA	promoter-TSS (C20orf203)	NA	-998	C20orf203								
Interval_5224	chr2	43226764	43227079	+	0	NA	promoter-TSS (ZFP36L2)	NA	-290	LINC01126								
Interval_7169	chr4	105708590	105708852	+	0	NA	promoter-TSS (INTS12)	NA	-57	GSTCD								
Interval_4444	chr19	4052737	4052948	+	0	NA	intron (ZBTB7A, intron 2 of 2)	NA	13976	ZBTB7A								
Interval_6413	chr3	5197649	5198114	+	0	NA	intron (EDEM1, intron 2 of 9)	NA	10207	EDEM1								
Interval_177	chr1	25922637	25922993	+	0	NA	Intergenic	NA	-16313	STMN1								
Interval_6983	chr4	8221516	8221831	+	0	NA	intron (SH3TC1, intron 6 of 14)	NA	22302	SH3TC1								
Interval_8782	chr8	27333387	27333581	+	0	NA	intron (PTK2B, intron 1 of 29)	NA	7920	PTK2B								
Interval_6411	chr3	5187919	5188195	+	0	NA	exon (EDEM1, exon 1 of 10)	NA	383	EDEM1								
Interval_6608	chr3	53130422	53130563	+	0	NA	promoter-TSS (RFT1)	NA	-28	RFT1								
Interval_1917	chr12	6613799	6614050	+	0	NA	Intergenic	NA	-6540	CHD4								
Interval_4067	chr17	81397423	81397558	+	0	NA	Intergenic	NA	-2250	BAHCC1								
Interval_4597	chr19	13839148	13840099	+	0	NA	Intergenic	NA	-3008	MIR23A								
Interval_6539	chr3	42590578	42590800	+	0	NA	promoter-TSS (SS18L2)	NA	-117	SS18L2								
Interval_7702	chr5	178777676	178777851	+	0	NA	Intergenic	NA	-1487	AACSP1								
Interval_4258	chr18	59904813	59905054	+	0	NA	TTS (PMAIP1)	NA	4973	PMAIP1								
Interval_6095	chr21	33198756	33199054	+	0	NA	Intergenic	NA	-28669	C21orf54								
Interval_8231	chr6	169292403	169292572	+	0	NA	Intergenic	NA	-38373	THBS2								
Interval_9333	chr9	21832151	21832442	+	0	NA	intron (MTAP, intron 4 of 7)	NA	29660	MTAP								
Interval_4015	chr17	78227707	78227888	+	0	NA	Intergenic	NA	-8929	TMEM235								
Interval_7532	chr5	134503451	134503599	+	0	NA	Intergenic	NA	-3027	LOC101927934								
Interval_954	chr1	234684358	234684499	+	0	NA	Intergenic	NA	38139	RP4-781K5.4								
Interval_1623	chr11	62881577	62881737	+	0	NA	promoter-TSS (SLC3A2)	NA	785	SLC3A2								
Interval_7958	chr6	37102474	37102965	+	0	NA	Intergenic	NA	-67427	PIM1								
Interval_6240	chr22	29118054	29118431	+	0	NA	intron (KREMEN1, intron 3 of 8)	NA	45164	KREMEN1								
Interval_8347	chr7	32728704	32728944	+	0	NA	exon (ZNRF2P1, exon 1 of 1)	NA	874	ZNRF2P1								
Interval_7520	chr5	132457403	132457543	+	0	NA	intron (C5orf56, intron 3 of 3)	NA	-30696	LOC102723741								
Interval_137	chr1	21334311	21334563	+	0	NA	intron (ECE1, intron 1 of 18)	NA	-40013	ECE1								
Interval_7401	chr5	67983775	67983927	+	0	NA	Intergenic	NA	190696	RP11-434D9.1								
Interval_6994	chr4	12118696	12118998	+	0	NA	Intergenic	NA	-104635	RP11-168E17.1								
Interval_1345	chr10	119271641	119271789	+	0	NA	intron (GRK5, intron 1 of 14)	NA	63645	GRK5-IT1								
Interval_2907	chr15	66497646	66497917	+	0	NA	promoter-TSS (MIR4512)	NA	27	SNAPC5								
Interval_8473	chr7	81846512	81846696	+	0	NA	Intergenic	NA	-76468	HGF								
Interval_2946	chr15	70480256	70480475	+	0	NA	Intergenic	NA	106241	LOC101929151								
Interval_5434	chr2	113390426	113390581	+	0	NA	Intergenic	NA	-47252	CBWD2								
Interval_1564	chr11	47578896	47579045	+	0	NA	promoter-TSS (KBTBD4)	NA	-40	NDUFS3								
Interval_2357	chr13	20221859	20222039	+	0	NA	TTS (GJB6)	NA	10446	GJB6								
Interval_9400	chr9	78032074	78032397	+	0	NA	promoter-TSS (GNAQ)	NA	-786	GNAQ								
Interval_969	chr1	235942401	235942600	+	0	NA	Intergenic	NA	-75573	LYST								
Interval_6758	chr3	133573963	133574191	+	0	NA	promoter-TSS (CDV3)	NA	131	CDV3								
Interval_6393	chr22_KI270733v1_random	135630	135801	+	0	NA	Intergenic	NA	24386	LOC102724621								
Interval_8364	chr7	41705153	41705378	+	0	NA	intron (INHBA-AS1, intron 1 of 2)	NA	-2157	INHBA								
Interval_681	chr1	156127175	156127509	+	0	NA	intron (LMNA, intron 2 of 10)	NA	12672	LMNA								
Interval_6900	chr3	194005212	194005480	+	0	NA	Intergenic	NA	-1687	RP11-699L21.1								
Interval_7450	chr5	91380011	91380443	+	0	NA	promoter-TSS (ARRDC3-AS1)	NA	-120	ARRDC3-AS1								
Interval_6583	chr3	49094507	49094759	+	0	NA	promoter-TSS (QRICH1)	NA	-1001	QRICH1								
Interval_6576	chr3	48472954	48473245	+	0	NA	exon (SHISA5, exon 1 of 3)	NA	234	SHISA5								
Interval_8804	chr8	29971926	29972172	+	0	NA	Intergenic	NA	-14701	MIR3148								
Interval_738	chr1	171286371	171286518	+	0	NA	TTS (FMO1)	NA	-27735	FMO4								
Interval_4074	chr17	81833175	81833583	+	0	NA	promoter-TSS (FAM195B)	NA	-85	FAM195B								
Interval_6177	chr21	45287853	45287988	+	0	NA	promoter-TSS (POFUT2)	NA	-132	LOC642852								
Interval_2702	chr14	92730046	92730299	+	0	NA	intron (LGMN, intron 3 of 14)	NA	18458	LGMN								
Interval_6609	chr3	53169409	53169690	+	0	NA	intron (PRKCD, intron 1 of 17)	NA	802	PRKCD								
Interval_1051	chr10	27504504	27504672	+	0	NA	intron (RAB18, intron 1 of 6)	NA	414	RAB18								
Interval_1990	chr12	27179926	27180071	+	0	NA	intron (LOC729222, intron 6 of 6)	NA	49063	LOC729222								
Interval_3861	chr17	58284845	58285093	+	0	NA	Intergenic	NA	-4034	MPO								
Interval_947	chr1	234602833	234602989	+	0	NA	Intergenic	NA	6614	IRF2BP2								
Interval_1191	chr10	75359109	75359386	+	0	NA	intron (ZNF503-AS1, intron 2 of 2)	NA	42508	ZNF503								
Interval_6571	chr3	46406515	46406712	+	0	NA	promoter-TSS (CCRL2)	NA	427	LOC102724297								
Interval_7604	chr5	150477444	150477628	+	0	NA	intron (LOC102546298, intron 2 of 2)	NA	-8401	NDST1								
Interval_7442	chr5	87412946	87413088	+	0	NA	promoter-TSS (CCNH)	NA	-51	CCNH								
Interval_555	chr1	124718046	124718187	+	0	NA	Intergenic	NA	3199004	EMBP1								
Interval_5885	chr20	35615561	35615784	+	0	NA	promoter-TSS (SPAG4)	NA	-182	SPAG4								
Interval_7033	chr4	38667228	38667435	+	0	NA	intron (KLF3, intron 1 of 5)	NA	-2703	FLJ13197								
Interval_7865	chr6	26204903	26205084	+	0	NA	TTS (HIST1H4E)	NA	348	HIST1H4E								
Interval_6237	chr22	28799333	28799506	+	0	NA	intron (XBP1, intron 1 of 4)	NA	1153	XBP1								
Interval_4730	chr19	29662640	29662982	+	0	NA	Intergenic	NA	-2690	PLEKHF1								
Interval_5621	chr2	210171176	210171587	+	0	NA	promoter-TSS (KANSL1L)	NA	-661	KANSL1L								
Interval_9018	chr8	99663604	99663752	+	0	NA	intron (VPS13B, intron 35 of 61)	NA	-126817	MIR875								
Interval_499	chr1	115727817	115728313	+	0	NA	intron (CASQ2, intron 5 of 10)	NA	40740	CASQ2								
Interval_9171	chr8	132326054	132326268	+	0	NA	intron (KCNQ3, intron 1 of 14)	NA	-47953	KCNQ3								
Interval_1294	chr10	103192858	103193146	+	0	NA	intron (NT5C2, intron 1 of 20)	NA	-39652	NT5C2								
Interval_81	chr1	10430254	10430566	+	0	NA	promoter-TSS (APITD1)	NA	308	APITD1-CORT								
Interval_3913	chr17	64449051	64449305	+	0	NA	promoter-TSS (MILR1)	NA	63	MILR1								
Interval_2744	chr14	102362882	102363029	+	0	NA	promoter-TSS (CINP)	NA	-8	TECPR2								
Interval_1708	chr11	67277414	67277934	+	0	NA	intron (ADRBK1, intron 2 of 20)	NA	11240	ADRBK1								
Interval_9505	chr9	112379662	112379919	+	0	NA	promoter-TSS (HSDL2)	NA	-29145	HSDL2								
Interval_6579	chr3	48663598	48663831	+	0	NA	promoter-TSS (CELSR3)	NA	716	LOC102724368								
Interval_4985	chr19	51751762	51752035	+	0	NA	promoter-TSS (FPR1)	NA	-1	FPR1								
Interval_7370	chr5	50440965	50441140	+	0	NA	exon (EMB, exon 1 of 9)	NA	348	EMB								
Interval_6832	chr3	169764798	169765138	+	0	NA	promoter-TSS (TERC)	NA	92	TERC								
Interval_6801	chr3	155854405	155854700	+	0	NA	promoter-TSS (SLC33A1)	NA	-93	SLC33A1								
Interval_4918	chr19	48622640	48622781	+	0	NA	intron (SPHK2, intron 2 of 5)	NA	-2242	SPHK2								
Interval_6596	chr3	50605090	50605380	+	0	NA	Intergenic	NA	6596	CISH								
Interval_5460	chr2	127408003	127408322	+	0	NA	Intergenic	NA	-10925	PROC								
Interval_4177	chr18	24076299	24076475	+	0	NA	intron (TTC39C, intron 4 of 13)	NA	62155	TTC39C								
Interval_8055	chr6	89034634	89034872	+	0	NA	Intergenic	NA	-45957	PNRC1								
Interval_5418	chr2	109213703	109214200	+	0	NA	intron (SH3RF3, intron 1 of 7)	NA	58576	LOC102724819								
Interval_3943	chr17	69115872	69116296	+	0	NA	intron (ABCA6, intron 11 of 38)	NA	-16452	MIR4524A								
Interval_8585	chr7	135170660	135170801	+	0	NA	promoter-TSS (C7orf49)	NA	-1256	C7orf49								
Interval_603	chr1	149886551	149886692	+	0	NA	promoter-TSS (HIST2H2BE)	NA	61	HIST2H2BE								
Interval_6761	chr3	134852974	134853165	+	0	NA	intron (EPHB1, intron 1 of 15)	NA	57812	EPHB1								
Interval_7849	chr6	26020444	26020652	+	0	NA	promoter-TSS (HIST1H3A)	NA	58	HIST1H3A								
Interval_9424	chr9	94166301	94167033	+	0	NA	Intergenic	NA	-9295	MIRLET7A1								
Interval_15	chr1	1471664	1471912	+	0	NA	promoter-TSS (ATAD3B)	NA	4	ATAD3B								
Interval_5488	chr2	144671810	144671954	+	0	NA	intron (TEX41, intron 1 of 4)	NA	3915	TEX41								
Interval_5725	chr2	240566279	240566546	+	0	NA	Intergenic	NA	-2175	RNPEPL1								
Interval_1935	chr12	9743277	9743418	+	0	NA	Intergenic	NA	-10048	CLECL1								
