REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	mp136-MV411-H3K27ac-r1.mLb.clN.sorted.bam	INPUT_R1.mLb.clN.sorted.bam
18_MV411_3_136_R1_peak_3658_lociStitched	chr12	11745068	11813632	18	20567	21474.2448	7398.0556
13_MV411_3_136_R1_peak_13791_lociStitched	chr5	360273	425561	13	15376	26252.3048	7939.0208
18_MV411_3_136_R1_peak_14730_lociStitched	chr6	7106691	7167984	18	35015	30867.1548	6711.5835
20_MV411_3_136_R1_peak_12850_lociStitched	chr3	152244389	152303016	20	23310	23280.7817	5047.7847
14_MV411_3_136_R1_peak_1674_lociStitched	chr1	234933758	234986073	14	20354	23264.4805	6204.559
17_MV411_3_136_R1_peak_3351_lociStitched	chr11	94533733	94584239	17	18090	21197.3682	5005.1446
18_MV411_3_136_R1_peak_2099_lociStitched	chr10	69044349	69092624	18	22386	24707.145	5392.3175
17_MV411_3_136_R1_peak_13741_lociStitched	chr4	180052666	180099909	17	11989	13502.0494	3543.225
13_MV411_3_136_R1_peak_10289_lociStitched	chr2	144660056	144705892	13	18139	17284.7556	4574.4328
19_MV411_3_136_R1_peak_13964_lociStitched	chr5	50633878	50677614	19	27415	20595.2824	3232.0904
14_MV411_3_136_R1_peak_14300_lociStitched	chr5	135396636	135438506	14	17112	17723.571	4090.699
7_MV411_3_136_R1_peak_17213_lociStitched	chr8	96853375	96894373	7	5860	12340.398	6403.8876
8_MV411_3_136_R1_peak_2153_lociStitched	chr10	72296275	72337150	8	13155	15467.1	4896.825
6_MV411_3_136_R1_peak_8411_lociStitched	chr19	4051330	4090561	6	7367	13260.078	6732.0396
10_MV411_3_136_R1_peak_5483_lociStitched	chr15	55247357	55286149	10	13837	14221.1472	3844.2872
15_MV411_3_136_R1_peak_1751_lociStitched	chr1	246069833	246108063	15	18854	15693.415	3498.045
9_MV411_3_136_R1_peak_562_lociStitched	chr1	43763687	43798040	9	6757	8021.4255	3339.1116
7_MV411_3_136_R1_peak_13086_lociStitched	chr3	196609858	196643241	7	12172	15853.5867	3445.1256
8_MV411_3_136_R1_peak_3244_lociStitched	chr11	73186042	73219211	8	8776	10720.2208	3731.5125
6_MV411_3_136_R1_peak_11263_lociStitched	chr20	53907582	53940558	6	3067	5078.304	3597.6816
11_MV411_3_136_R1_peak_18627_lociStitched	chrX	65986543	66018298	11	17027	13600.6665	1492.485
8_MV411_3_136_R1_peak_18075_lociStitched	chr9	114367096	114398486	8	8396	9548.838	3769.939
7_MV411_3_136_R1_peak_769_lociStitched	chr1	89668844	89700023	7	4756	7947.5271	3283.1487
6_MV411_3_136_R1_peak_10699_lociStitched	chr2	233062073	233093195	6	6913	9470.4246	3597.7032
7_MV411_3_136_R1_peak_12410_lociStitched	chr3	50590054	50620944	7	12619	13100.449	3663.554
6_MV411_3_136_R1_peak_15668_lociStitched	chr7	89545	120286	6	5446	6550.9071	3240.1014
7_MV411_3_136_R1_peak_5634_lociStitched	chr15	70462541	70492791	7	3637	6107.475	3826.625
8_MV411_3_136_R1_peak_12154_lociStitched	chr3	18407842	18437637	8	17452	17781.656	3039.09
7_MV411_3_136_R1_peak_8687_lociStitched	chr19	14356017	14385543	7	11618	15772.7892	4567.6722
12_MV411_3_136_R1_peak_14456_lociStitched	chr5	150761366	150790291	12	20244	17719.455	2609.035
6_MV411_3_136_R1_peak_5141_lociStitched	chr14	95495854	95524671	6	4848	6483.825	3345.6537
8_MV411_3_136_R1_peak_10888_lociStitched	chr20	5642864	5671502	8	3844	5733.3276	2889.5742
6_MV411_3_136_R1_peak_7585_lociStitched	chr17	78313852	78342341	6	2790	4920.0503	3327.5152
9_MV411_3_136_R1_peak_9737_lociStitched	chr2	43212565	43240777	9	9231	9583.6164	3247.2012
5_MV411_3_136_R1_peak_8220_lociStitched	chr18	77100956	77129114	5	3085	7174.6584	4029.4098
10_MV411_3_136_R1_peak_13458_lociStitched	chr4	95523175	95551123	10	8136	8800.8252	2056.9728
6_MV411_3_136_R1_peak_8211_lociStitched	chr18	77053775	77081387	6	10012	12259.728	3509.4852
8_MV411_3_136_R1_peak_17483_lociStitched	chr8	129528046	129555637	8	12482	16943.6331	4533.2013
9_MV411_3_136_R1_peak_11951_lociStitched	chr22	46576824	46604409	9	6941	8545.833	3208.1355
6_MV411_3_136_R1_peak_18446_lociStitched	chrX	12950471	12977871	6	6340	6482.84	1183.68
15_MV411_3_136_R1_peak_15901_lociStitched	chr7	38251833	38278966	15	19741	15303.012	1880.3169
6_MV411_3_136_R1_peak_18495_lociStitched	chrX	30572107	30599202	6	11158	8014.701	1124.4425
4_MV411_3_136_R1_peak_9905_lociStitched	chr2	68411900	68438954	4	1923	4090.5648	3241.0692
7_MV411_3_136_R1_peak_2732_lociStitched	chr11	12149422	12175540	7	4533	6947.388	2967.0048
9_MV411_3_136_R1_peak_14626_lociStitched	chr5	178476975	178503046	9	5415	6009.3655	2393.3178
4_MV411_3_136_R1_peak_15111_lociStitched	chr6	37161660	37187441	4	3839	6076.5817	2642.5525
7_MV411_3_136_R1_peak_10411_lociStitched	chr2	177240316	177265891	7	9915	12125.1075	2455.2
6_MV411_3_136_R1_peak_7688_lociStitched	chr17	82215363	82240791	6	9102	10211.8848	2748.7668
7_MV411_3_136_R1_peak_14526_lociStitched	chr5	170279203	170303708	7	5902	7513.233	2854.8325
5_MV411_3_136_R1_peak_8916_lociStitched	chr19	33249540	33273966	5	4463	9452.862	4809.4794
5_MV411_3_136_R1_peak_12299_lociStitched	chr3	46298511	46322893	5	5854	5846.8036	2304.099
7_MV411_3_136_R1_peak_6226_lociStitched	chr16	30452501	30476675	7	7966	9892.0008	2775.1752
11_MV411_3_136_R1_peak_5269_lociStitched	chr15	28716616	28740472	11	11365	9959.88	966.168
9_MV411_3_136_R1_peak_10336_lociStitched	chr2	159612341	159635892	9	18093	13913.9308	1888.7902
3_MV411_3_136_R1_peak_6756_lociStitched	chr17	6926714	6950218	3	4308	4994.6	2319.8448
6_MV411_3_136_R1_peak_9051_lociStitched	chr19	40811180	40834582	6	3446	5630.5212	3646.0316
10_MV411_3_136_R1_peak_17876_lociStitched	chr9	78010225	78033564	10	12639	8782.4657	996.5753
5_MV411_3_136_R1_peak_11780_lociStitched	chr22	36444851	36468059	5	2913	4734.432	2680.524
7_MV411_3_136_R1_peak_12100_lociStitched	chr3	12993668	13016845	7	5786	7101.4328	2746.4745
5_MV411_3_136_R1_peak_7604_lociStitched	chr17	78736338	78759457	5	1901	3918.6705	2214.8002
8_MV411_3_136_R1_peak_9117_lociStitched	chr19	43756845	43779889	8	4629	7436.2988	4191.7036
6_MV411_3_136_R1_peak_10858_lociStitched	chr20	4060726	4083446	6	3821	4618.976	2499.2
9_MV411_3_136_R1_peak_12282_lociStitched	chr3	46089664	46112360	9	8488	8501.9216	2653.1624
