PeakID (cmd=annotatePeaks.pl ERG.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_5324	chr10	89738881	89739100	+	0	NA	exon (KIF20B, exon 21 of 33)	NA	37400	KIF20B								
Interval_7326	chr11	85700064	85700256	+	0	NA	intron (SYTL2, intron 6 of 8)	NA	-13883	CCDC89								
Interval_3540	chr1	212457849	212458009	+	0	NA	Intergenic	NA	25042	NENF								
Interval_2341	chr1	148977865	148978103	+	0	NA	exon (PDE4DIP, exon 18 of 45)	NA	88581	PDE4DIP								
Interval_38024	chr8	142509846	142510136	+	0	NA	intron (BAI1, intron 16 of 29)	NA	45975	BAI1								
Interval_31284	chr5	102755801	102756193	+	0	NA	intron (PAM, intron 1 of 24)	NA	721	PAM								
Interval_10600	chr13	46554320	46554949	+	0	NA	intron (LRCH1, intron 1 of 18)	NA	1473	LRCH1								
Interval_38826	chr9	88280822	88281048	+	0	NA	Intergenic	NA	-107447	SPIN1								
Interval_13312	chr15	70114905	70115096	+	0	NA	Intergenic	NA	-18697	TLE3								
Interval_13819	chr15	91706454	91706851	+	0	NA	Intergenic	NA	-147659	SLCO3A1								
Interval_30773	chr5	58499765	58500186	+	0	NA	Intergenic	NA	8494	GAPT								
Interval_1262	chr1	45647534	45647700	+	0	NA	promoter-TSS (RPS15AP10)	NA	-932	RPS15AP10								
Interval_27978	chr3	152680801	152681079	+	0	NA	Intergenic	NA	30494	LOC102724289								
Interval_18362	chr19	1885330	1885715	+	0	NA	promoter-TSS (ABHD17A)	NA	-3	ABHD17A								
Interval_32012	chr5	157306794	157307046	+	0	NA	intron (CYFIP2, intron 8 of 30)	NA	37568	CYFIP2								
Interval_14875	chr16	69555620	69555900	+	0	NA	Intergenic	NA	10070	MIR1538								
Interval_23804	chr20	20710893	20711096	+	0	NA	intron (RALGAPA2, intron 1 of 39)	NA	1644	RALGAPA2								
Interval_27288	chr3	99921006	99921208	+	0	NA	intron (FILIP1L, intron 4 of 4)	NA	43240	MIR3921								
Interval_17874	chr18	38690728	38690912	+	0	NA	Intergenic	NA	-636245	LOC101927879								
