PeakID (cmd=annotatePeaks.pl ETV6.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_171	chr1	15455604	15455793	+	0	NA	Intergenic	NA	-1030	CELA2A								
Interval_8307	chr17	78198954	78199395	+	0	NA	intron (AFMID, intron 2 of 10)	NA	11857	AFMID								
Interval_1137	chr1	152000963	152001161	+	0	NA	Intergenic	NA	-6824	S100A10								
Interval_747	chr1	67386218	67386394	+	0	NA	intron (IL12RB2, intron 13 of 13)	NA	44134	SERBP1								
Interval_13114	chr3	37025136	37025312	+	0	NA	intron (MLH1, intron 11 of 18)	NA	31447	MLH1								
Interval_7693	chr17	36548798	36548923	+	0	NA	intron (GGNBP2, intron 2 of 13)	NA	3972	GGNBP2								
Interval_19061	chr8	114828866	114829042	+	0	NA	Intergenic	NA	840047	TRPS1								
Interval_2378	chr10	68622083	68622272	+	0	NA	intron (TET1, intron 3 of 11)	NA	61817	TET1								
Interval_8992	chr19	2950635	2950809	+	0	NA	Intergenic	NA	-5768	ZNF77								
Interval_2258	chr10	38579007	38579183	+	0	NA	Intergenic	NA	-117501	ACTR3BP5								
Interval_7008	chr16	48188577	48188782	+	0	NA	intron (ABCC11, intron 19 of 28)	NA	-41909	ABCC12								
Interval_9393	chr19	18089213	18089354	+	0	NA	Intergenic	NA	-2396	IL12RB1								
Interval_16508	chr6	31559759	31560731	+	0	NA	Intergenic	NA	-11854	LTA								
Interval_5176	chr13	50124391	50124568	+	0	NA	intron (FLJ31945, intron 2 of 5)	NA	1062	DLEU2								
Interval_16144	chr5	181218203	181218395	+	0	NA	promoter-TSS (TRNAV1)	NA	43	TRNAV1								
Interval_19772	chr9	91197815	91198008	+	0	NA	Intergenic	NA	-78883	LOC100507103								
Interval_18171	chr7	142375778	142375923	+	0	NA	Intergenic	NA	-103601	TRY2P								
Interval_9349	chr19	16328319	16328810	+	0	NA	Intergenic	NA	3724	KLF2								
Interval_2933	chr11	3839235	3839545	+	0	NA	intron (RHOG, intron 1 of 1)	NA	1593	RHOG								
Interval_12728	chr22	41479172	41479425	+	0	NA	intron (ACO2, intron 1 of 17)	NA	10173	ACO2								
Interval_1373	chr1	172662762	172663015	+	0	NA	intron (FASLG, intron 2 of 3)	NA	3843	FASLG								
Interval_15346	chr5	53941045	53941170	+	0	NA	intron (ARL15, intron 4 of 4)	NA	10477	MIR581								
Interval_15468	chr5	75095476	75095671	+	0	NA	intron (ANKRD31, intron 21 of 24)	NA	-64674	GCNT4								
Interval_10616	chr2	74529704	74530001	+	0	NA	promoter-TSS (AUP1)	NA	-5	AUP1								
Interval_20636	chrX	124217612	124218185	+	0	NA	Intergenic	NA	-116093	LOC101928426								
Interval_19767	chr9	90827274	90827724	+	0	NA	promoter-TSS (SYK)	NA	25769	SYK								
Interval_1705	chr1	214136447	214136626	+	0	NA	Intergenic	NA	142312	LOC102723802								
Interval_16737	chr6	52318116	52318299	+	0	NA	Intergenic	NA	-33326	MCM3								
Interval_6076	chr15	40333905	40334527	+	0	NA	exon (C15orf52, exon 11 of 11)	NA	6751	C15orf52								
Interval_9220	chr19	11382842	11383206	+	0	NA	exon (EPOR, exon 2 of 8)	NA	1318	EPOR								
Interval_18063	chr7	116210410	116210679	+	0	NA	promoter-TSS (TES)	NA	51	TES								
Interval_15914	chr5	151093569	151093921	+	0	NA	Intergenic	NA	-12748	TNIP1								
Interval_3658	chr11	104074035	104074328	+	0	NA	intron (PDGFD, intron 1 of 6)	NA	37601	DDI1								
Interval_20714	chrX	154368428	154369049	+	0	NA	intron (FLNA, intron 2 of 47)	NA	5900	FLNA								
Interval_17986	chr7	101733602	101734065	+	0	NA	Intergenic	NA	-82071	CUX1								
Interval_6068	chr15	40106650	40106806	+	0	NA	promoter-TSS (BMF)	NA	2150	BMF								
Interval_15016	chr4	162170596	162170722	+	0	NA	Intergenic	NA	-6625	FSTL5								
Interval_15729	chr5	131514925	131515238	+	0	NA	intron (RAPGEF6, intron 7 of 27)	NA	64058	LOC101927670								
