PeakID (cmd=annotatePeaks.pl MEF2D.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_83	chr15	74153422	74153468	+	0	NA	Intergenic	NA	-20301	ISLR								
Interval_62	chr12	124380521	124380749	+	0	NA	intron (NCOR2, intron 19 of 47)	NA	-43398	MIR6880								
Interval_11	chr1	155244657	155245043	+	0	NA	promoter-TSS (GBA)	NA	12	GBA								
Interval_163	chr2	191436507	191436667	+	0	NA	Intergenic	NA	191059	MYO1B								
Interval_267	chr8	35592218	35592427	+	0	NA	intron (UNC5D, intron 3 of 16)	NA	117998	LOC101929550								
Interval_246	chr7	17690095	17690244	+	0	NA	Intergenic	NA	-131260	AC017060.1								
Interval_194	chr3	28952795	28952948	+	0	NA	Intergenic	NA	-327989	RBMS3								
Interval_200	chr3	76554910	76555089	+	0	NA	intron (ROBO2, intron 2 of 26)	NA	-154659	LOC102724949								
Interval_274	chr8	66521887	66521952	+	0	NA	Intergenic	NA	28663	C8orf46								
Interval_167	chr2	223586366	223586515	+	0	NA	Intergenic	NA	16059	SCG2								
Interval_152	chr2	88181457	88181600	+	0	NA	intron (THNSL2, intron 4 of 4)	NA	8389	THNSL2								
Interval_124	chr19	14375080	14375375	+	0	NA	Intergenic	NA	-5917	CD97								
Interval_52	chr12	32482374	32482589	+	0	NA	intron (FGD4, intron 1 of 15)	NA	-51817	FGD4								
Interval_287	chr8	133654463	133654634	+	0	NA	Intergenic	NA	122804	LOC101927798								
Interval_272	chr8	64729575	64729893	+	0	NA	intron (CYP7B1, intron 1 of 5)	NA	69057	CYP7B1								
Interval_14	chr1	161097745	161097874	+	0	NA	promoter-TSS (KLHDC9)	NA	-582	KLHDC9								
Interval_300	chr9	133564662	133564723	+	0	NA	intron (ADAMTSL2, intron 12 of 18)	NA	29849	ADAMTSL2								
Interval_68	chr13	110870354	110870503	+	0	NA	promoter-TSS (LINC00346)	NA	-120	LINC00346								
Interval_24	chr1	212608626	212608775	+	0	NA	promoter-TSS (ATF3)	NA	72	ATF3								
Interval_226	chr6	5050043	5050287	+	0	NA	intron (LYRM4, intron 3 of 3)	NA	20193	LOC100129461								
Interval_214	chr4	128552974	128553244	+	0	NA	intron (LOC101927259, intron 1 of 1)	NA	350	LOC101927259								
Interval_96	chr16	88958188	88958435	+	0	NA	intron (CBFA2T3, intron 1 of 10)	NA	-17111	CBFA2T3								
Interval_317	chrUn_KI270466v1	710	782	+	0	NA	NA	NA	NA	NA								
Interval_283	chr8	106269914	106270256	+	0	NA	promoter-TSS (OXR1)	NA	-177839	OXR1								
Interval_173	chr20	8018241	8018438	+	0	NA	intron (TMX4, intron 1 of 7)	NA	1407	TMX4								
Interval_164	chr2	195650603	195650839	+	0	NA	Intergenic	NA	-6407	SLC39A10								
Interval_261	chr8	12766664	12766825	+	0	NA	intron (RP11-252C15.1, intron 3 of 3)	NA	-11261	LONRF1								
Interval_297	chr9	99819820	99820109	+	0	NA	promoter-TSS (RP11-554F20.1)	NA	-75	RP11-554F20.1								
Interval_248	chr7	30430869	30431018	+	0	NA	intron (NOD1, intron 9 of 10)	NA	-29108	LOC101928268								
Interval_258	chr7	149600657	149600806	+	0	NA	intron (ZNF767, intron 3 of 7)	NA	2776	TRNAC22								
Interval_229	chr6	34236869	34237048	+	0	NA	promoter-TSS (HMGA1)	NA	158	HMGA1								
Interval_109	chr17_KI270729v1_random	160912	161184	+	0	NA	NA	NA	NA	NA								
Interval_238	chr6	134236082	134236250	+	0	NA	intron (SGK1, intron 2 of 13)	NA	-60234	SGK1								
Interval_160	chr2	181697680	181697829	+	0	NA	Intergenic	NA	-17089	NEUROD1								
Interval_40	chr11	1548328	1548635	+	0	NA	Intergenic	NA	7976	LOC101927562								
Interval_128	chr19	39398353	39398556	+	0	NA	exon (MED29, exon 4 of 4)	NA	7131	MED29								
Interval_75	chr14	56963496	56963645	+	0	NA	Intergenic	NA	150387	OTX2-AS1								
Interval_146	chr2	60462317	60462419	+	0	NA	exon (BCL11A, exon 4 of 5)	NA	-60251	LOC102724142								
Interval_239	chr6	141483734	141483941	+	0	NA	Intergenic	NA	604962	NMBR								
Interval_104	chr17	44123609	44123765	+	0	NA	promoter-TSS (HDAC5)	NA	-41	HDAC5								
Interval_20	chr1	184786864	184786946	+	0	NA	Intergenic	NA	-31998	EDEM3								
Interval_331	chrY	56734774	56734929	+	0	NA	Intergenic	NA	-219458	SPRY3-2								
Interval_328	chrX	107716894	107717167	+	0	NA	promoter-TSS (TSC22D3)	NA	31	TSC22D3								
Interval_242	chr6	159084664	159084823	+	0	NA	Intergenic	NA	-22730	LOC101929094								
Interval_7	chr1	107623065	107623256	+	0	NA	intron (VAV3, intron 20 of 25)	NA	-274063	MIR7852								
Interval_250	chr7	30520912	30521078	+	0	NA	Intergenic	NA	-16154	GGCT								
Interval_329	chrX	120015644	120015693	+	0	NA	intron (LOC101928941, intron 1 of 2)	NA	2034	LOC101928941								
Interval_182	chr21	29065056	29065205	+	0	NA	intron (CCT8, intron 7 of 15)	NA	8667	CCT8								
Interval_25	chr1	224334032	224334262	+	0	NA	Intergenic	NA	-4008	NVL								
Interval_243	chr6	164108978	164109210	+	0	NA	Intergenic	NA	-437610	LOC102724152								
Interval_313	chrUn_KI270438v1	104676	104726	+	0	NA	NA	NA	NA	NA								
Interval_29	chr10	3785326	3785668	+	0	NA	promoter-TSS (KLF6)	NA	-216	KLF6								
Interval_88	chr16	34582115	34582373	+	0	NA	Intergenic	NA	150252	LOC102724523								
Interval_247	chr7	18495483	18495799	+	0	NA	promoter-TSS (HDAC9)	NA	-621	HDAC9								
Interval_42	chr11	33893729	33893957	+	0	NA	Intergenic	NA	-23319	LMO2								
Interval_97	chr17	21034314	21034636	+	0	NA	intron (USP22, intron 1 of 12)	NA	8934	USP22								
Interval_37	chr10	117762712	117763009	+	0	NA	Intergenic	NA	27918	LOC102724627								
Interval_71	chr14	42323068	42323217	+	0	NA	Intergenic	NA	715581	LRFN5								
Interval_84	chr15	84840926	84841144	+	0	NA	intron (ALPK3, intron 5 of 13)	NA	24355	ALPK3								
Interval_78	chr14	100617341	100617523	+	0	NA	Intergenic	NA	-39836	LINC00523								
Interval_255	chr7	77561444	77561648	+	0	NA	intron (PTPN12, intron 1 of 16)	NA	23511	PTPN12								
Interval_130	chr19	40848878	40848944	+	0	NA	intron (CYP2A6, intron 2 of 8)	NA	1536	CYP2A6								
Interval_125	chr19	14943691	14943887	+	0	NA	Intergenic	NA	2300	OR7C2								
Interval_105	chr17	50707899	50708073	+	0	NA	promoter-TSS (ANKRD40)	NA	-77	ANKRD40								
Interval_120	chr19	2546371	2546744	+	0	NA	intron (GNG7, intron 3 of 4)	NA	-32986	LOC101929097								
Interval_325	chrX	10121837	10122000	+	0	NA	intron (WWC3, intron 11 of 22)	NA	-35027	CLCN4								
Interval_48	chr11	128693880	128694056	+	0	NA	promoter-TSS (FLI1)	NA	52	FLI1								
Interval_316	chrUn_KI270438v1	112004	112346	+	0	NA	NA	NA	NA	NA								
Interval_181	chr21	21406957	21407127	+	0	NA	intron (NCAM2, intron 6 of 14)	NA	330277	LINC00317								
Interval_145	chr2	60462155	60462233	+	0	NA	exon (BCL11A, exon 4 of 5)	NA	-60077	LOC102724142								
Interval_326	chrX	11824906	11825193	+	0	NA	Intergenic	NA	66890	MSL3								
Interval_252	chr7	41881856	41882056	+	0	NA	Intergenic	NA	-178848	INHBA								
Interval_318	chrUn_KI270466v1	932	1147	+	0	NA	NA	NA	NA	NA								
Interval_126	chr19	16324568	16324869	+	0	NA	promoter-TSS (KLF2)	NA	-122	KLF2								
Interval_218	chr5	81751304	81751468	+	0	NA	promoter-TSS (SSBP2)	NA	-133	SSBP2								
Interval_162	chr2	191020267	191020465	+	0	NA	Intergenic	NA	-6116	STAT1								
Interval_254	chr7	73123737	73123801	+	0	NA	Intergenic	NA	-31155	LOC100093631								
Interval_112	chr18	12407747	12407909	+	0	NA	promoter-TSS (SLMO1)	NA	-68	SLMO1								
Interval_292	chr9	18597024	18597235	+	0	NA	intron (ADAMTSL1, intron 4 of 28)	NA	23823	MIR3152								
Interval_3	chr1	67433956	67434105	+	0	NA	Intergenic	NA	-3590	SERBP1								
Interval_55	chr12	49222618	49222787	+	0	NA	intron (LOC102723916, intron 1 of 2)	NA	13779	LOC102723916								
Interval_308	chrM	5303	5585	+	0	NA	promoter-TSS (TRNW)	NA	-68	TRNW								
Interval_51	chr12	25386084	25386361	+	0	NA	Intergenic	NA	-135302	KRAS								
Interval_203	chr3	157160770	157160989	+	0	NA	promoter-TSS (CCNL1)	NA	-738	CCNL1								
Interval_148	chr2	60546129	60546260	+	0	NA	exon (BCL11A, exon 2 of 5)	NA	7304	BCL11A								
Interval_66	chr13	51330884	51331039	+	0	NA	Intergenic	NA	-10071	SERPINE3								
Interval_156	chr2	100192948	100193107	+	0	NA	Intergenic	NA	-15227	LINC01104								
Interval_89	chr16	34588424	34588678	+	0	NA	Intergenic	NA	156559	LOC102724523								
Interval_276	chr8	76617411	76617735	+	0	NA	intron (ZFHX4-AS1, intron 2 of 3)	NA	-63707	ZFHX4								
Interval_59	chr12	104138074	104138404	+	0	NA	promoter-TSS (NFYB)	NA	23	NFYB								
Interval_168	chr2	226772823	226773011	+	0	NA	intron (IRS1, intron 1 of 1)	NA	26912	IRS1								
Interval_237	chr6	127333768	127333917	+	0	NA	intron (ECHDC1, intron 1 of 6)	NA	9767	ECHDC1								
Interval_204	chr3	168024795	168024975	+	0	NA	intron (GOLIM4, intron 12 of 14)	NA	71039	GOLIM4								
Interval_103	chr17	44111179	44111390	+	0	NA	intron (HDAC5, intron 2 of 27)	NA	12362	HDAC5								
Interval_50	chr12	6167936	6168173	+	0	NA	Intergenic	NA	-32262	CD9								
Interval_259	chr7	150755508	150755757	+	0	NA	Intergenic	NA	18284	GIMAP5								
Interval_265	chr8	22974200	22974483	+	0	NA	Intergenic	NA	-13076	RHOBTB2								
Interval_310	chrM	7642	8198	+	0	NA	promoter-TSS (TRNS1)	NA	-375	TRNK								
