PeakID (cmd=annotatePeaks.pl DFAM71927V3_1_739_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
DFAM71927V3_1_739_R1_peak_8285	chr6	135216923	135219000	+	7504	NA	exon (MYB, exon 14 of 14)	NA	-21259	MIR548A2								
DFAM71927V3_1_739_R1_peak_4249	chr17	81424401	81426745	+	2214	NA	intron (BAHCC1, intron 1 of 26)	NA	-24795	MIR4740								
DFAM71927V3_1_739_R1_peak_6497	chr3	17401770	17402524	+	1949	NA	intron (TBC1D5, intron 8 of 22)	NA	340468	TBC1D5								
DFAM71927V3_1_739_R1_peak_8160	chr6	73519850	73521611	+	1749	NA	intron (EEF1A1, intron 1 of 7)	NA	302	EEF1A1								
DFAM71927V3_1_739_R1_peak_8151	chr6	63211320	63212029	+	1674	NA	Intergenic	NA	108303	LGSN								
DFAM71927V3_1_739_R1_peak_7609	chr5	134086692	134087531	+	1398	NA	Intergenic	NA	-5001	LOC101060024								
DFAM71927V3_1_739_R1_peak_2673	chr14	22556172	22557019	+	1348	NA	Intergenic	NA	32642	DAD1								
DFAM71927V3_1_739_R1_peak_5184	chr2	60460154	60462640	+	1151	NA	exon (BCL11A, exon 4 of 5)	NA	-59280	LOC102724142								
DFAM71927V3_1_739_R1_peak_5755	chr20	1392589	1393411	+	1148	NA	promoter-TSS (MIR6869)	NA	-39	MIR6869								
DFAM71927V3_1_739_R1_peak_8772	chr7	142808638	142809584	+	1061	NA	Intergenic	NA	38135	PRSS2								
DFAM71927V3_1_739_R1_peak_7156	chr4	87134630	87136701	+	1036	NA	exon (AFF1, exon 21 of 21)	NA	84923	KLHL8								
DFAM71927V3_1_739_R1_peak_1337	chr10	101353600	101354191	+	964	NA	promoter-TSS (BTRC)	NA	-219	BTRC								
DFAM71927V3_1_739_R1_peak_6945	chr3	196632171	196633081	+	925	NA	promoter-TSS (LINC01063)	NA	12	LINC01063								
DFAM71927V3_1_739_R1_peak_5187	chr2	60545729	60546507	+	909	NA	exon (BCL11A, exon 2 of 5)	NA	7380	BCL11A								
DFAM71927V3_1_739_R1_peak_7532	chr5	96934859	96935755	+	882	NA	promoter-TSS (LNPEP)	NA	-335	LNPEP								
DFAM71927V3_1_739_R1_peak_6950	chr3	197459252	197460402	+	861	NA	Intergenic	NA	46920	LOC100129516								
DFAM71927V3_1_739_R1_peak_9635	chrUn_KI270467v1	994	3755	+	859	NA	NA	NA	NA	NA								
DFAM71927V3_1_739_R1_peak_6584	chr3	45869955	45870660	+	853	NA	intron (LZTFL1, intron 2 of 9)	NA	-16197	CCR9								
DFAM71927V3_1_739_R1_peak_82	chr1	9410868	9411554	+	847	NA	Intergenic	NA	17785	LOC100506022								
DFAM71927V3_1_739_R1_peak_7543	chr5	109409144	109410659	+	840	NA	promoter-TSS (PJA2)	NA	73	PJA2								
DFAM71927V3_1_739_R1_peak_4219	chr17	78252081	78252765	+	835	NA	Intergenic	NA	21113	TMEM235								
DFAM71927V3_1_739_R1_peak_615	chr1	156482206	156484334	+	816	NA	exon (MEF2D, exon 2 of 12)	NA	17550	MEF2D								
DFAM71927V3_1_739_R1_peak_9627	chrUn_KI270438v1	108794	110065	+	788	NA	NA	NA	NA	NA								
DFAM71927V3_1_739_R1_peak_6545	chr3	35296524	35297048	+	765	NA	intron (LOC101928135, intron 2 of 3)	NA	97237	LOC101928135								
DFAM71927V3_1_739_R1_peak_8268	chr6	130575857	130576418	+	757	NA	Intergenic	NA	209672	TMEM200A								
DFAM71927V3_1_739_R1_peak_5040	chr2	10953465	10954332	+	738	NA	Intergenic	NA	41961	KCNF1								
DFAM71927V3_1_739_R1_peak_4052	chr17	57454988	57455614	+	732	NA	intron (MSI2, intron 6 of 13)	NA	68296	RP11-118E18.2								
DFAM71927V3_1_739_R1_peak_8514	chr7	38232696	38233597	+	731	NA	Intergenic	NA	43383	TARP								
DFAM71927V3_1_739_R1_peak_7847	chr6	17600039	17600702	+	731	NA	promoter-TSS (FAM8A1)	NA	83	FAM8A1								
DFAM71927V3_1_739_R1_peak_7865	chr6	22062839	22063548	+	722	NA	intron (CASC15, intron 8 of 11)	NA	84000	CASC14								
DFAM71927V3_1_739_R1_peak_4250	chr17	81428058	81429028	+	708	NA	intron (BAHCC1, intron 2 of 26)	NA	22645	MIR3186								
DFAM71927V3_1_739_R1_peak_3831	chr17	18992694	18993230	+	674	NA	intron (FAM83G, intron 2 of 5)	NA	11785	FAM83G								
DFAM71927V3_1_739_R1_peak_7006	chr4	8228819	8229416	+	669	NA	intron (SH3TC1, intron 12 of 17)	NA	29784	SH3TC1								
DFAM71927V3_1_739_R1_peak_2348	chr12	116559305	116560260	+	665	NA	intron (MAP1LC3B2, intron 1 of 1)	NA	401	MAP1LC3B2								
DFAM71927V3_1_739_R1_peak_8040	chr6	37169619	37170698	+	660	NA	promoter-TSS (PIM1)	NA	12	PIM1								
DFAM71927V3_1_739_R1_peak_3212	chr15	92882269	92883100	+	652	NA	promoter-TSS (LOC100507217)	NA	-159	LOC100507217								
DFAM71927V3_1_739_R1_peak_1945	chr12	9856	10558	+	637	NA	Intergenic	NA	7549	LOC100288778								
DFAM71927V3_1_739_R1_peak_3198	chr15	90661145	90661828	+	636	NA	intron (RP11-387D10.3, intron 2 of 2)	NA	1252	RP11-387D10.3								
DFAM71927V3_1_739_R1_peak_7711	chr5	170278308	170279073	+	635	NA	intron (LCP2, intron 3 of 20)	NA	19128	LCP2								
