PeakID (cmd=annotatePeaks.pl DFAM71927V3_1_750_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
DFAM71927V3_1_750_R1_peak_2286	chr6	135216919	135219000	+	7440	NA	exon (MYB, exon 15 of 15)	NA	-21201	MIR548A2								
DFAM71927V3_1_750_R1_peak_1279	chr19	46791892	46792481	+	1997	NA	Intergenic	NA	-3167	SLC1A5								
DFAM71927V3_1_750_R1_peak_946	chr16	27173916	27174502	+	1489	NA	Intergenic	NA	-29277	KDM8								
DFAM71927V3_1_750_R1_peak_2242	chr6	63211315	63212040	+	1471	NA	Intergenic	NA	108300	LGSN								
DFAM71927V3_1_750_R1_peak_1730	chr3	17401768	17402506	+	1460	NA	intron (TBC1D5, intron 6 of 20)	NA	340478	TBC1D5								
DFAM71927V3_1_750_R1_peak_1965	chr4	87134642	87136738	+	1319	NA	exon (AFF1, exon 20 of 20)	NA	84832	KLHL8								
DFAM71927V3_1_750_R1_peak_1540	chr20	1392577	1393258	+	1183	NA	promoter-TSS (MIR6869)	NA	44	MIR6869								
DFAM71927V3_1_750_R1_peak_2484	chr8	58801336	58801907	+	1133	NA	Intergenic	NA	-141776	NSMAF								
DFAM71927V3_1_750_R1_peak_287	chr10	6665781	6666375	+	1121	NA	Intergenic	NA	-71513	LOC102723721								
DFAM71927V3_1_750_R1_peak_1345	chr2	60460290	60462641	+	1036	NA	exon (BCL11A, exon 4 of 4)	NA	-59348	LOC102724142								
DFAM71927V3_1_750_R1_peak_2185	chr6	14452550	14453118	+	1007	NA	intron (LOC101928331, intron 1 of 2)	NA	20905	LOC101928331								
DFAM71927V3_1_750_R1_peak_2250	chr6	73519802	73521558	+	898	NA	intron (EEF1A1, intron 1 of 7)	NA	352	EEF1A1								
DFAM71927V3_1_750_R1_peak_1495	chr2	203740935	203741516	+	885	NA	Intergenic	NA	34750	CD28								
DFAM71927V3_1_750_R1_peak_2546	chr8	129167894	129168583	+	871	NA	Intergenic	NA	73002	LINC00977								
DFAM71927V3_1_750_R1_peak_1706	chr22	49838805	49839399	+	866	NA	Intergenic	NA	-14747	ZBED4								
DFAM71927V3_1_750_R1_peak_527	chr11	128476608	128477206	+	860	NA	intron (ETS1, intron 2 of 3)	NA	-45523	MIR6090								
DFAM71927V3_1_750_R1_peak_1244	chr19	15844363	15844915	+	838	NA	Intergenic	NA	15692	UCA1								
DFAM71927V3_1_750_R1_peak_1699	chr22	44455320	44455891	+	807	NA	Intergenic	NA	12278	LOC101927526								
DFAM71927V3_1_750_R1_peak_535	chr12	9924	10561	+	794	NA	Intergenic	NA	7514	LOC100288778								
DFAM71927V3_1_750_R1_peak_1907	chr4	8228759	8229320	+	794	NA	intron (SH3TC1, intron 12 of 17)	NA	29668	SH3TC1								
DFAM71927V3_1_750_R1_peak_1958	chr4	76989178	76989739	+	781	NA	intron (SEPT11, intron 1 of 9)	NA	1644	SEPT11								
DFAM71927V3_1_750_R1_peak_916	chr15	93231419	93232020	+	745	NA	Intergenic	NA	25647	UNQ9370								
DFAM71927V3_1_750_R1_peak_522	chr11	122696594	122697270	+	738	NA	intron (UBASH3B, intron 1 of 13)	NA	-77082	UBASH3B								
