PeakID (cmd=annotatePeaks.pl MONOMAC1_4_778_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MONOMAC1_4_778_R1_peak_2713	chr10	63455434	63472187	+	1209	NA	intron (JMJD1C, intron 1 of 25)	NA	-1419	JMJD1C-AS1								
MONOMAC1_4_778_R1_peak_15880	chr3	196632607	196635616	+	1201	NA	Intergenic	NA	-1473	LINC01063								
MONOMAC1_4_778_R1_peak_15879	chr3	196622043	196632512	+	1154	NA	Intergenic	NA	5361	LINC01063								
MONOMAC1_4_778_R1_peak_15516	chr3	157158892	157161806	+	1110	NA	promoter-TSS (CCNL1)	NA	-145	CCNL1								
MONOMAC1_4_778_R1_peak_2259	chr1	244863285	244869953	+	1108	NA	Intergenic	NA	-2094	HNRNPU								
MONOMAC1_4_778_R1_peak_205	chr1	16903775	16905898	+	1065	NA	Intergenic	NA	8856	RNU1-2								
MONOMAC1_4_778_R1_peak_20947	chr8	100950278	100954226	+	1061	NA	promoter-TSS (YWHAZ)	NA	1143	YWHAZ								
MONOMAC1_4_778_R1_peak_2744	chr10	68330770	68334129	+	1054	NA	promoter-TSS (HNRNPH3)	NA	438	HNRNPH3								
MONOMAC1_4_778_R1_peak_2762	chr10	69055517	69082304	+	1028	NA	Intergenic	NA	-19162	SRGN								
MONOMAC1_4_778_R1_peak_12410	chr2	161160315	161161970	+	1009	NA	intron (TANK, intron 1 of 7)	NA	24187	TANK								
MONOMAC1_4_778_R1_peak_15744	chr3	185935395	185938095	+	992	NA	promoter-TSS (TRA2B)	NA	1283	TRA2B								
MONOMAC1_4_778_R1_peak_6683	chr15	28723907	28731126	+	983	NA	Intergenic	NA	-10067	WHAMMP2								
MONOMAC1_4_778_R1_peak_2546	chr10	32346307	32347736	+	983	NA	promoter-TSS (LOC102031319)	NA	197	EPC1								
MONOMAC1_4_778_R1_peak_9664	chr18	25343754	25352198	+	977	NA	intron (ZNF521, intron 2 of 8)	NA	4194	ZNF521								
MONOMAC1_4_778_R1_peak_2763	chr10	69082431	69096071	+	958	NA	intron (SRGN, intron 1 of 1)	NA	1179	SRGN								
MONOMAC1_4_778_R1_peak_15472	chr3	152241530	152248664	+	945	NA	intron (MBNL1, intron 1 of 9)	NA	776	MBNL1								
MONOMAC1_4_778_R1_peak_17860	chr5	179623838	179624903	+	941	NA	promoter-TSS (HNRNPH1)	NA	-660	HNRNPH1								
MONOMAC1_4_778_R1_peak_5532	chr13	30465410	30467680	+	939	NA	promoter-TSS (HMGB1)	NA	-601	HMGB1								
MONOMAC1_4_778_R1_peak_12879	chr2	231705815	231708231	+	938	NA	Intergenic	NA	-1502	PTMA								
MONOMAC1_4_778_R1_peak_9042	chr17	58330251	58341074	+	922	NA	TTS (MIR4736)	NA	360	MIR4736								
MONOMAC1_4_778_R1_peak_19016	chr6	136288284	136291325	+	922	NA	promoter-TSS (BCLAF1)	NA	47	BCLAF1								
