PeakID (cmd=annotatePeaks.pl P31FUJ_4_776_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
P31FUJ_4_776_R1_peak_6493	chr12	9926047	9935565	+	1114	NA	intron (CLEC2A, intron 1 of 4)	NA	1575	CLEC2A								
P31FUJ_4_776_R1_peak_8326	chr13	45340146	45341265	+	1020	NA	promoter-TSS (TPT1-AS1)	NA	579	TPT1								
P31FUJ_4_776_R1_peak_8902	chr13	109386451	109389928	+	856	NA	Intergenic	NA	-202298	LOC101927627								
P31FUJ_4_776_R1_peak_3331	chr10	22247147	22258917	+	811	NA	exon (LOC100130992, exon 1 of 1)	NA	960	LOC100130992								
P31FUJ_4_776_R1_peak_6563	chr12	12714505	12725583	+	811	NA	intron (CDKN1B, intron 2 of 2)	NA	2676	CDKN1B								
P31FUJ_4_776_R1_peak_10949	chr15	91262633	91266225	+	801	NA	intron (SV2B, intron 6 of 12)	NA	164656	SV2B								
P31FUJ_4_776_R1_peak_8927	chr13	109786970	109791419	+	799	NA	Intergenic	NA	-2627	IRS2								
P31FUJ_4_776_R1_peak_27518	chr7	130959337	130962201	+	798	NA	intron (LINC-PINT, intron 3 of 3)	NA	47305	LOC100506860								
P31FUJ_4_776_R1_peak_795	chr1	40038162	40041887	+	792	NA	promoter-TSS (CAP1)	NA	-559	CAP1								
P31FUJ_4_776_R1_peak_8209	chr13	33541709	33543792	+	760	NA	intron (STARD13, intron 1 of 14)	NA	-11777	LOC102723406								
P31FUJ_4_776_R1_peak_5123	chr11	47390378	47396858	+	748	NA	Intergenic	NA	-7352	MIR4487								
P31FUJ_4_776_R1_peak_1539	chr1	111202802	111206698	+	746	NA	promoter-TSS (DENND2D)	NA	-212	DENND2D								
P31FUJ_4_776_R1_peak_8953	chr13	112586992	112588752	+	742	NA	intron (TUBGCP3, intron 1 of 9)	NA	313	TUBGCP3								
P31FUJ_4_776_R1_peak_6319	chr12	6335458	6343542	+	737	NA	intron (TNFRSF1A, intron 1 of 9)	NA	2617	TNFRSF1A								
P31FUJ_4_776_R1_peak_17801	chr2	191020446	191021963	+	736	NA	Intergenic	NA	-7007	STAT1								
P31FUJ_4_776_R1_peak_14726	chr19	10652956	10653929	+	726	NA	promoter-TSS (ILF3)	NA	430	ILF3-AS1								
P31FUJ_4_776_R1_peak_19112	chr20	60054834	60059413	+	723	NA	intron (C20orf197, intron 1 of 3)	NA	1198	C20orf197								
P31FUJ_4_776_R1_peak_15354	chr19	41264277	41265930	+	721	NA	promoter-TSS (HNRNPUL1)	NA	2584	HNRNPUL1								
P31FUJ_4_776_R1_peak_20493	chr3	17979416	17983243	+	719	NA	intron (LOC339862, intron 1 of 4)	NA	18757	LOC339862								
P31FUJ_4_776_R1_peak_25213	chr6	31734939	31739703	+	716	NA	promoter-TSS (CLIC1)	NA	-776	CLIC1								
P31FUJ_4_776_R1_peak_6490	chr12	9856205	9872254	+	714	NA	intron (CLEC2B, intron 1 of 4)	NA	5630	CLEC2B								
P31FUJ_4_776_R1_peak_27289	chr7	105010856	105015974	+	711	NA	promoter-TSS (KMT2E)	NA	726	KMT2E-AS1								
P31FUJ_4_776_R1_peak_5399	chr11	65497713	65501128	+	702	NA	exon (MALAT1, exon 1 of 1)	NA	1658	MALAT1								
P31FUJ_4_776_R1_peak_14921	chr19	16076416	16080076	+	702	NA	intron (TPM4, intron 1 of 7)	NA	1921	TPM4								
P31FUJ_4_776_R1_peak_3224	chr10	7407378	7411914	+	697	NA	promoter-TSS (SFMBT2)	NA	1840	SFMBT2								
P31FUJ_4_776_R1_peak_8279	chr13	41017421	41019455	+	686	NA	intron (ELF1, intron 1 of 8)	NA	-36156	ELF1								
P31FUJ_4_776_R1_peak_9554	chr14	70881942	70883433	+	677	NA	Intergenic	NA	-24981	PCNX								
P31FUJ_4_776_R1_peak_3332	chr10	22307248	22314958	+	674	NA	Intergenic	NA	-5280	COMMD3								
P31FUJ_4_776_R1_peak_12136	chr16	87778072	87780821	+	672	NA	promoter-TSS (LOC102724467)	NA	-298	LOC102724467								
P31FUJ_4_776_R1_peak_8468	chr13	50909008	50912062	+	664	NA	promoter-TSS (RNASEH2B)	NA	177	RNASEH2B-AS1								
P31FUJ_4_776_R1_peak_12748	chr17	32349473	32351505	+	663	NA	promoter-TSS (ZNF207)	NA	320	MIR632								
P31FUJ_4_776_R1_peak_20327	chr3	9791232	9793884	+	653	NA	promoter-TSS (ARPC4)	NA	10	ARPC4-TTLL3								
P31FUJ_4_776_R1_peak_26909	chr7	74656596	74658352	+	651	NA	promoter-TSS (GTF2I)	NA	-191	GTF2I								
P31FUJ_4_776_R1_peak_6467	chr12	9728408	9734513	+	648	NA	intron (CLECL1, intron 1 of 2)	NA	1822	CLECL1								
P31FUJ_4_776_R1_peak_18218	chr20	379574	381981	+	648	NA	promoter-TSS (TRIB3)	NA	113	TRIB3								
P31FUJ_4_776_R1_peak_7199	chr12	64404466	64405711	+	645	NA	intron (XPOT, intron 1 of 24)	NA	715	XPOT								
P31FUJ_4_776_R1_peak_2191	chr1	173669694	173672258	+	645	NA	Intergenic	NA	-1114	ANKRD45								
P31FUJ_4_776_R1_peak_7144	chr12	57488011	57489167	+	640	NA	promoter-TSS (ARHGAP9)	NA	32	ARHGAP9								
P31FUJ_4_776_R1_peak_13773	chr17	81871374	81872485	+	640	NA	promoter-TSS (ARHGDIA)	NA	-1015	ARHGDIA								
P31FUJ_4_776_R1_peak_8305	chr13	43878390	43880258	+	639	NA	promoter-TSS (LACC1)	NA	-509	LACC1								
P31FUJ_4_776_R1_peak_20175	chr22	46068654	46071008	+	637	NA	intron (LOC642648, intron 1 of 2)	NA	1181	LOC642648								
P31FUJ_4_776_R1_peak_23153	chr5	373934	375748	+	634	NA	intron (AHRR, intron 3 of 10)	NA	68302	C5orf55								
P31FUJ_4_776_R1_peak_8039	chr13	27250610	27253101	+	633	NA	intron (RPL21, intron 1 of 5)	NA	300	RPL21								
P31FUJ_4_776_R1_peak_819	chr1	40691057	40692894	+	632	NA	promoter-TSS (NFYC)	NA	286	NFYC-AS1								
P31FUJ_4_776_R1_peak_3236	chr10	7508291	7509610	+	631	NA	Intergenic	NA	91622	LOC101928171								
P31FUJ_4_776_R1_peak_16805	chr2	70085785	70087449	+	630	NA	promoter-TSS (PCBP1)	NA	398	PCBP1-AS1								
P31FUJ_4_776_R1_peak_9155	chr14	24094216	24095573	+	629	NA	promoter-TSS (NRL)	NA	620	PCK2								
P31FUJ_4_776_R1_peak_22107	chr3	196632691	196634535	+	629	NA	promoter-TSS (LINC01063)	NA	-975	LINC01063								
P31FUJ_4_776_R1_peak_19812	chr22	28798565	28803111	+	623	NA	promoter-TSS (XBP1)	NA	-266	XBP1								
P31FUJ_4_776_R1_peak_19815	chr22	28808135	28812679	+	622	NA	Intergenic	NA	-9835	XBP1								
P31FUJ_4_776_R1_peak_15553	chr19	47110540	47113855	+	620	NA	promoter-TSS (ZC3H4)	NA	50	ZC3H4								
P31FUJ_4_776_R1_peak_22726	chr4	82372339	82374058	+	620	NA	intron (HNRNPD, intron 1 of 8)	NA	798	HNRNPD								
