PeakID (cmd=annotatePeaks.pl DFAM71927V3_1_743_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
DFAM71927V3_1_743_R1_peak_17281	chr7	43582603	43583988	+	9325	NA	exon (STK17A, exon 1 of 7)	NA	202	STK17A								
DFAM71927V3_1_743_R1_peak_8541	chr17	77280860	77282115	+	8789	NA	promoter-TSS (SEPT9)	NA	-13287	SEPT9								
DFAM71927V3_1_743_R1_peak_9295	chr19	4327905	4328997	+	8727	NA	intron (STAP2, intron 6 of 12)	NA	14335	STAP2								
DFAM71927V3_1_743_R1_peak_1429	chr1	160098197	160099390	+	8625	NA	promoter-TSS (IGSF8)	NA	-147	IGSF8								
DFAM71927V3_1_743_R1_peak_16451	chr6	37169319	37170663	+	7788	NA	promoter-TSS (PIM1)	NA	-155	PIM1								
DFAM71927V3_1_743_R1_peak_12599	chr20	62794024	62794956	+	7177	NA	Intergenic	NA	-1962	MRGBP								
DFAM71927V3_1_743_R1_peak_12649	chr20	63641309	63642636	+	5876	NA	intron (STMN3, intron 4 of 4)	NA	10794	STMN3								
DFAM71927V3_1_743_R1_peak_17140	chr7	6503367	6504858	+	5511	NA	intron (GRID2IP, intron 15 of 21)	NA	-1770	LOC101927325								
DFAM71927V3_1_743_R1_peak_17633	chr7	106111613	106112819	+	5216	NA	exon (SYPL1, exon 1 of 5)	NA	129	SYPL1								
DFAM71927V3_1_743_R1_peak_10644	chr19	52527016	52527985	+	5042	NA	promoter-TSS (ZNF808)	NA	-156	ZNF808								
DFAM71927V3_1_743_R1_peak_2139	chr10	28302424	28303566	+	5017	NA	promoter-TSS (MPP7)	NA	29	MPP7								
DFAM71927V3_1_743_R1_peak_19042	chr9	127224469	127225723	+	4352	NA	promoter-TSS (GARNL3)	NA	-39381	GARNL3								
DFAM71927V3_1_743_R1_peak_12884	chr21	44338514	44339692	+	4070	NA	promoter-TSS (C21orf2)	NA	299	C21orf2								
DFAM71927V3_1_743_R1_peak_539	chr1	30717921	30719490	+	3843	NA	promoter-TSS (MATN1-AS1)	NA	-67	MATN1-AS1								
DFAM71927V3_1_743_R1_peak_2870	chr11	560401	561646	+	3581	NA	promoter-TSS (RASSF7)	NA	-244	C11orf35								
DFAM71927V3_1_743_R1_peak_3365	chr11	65569852	65570662	+	3421	NA	promoter-TSS (SSSCA1)	NA	156	SSSCA1-AS1								
DFAM71927V3_1_743_R1_peak_6085	chr15	67254425	67255179	+	3400	NA	promoter-TSS (AAGAB)	NA	2	IQCH								
DFAM71927V3_1_743_R1_peak_11925	chr2	219387289	219388852	+	3191	NA	promoter-TSS (DNPEP)	NA	-274	DNPEP								
DFAM71927V3_1_743_R1_peak_2608	chr10	102395253	102395911	+	3150	NA	promoter-TSS (NFKB2)	NA	-93	NFKB2								
DFAM71927V3_1_743_R1_peak_12093	chr2	241063881	241064564	+	3099	NA	intron (SNED1, intron 18 of 29)	NA	38110	MTERFD2								
DFAM71927V3_1_743_R1_peak_13352	chr22	42500002	42500934	+	2994	NA	promoter-TSS (SERHL)	NA	-111	SERHL								
DFAM71927V3_1_743_R1_peak_18372	chr8	123416223	123417142	+	2910	NA	promoter-TSS (WDYHV1)	NA	-75	WDYHV1								
DFAM71927V3_1_743_R1_peak_12789	chr21	36319617	36320680	+	2901	NA	promoter-TSS (MORC3)	NA	-52	MORC3								
DFAM71927V3_1_743_R1_peak_13395	chr22	45240502	45241641	+	2890	NA	promoter-TSS (KIAA0930)	NA	-28605	KIAA0930								
DFAM71927V3_1_743_R1_peak_17029	chr7	876011	877234	+	2885	NA	promoter-TSS (GET4)	NA	68	GET4								
DFAM71927V3_1_743_R1_peak_19380	chrX	1452486	1454507	+	2837	NA	promoter-TSS (ASMTL)	NA	266	ASMTL								
DFAM71927V3_1_743_R1_peak_12116	chr2	241881069	241882224	+	2832	NA	intron (AC131097.3, intron 1 of 3)	NA	283	AC131097.3								
DFAM71927V3_1_743_R1_peak_600	chr1	33180623	33182524	+	2819	NA	exon (TRIM62, exon 1 of 3)	NA	491	TRIM62								
DFAM71927V3_1_743_R1_peak_1766	chr1	222617631	222618506	+	2805	NA	promoter-TSS (MIA3)	NA	-34	MIA3								
DFAM71927V3_1_743_R1_peak_10659	chr19	52962563	52963292	+	2794	NA	promoter-TSS (ZNF816)	NA	-16	ZNF816-ZNF321P								
DFAM71927V3_1_743_R1_peak_10237	chr19	40777856	40778978	+	2793	NA	TTS (MIA)	NA	198	RAB4B-EGLN2								
DFAM71927V3_1_743_R1_peak_1724	chr1	211578963	211579784	+	2786	NA	promoter-TSS (SLC30A1)	NA	-616	SLC30A1								
DFAM71927V3_1_743_R1_peak_10749	chr19	55623986	55624961	+	2771	NA	intron (ZNF784, intron 1 of 1)	NA	102	ZNF784								
DFAM71927V3_1_743_R1_peak_2334	chr10	69408421	69409279	+	2744	NA	intron (TACR2, intron 3 of 4)	NA	8068	TACR2								
DFAM71927V3_1_743_R1_peak_15584	chr5	134370981	134372043	+	2700	NA	promoter-TSS (CDKL3)	NA	333	UBE2B								
DFAM71927V3_1_743_R1_peak_3383	chr11	65833478	65834105	+	2699	NA	promoter-TSS (LOC101927853)	NA	-148	SNX32								
