PeakID (cmd=annotatePeaks.pl DFAM71927V3_1_748_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
DFAM71927V3_1_748_R1_peak_20945	chr6	31958702	31959419	+	5731	NA	promoter-TSS (SKIV2L)	NA	27	NELFE								
DFAM71927V3_1_748_R1_peak_11182	chr17	82450421	82451142	+	5559	NA	promoter-TSS (C17orf62)	NA	50	C17orf62								
DFAM71927V3_1_748_R1_peak_21653	chr6	136249966	136250696	+	5437	NA	promoter-TSS (MTFR2)	NA	-20	MTFR2								
DFAM71927V3_1_748_R1_peak_12802	chr19	41859411	41860747	+	5435	NA	exon (RPS19, exon 1 of 6)	NA	161	RPS19								
DFAM71927V3_1_748_R1_peak_15198	chr2	240560771	240561536	+	5213	NA	promoter-TSS (ANKMY1)	NA	-85	ANKMY1								
DFAM71927V3_1_748_R1_peak_5138	chr12	6662924	6663653	+	5035	NA	promoter-TSS (ING4)	NA	-146	ING4								
DFAM71927V3_1_748_R1_peak_17071	chr3	9986478	9987257	+	4966	NA	promoter-TSS (EMC3)	NA	-26	EMC3-AS1								
DFAM71927V3_1_748_R1_peak_11556	chr18	63422156	63422965	+	4954	NA	promoter-TSS (VPS4B)	NA	-41	VPS4B								
DFAM71927V3_1_748_R1_peak_732	chr1	36385763	36386376	+	4883	NA	promoter-TSS (STK40)	NA	-142	STK40								
DFAM71927V3_1_748_R1_peak_6279	chr12	124988871	124989422	+	4726	NA	promoter-TSS (DHX37)	NA	-25	DHX37								
DFAM71927V3_1_748_R1_peak_24917	chr9	136363168	136364053	+	4691	NA	TTS (CARD9)	NA	201	DNLZ								
DFAM71927V3_1_748_R1_peak_18496	chr4	1712557	1713363	+	4588	NA	promoter-TSS (SLBP)	NA	-657	SLBP								
DFAM71927V3_1_748_R1_peak_1746	chr1	161201913	161202741	+	4495	NA	promoter-TSS (NDUFS2)	NA	-3272	ADAMTS4								
DFAM71927V3_1_748_R1_peak_12895	chr19	45177969	45179217	+	4475	NA	promoter-TSS (TRAPPC6A)	NA	-152	BLOC1S3								
DFAM71927V3_1_748_R1_peak_9249	chr16	67226810	67227379	+	4428	NA	promoter-TSS (TMEM208)	NA	-9	TMEM208								
DFAM71927V3_1_748_R1_peak_2424	chr1	235160985	235161609	+	4285	NA	promoter-TSS (RBM34)	NA	-41	RBM34								
DFAM71927V3_1_748_R1_peak_24126	chr9	32552008	32552842	+	4284	NA	exon (TOPORS-AS1, exon 1 of 2)	NA	191	TOPORS-AS1								
DFAM71927V3_1_748_R1_peak_20108	chr5	141618866	141619396	+	4233	NA	promoter-TSS (DIAPH1)	NA	-76	DIAPH1								
DFAM71927V3_1_748_R1_peak_21105	chr6	36985923	36986459	+	4177	NA	exon (MTCH1, exon 1 of 12)	NA	360	MTCH1								
DFAM71927V3_1_748_R1_peak_17072	chr3	10026124	10026879	+	4154	NA	promoter-TSS (CIDECP)	NA	72	FANCD2								
DFAM71927V3_1_748_R1_peak_8090	chr15	72783495	72784200	+	4118	NA	promoter-TSS (ADPGK)	NA	1012	ADPGK-AS1								
DFAM71927V3_1_748_R1_peak_5139	chr12	6688845	6689970	+	4102	NA	promoter-TSS (ZNF384)	NA	-451	ZNF384								
DFAM71927V3_1_748_R1_peak_16295	chr21	44339044	44339760	+	4093	NA	promoter-TSS (C21orf2)	NA	0	C21orf2								
DFAM71927V3_1_748_R1_peak_949	chr1	52033561	52034094	+	3961	NA	promoter-TSS (KTI12)	NA	-27	KTI12								
DFAM71927V3_1_748_R1_peak_6239	chr12	123633450	123633966	+	3832	NA	promoter-TSS (GTF2H3)	NA	-31	GTF2H3								
DFAM71927V3_1_748_R1_peak_20709	chr6	24720825	24721695	+	3827	NA	promoter-TSS (C6orf62)	NA	-424	C6orf62								
DFAM71927V3_1_748_R1_peak_12341	chr19	17215054	17215615	+	3750	NA	promoter-TSS (USE1)	NA	-12	USE1								
DFAM71927V3_1_748_R1_peak_9319	chr16	69761875	69762952	+	3746	NA	intron (WWP2, intron 1 of 23)	NA	129	WWP2								
DFAM71927V3_1_748_R1_peak_12688	chr19	38335561	38336044	+	3685	NA	promoter-TSS (CATSPERG)	NA	-321	CATSPERG								
DFAM71927V3_1_748_R1_peak_10249	chr17	38824825	38825568	+	3655	NA	promoter-TSS (MIR4727)	NA	154	CWC25								
DFAM71927V3_1_748_R1_peak_24847	chr9	132406468	132407069	+	3645	NA	promoter-TSS (TTF1)	NA	-397	TTF1								
DFAM71927V3_1_748_R1_peak_3952	chr11	18321860	18322709	+	3629	NA	promoter-TSS (GTF2H1)	NA	-80	HPS5								
DFAM71927V3_1_748_R1_peak_8594	chr16	2537438	2538190	+	3602	NA	promoter-TSS (PDPK1)	NA	-150	PDPK1								
DFAM71927V3_1_748_R1_peak_592	chr1	28642858	28643616	+	3551	NA	promoter-TSS (TAF12)	NA	-5363	RNU11								
DFAM71927V3_1_748_R1_peak_15849	chr20	56468357	56468938	+	3537	NA	promoter-TSS (RTFDC1)	NA	62	RTFDC1								
DFAM71927V3_1_748_R1_peak_11144	chr17	81870669	81871750	+	3524	NA	promoter-TSS (ARHGDIA)	NA	197	ARHGDIA								
DFAM71927V3_1_748_R1_peak_11137	chr17	81666482	81667112	+	3516	NA	promoter-TSS (OXLD1)	NA	66	CCDC137								
DFAM71927V3_1_748_R1_peak_21101	chr6	36885638	36886209	+	3508	NA	promoter-TSS (C6orf89)	NA	59	C6orf89								
DFAM71927V3_1_748_R1_peak_12337	chr19	17075114	17076041	+	3498	NA	promoter-TSS (HAUS8)	NA	-44	HAUS8								
DFAM71927V3_1_748_R1_peak_42	chr1	1658814	1659550	+	3466	NA	promoter-TSS (CDK11B)	NA	657	CDK11B								
DFAM71927V3_1_748_R1_peak_14410	chr2	128090820	128091656	+	3465	NA	promoter-TSS (UGGT1)	NA	35	UGGT1								
DFAM71927V3_1_748_R1_peak_6307	chr12	131928955	131929546	+	3444	NA	promoter-TSS (PUS1)	NA	-3	PUS1								
DFAM71927V3_1_748_R1_peak_21842	chr6	159790140	159790705	+	3421	NA	promoter-TSS (MRPL18)	NA	-70	MRPL18								
DFAM71927V3_1_748_R1_peak_301	chr1	15975862	15976364	+	3408	NA	promoter-TSS (ZBTB17)	NA	-18	LOC101928566								
DFAM71927V3_1_748_R1_peak_10281	chr17	39730175	39730809	+	3406	NA	promoter-TSS (MIEN1)	NA	43	MIEN1								
DFAM71927V3_1_748_R1_peak_16608	chr22	30591732	30592486	+	3406	NA	promoter-TSS (PES1)	NA	-169	PES1								
DFAM71927V3_1_748_R1_peak_24225	chr9	40991816	40992855	+	3385	NA	promoter-TSS (LOC100132352)	NA	-2	LOC100132352								
DFAM71927V3_1_748_R1_peak_5896	chr12	100200372	100201280	+	3381	NA	promoter-TSS (ACTR6)	NA	49	ACTR6								
DFAM71927V3_1_748_R1_peak_8703	chr16	8797505	8798099	+	3378	NA	promoter-TSS (PMM2)	NA	-17	PMM2								
DFAM71927V3_1_748_R1_peak_9608	chr16	89657448	89657957	+	3378	NA	promoter-TSS (SPATA33)	NA	83	CHMP1A								
DFAM71927V3_1_748_R1_peak_1347	chr1	113929126	113929809	+	3359	NA	promoter-TSS (RP5-1073O3.7)	NA	-235	RP5-1073O3.7								
DFAM71927V3_1_748_R1_peak_4231	chr11	62839371	62839843	+	3357	NA	exon (WDR74, exon 2 of 12)	NA	965	WDR74								
DFAM71927V3_1_748_R1_peak_4329	chr11	65083932	65084606	+	3355	NA	promoter-TSS (CDCA5)	NA	47	ZFPL1								
DFAM71927V3_1_748_R1_peak_3453	chr10	102743335	102744099	+	3353	NA	promoter-TSS (WBP1L)	NA	-253	WBP1L								
DFAM71927V3_1_748_R1_peak_19773	chr5	94111350	94111968	+	3322	NA	promoter-TSS (FAM172A)	NA	40	FAM172A								
