PeakID (cmd=annotatePeaks.pl UT7_3_187_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
UT7_3_187_R1_peak_402	chr1	16904455	16905264	+	2916	NA	Intergenic	NA	8879	RNU1-2								
UT7_3_187_R1_peak_18812	chr19	38849475	38850102	+	2617	NA	exon (HNRNPL, exon 1 of 10)	NA	189	HNRNPL								
UT7_3_187_R1_peak_36325	chr9	3524992	3528195	+	2482	NA	promoter-TSS (RFX3)	NA	-1946	RFX3								
UT7_3_187_R1_peak_23135	chr20	35741095	35742339	+	2477	NA	intron (RBM39, intron 1 of 16)	NA	619	RBM39								
UT7_3_187_R1_peak_8694	chr12	51238729	51240450	+	2226	NA	intron (DAZAP2, intron 1 of 3)	NA	865	DAZAP2								
UT7_3_187_R1_peak_18584	chr19	33373007	33374932	+	2163	NA	promoter-TSS (CEBPG)	NA	-555	CEBPG								
UT7_3_187_R1_peak_17862	chr19	10654052	10655980	+	2039	NA	intron (ILF3, intron 1 of 18)	NA	-1144	ILF3-AS1								
UT7_3_187_R1_peak_24038	chr21	33541205	33544752	+	1943	NA	promoter-TSS (GART)	NA	-60	SON								
UT7_3_187_R1_peak_36527	chr9	17134371	17136074	+	1909	NA	exon (CNTLN, exon 1 of 7)	NA	231	CNTLN								
UT7_3_187_R1_peak_17861	chr19	10652944	10653892	+	1895	NA	promoter-TSS (ILF3)	NA	454	ILF3-AS1								
UT7_3_187_R1_peak_23386	chr20	45970758	45973310	+	1842	NA	promoter-TSS (ZNF335)	NA	-765	ZNF335								
UT7_3_187_R1_peak_18526	chr19	28606597	28610424	+	1770	NA	intron (LOC102724908, intron 1 of 3)	NA	1822	LOC102724908								
UT7_3_187_R1_peak_19193	chr19	46600167	46602898	+	1752	NA	promoter-TSS (PPP5D1)	NA	277	CALM3								
UT7_3_187_R1_peak_1421	chr1	47224031	47232349	+	1651	NA	intron (TAL1, intron 2 of 4)	NA	3525	TAL1								
UT7_3_187_R1_peak_36500	chr9	15509914	15511911	+	1641	NA	promoter-TSS (PSIP1)	NA	-623	PSIP1								
UT7_3_187_R1_peak_12702	chr15	78872934	78873942	+	1627	NA	intron (MORF4L1, intron 1 of 11)	NA	657	MORF4L1								
UT7_3_187_R1_peak_24299	chr21	42974635	42975987	+	1627	NA	intron (PKNOX1, intron 1 of 9)	NA	801	PKNOX1								
UT7_3_187_R1_peak_1230	chr1	40691023	40692580	+	1611	NA	promoter-TSS (NFYC)	NA	460	NFYC-AS1								
UT7_3_187_R1_peak_747	chr1	26472202	26473034	+	1592	NA	exon (HMGN2, exon 1 of 6)	NA	207	HMGN2								
UT7_3_187_R1_peak_17848	chr19	10501661	10503896	+	1580	NA	promoter-TSS (KEAP1)	NA	-93	KEAP1								
UT7_3_187_R1_peak_19241	chr19	47109175	47113215	+	1579	NA	intron (ZC3H4, intron 1 of 14)	NA	2557	ZC3H4								
UT7_3_187_R1_peak_7613	chr11	123062598	123063928	+	1563	NA	promoter-TSS (HSPA8)	NA	910	LOC101929289								
UT7_3_187_R1_peak_32746	chr6	136288324	136291244	+	1554	NA	promoter-TSS (BCLAF1)	NA	861	BCLAF1								
UT7_3_187_R1_peak_8747	chr12	52069287	52070966	+	1549	NA	exon (C12orf44, exon 1 of 4)	NA	152	C12orf44								
UT7_3_187_R1_peak_33054	chr6	154732723	154734934	+	1547	NA	exon (SCAF8, exon 2 of 21)	NA	450	SCAF8								
UT7_3_187_R1_peak_9019	chr12	64404398	64406284	+	1539	NA	intron (XPOT, intron 1 of 24)	NA	968	XPOT								
UT7_3_187_R1_peak_908	chr1	29180259	29181931	+	1529	NA	intron (SRSF4, intron 1 of 8)	NA	1030	SRSF4								
UT7_3_187_R1_peak_36407	chr9	4983642	4987453	+	1528	NA	promoter-TSS (JAK2)	NA	302	JAK2								
UT7_3_187_R1_peak_24247	chr21	41878207	41880101	+	1524	NA	intron (PRDM15, intron 1 of 30)	NA	328	PRDM15								
UT7_3_187_R1_peak_1450	chr1	50976358	50979489	+	1507	NA	exon (C1orf185, exon 2 of 7)	NA	1466	C1orf185								
UT7_3_187_R1_peak_23151	chr20	36050106	36051079	+	1487	NA	exon (LINC00657, exon 1 of 1)	NA	368	LINC00657								
UT7_3_187_R1_peak_32176	chr6	67881298	67889276	+	1487	NA	Intergenic	NA	-155636	LOC102723883								
UT7_3_187_R1_peak_31934	chr6	42781794	42784212	+	1449	NA	promoter-TSS (FLJ38717)	NA	76	FLJ38717								
UT7_3_187_R1_peak_579	chr1	22052259	22053988	+	1442	NA	intron (CDC42, intron 1 of 5)	NA	496	CDC42								
UT7_3_187_R1_peak_23316	chr20	43457529	43459029	+	1438	NA	intron (SRSF6, intron 1 of 6)	NA	415	SRSF6								
UT7_3_187_R1_peak_4005	chr1	234607069	234613561	+	1436	NA	promoter-TSS (IRF2BP2)	NA	-790	IRF2BP2								
UT7_3_187_R1_peak_13312	chr16	2776672	2778447	+	1406	NA	promoter-TSS (TCEB2)	NA	-263	TCEB2								
UT7_3_187_R1_peak_3569	chr1	205748909	205750887	+	1401	NA	intron (NUCKS1, intron 1 of 6)	NA	322	NUCKS1								
UT7_3_187_R1_peak_37557	chr9	128656364	128657414	+	1395	NA	promoter-TSS (WDR34)	NA	-39	WDR34								
UT7_3_187_R1_peak_1523	chr1	53837476	53838685	+	1392	NA	promoter-TSS (NDC1)	NA	472	NDC1								
UT7_3_187_R1_peak_24233	chr21	39181939	39184712	+	1391	NA	TTS (BRWD1)	NA	189	PSMG1								
UT7_3_187_R1_peak_31016	chr6	20401877	20405143	+	1387	NA	promoter-TSS (E2F3)	NA	-169	E2F3								
UT7_3_187_R1_peak_1072	chr1	36155215	36157533	+	1385	NA	promoter-TSS (TRAPPC3)	NA	409	MAP7D1								
UT7_3_187_R1_peak_37031	chr9	94166144	94166792	+	1375	NA	Intergenic	NA	-9545	MIRLET7A1								
UT7_3_187_R1_peak_24671	chr22	28798942	28801301	+	1374	NA	intron (XBP1, intron 1 of 4)	NA	451	XBP1								
UT7_3_187_R1_peak_8611	chr12	50166429	50167397	+	1368	NA	intron (CERS5, intron 1 of 10)	NA	620	CERS5								
UT7_3_187_R1_peak_24704	chr22	29267533	29269512	+	1367	NA	promoter-TSS (RHBDD3)	NA	-437	RHBDD3								
UT7_3_187_R1_peak_24169	chr21	37366727	37371542	+	1361	NA	intron (DYRK1A, intron 1 of 11)	NA	-51166	DYRK1A								
UT7_3_187_R1_peak_16260	chr17	64504887	64507527	+	1360	NA	promoter-TSS (CEP95)	NA	717	DDX5								
UT7_3_187_R1_peak_21659	chr2	177212669	177214033	+	1359	NA	TTS (MIR4444-1)	NA	583	MIR4444-1								
UT7_3_187_R1_peak_27036	chr3	136195130	136196497	+	1338	NA	promoter-TSS (MSL2)	NA	-1345	MSL2								
UT7_3_187_R1_peak_16068	chr17	58006129	58007690	+	1338	NA	intron (SRSF1, intron 1 of 4)	NA	364	SRSF1								
UT7_3_187_R1_peak_626	chr1	23979264	23980435	+	1336	NA	intron (SRSF10, intron 1 of 5)	NA	614	SRSF10								
UT7_3_187_R1_peak_19750	chr19	55653903	55656831	+	1333	NA	intron (U2AF2, intron 1 of 11)	NA	1317	U2AF2								
UT7_3_187_R1_peak_21666	chr2	177262786	177265742	+	1333	NA	promoter-TSS (NFE2L2)	NA	867	NFE2L2								
UT7_3_187_R1_peak_17818	chr19	10193707	10195026	+	1331	NA	intron (DNMT1, intron 1 of 39)	NA	713	DNMT1								
UT7_3_187_R1_peak_2682	chr1	155562002	155564213	+	1309	NA	promoter-TSS (ASH1L)	NA	-575	ASH1L								
UT7_3_187_R1_peak_25266	chr22	41091667	41093401	+	1301	NA	promoter-TSS (EP300)	NA	21	MIR1281								
UT7_3_187_R1_peak_10148	chr13	91346648	91349402	+	1292	NA	intron (MIR17HG, intron 1 of 1)	NA	205	MIR17HG								
UT7_3_187_R1_peak_17772	chr19	8444499	8446233	+	1292	NA	intron (HNRNPM, intron 1 of 15)	NA	446	HNRNPM								
UT7_3_187_R1_peak_16075	chr17	58330379	58340529	+	1292	NA	TTS (MIR4736)	NA	568	MIR4736								
UT7_3_187_R1_peak_1043	chr1	35192103	35193199	+	1287	NA	exon (SFPQ, exon 1 of 12)	NA	504	SFPQ								
