PeakID (cmd=annotatePeaks.pl DFAM71927V3_1_745_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
DFAM71927V3_1_745_R1_peak_736	chr6	135217167	135218753	+	1816	NA	exon (MYB, exon 16 of 16)	NA	-21260	MIR548A2								
DFAM71927V3_1_745_R1_peak_714	chr6	63211560	63211813	+	1020	NA	Intergenic	NA	108291	LGSN								
DFAM71927V3_1_745_R1_peak_541	chr3	17402018	17402269	+	719	NA	intron (TBC1D5, intron 7 of 21)	NA	338764	TBC1D5								
DFAM71927V3_1_745_R1_peak_889	chrUn_KI270752v1	20533	20695	+	717	NA	intron (LOC102723822, intron 8 of 14)	NA	9234	LOC102723822								
DFAM71927V3_1_745_R1_peak_888	chrUn_KI270752v1	12677	12736	+	698	NA	intron (LOC102723822, intron 1 of 14)	NA	1326	LOC102723822								
DFAM71927V3_1_745_R1_peak_187	chr13	18212079	18212160	+	667	NA	intron (FAM230C, intron 1 of 7)	NA	16822	FAM230C								
DFAM71927V3_1_745_R1_peak_511	chr22	18892476	18892541	+	652	NA	Intergenic	NA	-13715	DGCR6								
DFAM71927V3_1_745_R1_peak_649	chr5	49658126	49658179	+	650	NA	Intergenic	NA	783248	EMB								
DFAM71927V3_1_745_R1_peak_932	chrX	156030563	156030651	+	631	NA	Intergenic	NA	27778	IL9R								
DFAM71927V3_1_745_R1_peak_191	chr13	32458772	32458829	+	622	NA	intron (N4BP2L2, intron 7 of 10)	NA	-30622	N4BP2L1								
DFAM71927V3_1_745_R1_peak_153	chr12	10078	10345	+	622	NA	Intergenic	NA	7545	LOC100288778								
DFAM71927V3_1_745_R1_peak_309	chr17	26594869	26594929	+	612	NA	Intergenic	NA	699043	MIR4522								
DFAM71927V3_1_745_R1_peak_25	chr1	91628890	91628940	+	596	NA	Intergenic	NA	-61105	LOC102723436								
DFAM71927V3_1_745_R1_peak_239	chr15	35019565	35019631	+	591	NA	Intergenic	NA	-31302	ZNF770								
DFAM71927V3_1_745_R1_peak_865	chrUn_KI270438v1	110499	110567	+	584	NA	NA	NA	NA	NA								
DFAM71927V3_1_745_R1_peak_682	chr5	152759887	152759942	+	579	NA	intron (AC091969.1, intron 3 of 4)	NA	212435	AC091969.1								
DFAM71927V3_1_745_R1_peak_673	chr5	112041605	112041678	+	568	NA	Intergenic	NA	-64710	NREP								
DFAM71927V3_1_745_R1_peak_840	chr9	112037762	112038088	+	545	NA	Intergenic	NA	105825	MIR4668								
DFAM71927V3_1_745_R1_peak_578	chr3	194502968	194503019	+	531	NA	Intergenic	NA	-1490	LOC100507033								
DFAM71927V3_1_745_R1_peak_473	chr20	1392833	1393008	+	522	NA	promoter-TSS (MIR6869)	NA	4	MIR6869								
DFAM71927V3_1_745_R1_peak_391	chr19	57826643	57826722	+	520	NA	exon (FKBP1AP1, exon 2 of 2)	NA	780	FKBP1AP1								
DFAM71927V3_1_745_R1_peak_55	chr1	169249791	169249844	+	517	NA	intron (NME7, intron 7 of 11)	NA	118146	NME7								
DFAM71927V3_1_745_R1_peak_293	chr16	69796573	69796883	+	516	NA	intron (WWP2, intron 3 of 24)	NA	13616	WWP2								
DFAM71927V3_1_745_R1_peak_540	chr3	14161773	14161830	+	457	NA	intron (XPC, intron 7 of 12)	NA	16871	XPC								
DFAM71927V3_1_745_R1_peak_738	chr6	140133579	140133642	+	453	NA	Intergenic	NA	54142	RP3-332B22.1								
DFAM71927V3_1_745_R1_peak_95	chr10	53360296	53360346	+	452	NA	Intergenic	NA	-589671	MBL2								
