PeakID (cmd=annotatePeaks.pl DFAM71927V3_1_742_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
DFAM71927V3_1_742_R1_peak_18654	chr6	73519889	73521557	+	5278	NA	intron (EEF1A1, intron 1 of 7)	NA	309	EEF1A1								
DFAM71927V3_1_742_R1_peak_15098	chr3	17401868	17402416	+	5116	NA	intron (TBC1D5, intron 7 of 21)	NA	184324	TBC1D5								
DFAM71927V3_1_742_R1_peak_19209	chr7	4641529	4642551	+	5070	NA	Intergenic	NA	-40259	FOXK1								
DFAM71927V3_1_742_R1_peak_18889	chr6	135217023	135218888	+	4900	NA	exon (MYB, exon 14 of 14)	NA	-21205	MIR548A2								
DFAM71927V3_1_742_R1_peak_12223	chr2	70085777	70087794	+	4468	NA	promoter-TSS (PCBP1)	NA	230	PCBP1-AS1								
DFAM71927V3_1_742_R1_peak_7261	chr15	92808611	92810016	+	3975	NA	intron (LOC101926994, intron 1 of 3)	NA	1021	LOC101926994								
DFAM71927V3_1_742_R1_peak_18173	chr6	27132217	27133392	+	3751	NA	promoter-TSS (HIST1H2BJ)	NA	-8	HIST1H2BJ								
DFAM71927V3_1_742_R1_peak_12265	chr2	74198210	74199750	+	3683	NA	intron (MTHFD2, intron 1 of 6)	NA	394	MTHFD2								
DFAM71927V3_1_742_R1_peak_17671	chr5	154754411	154755905	+	3658	NA	promoter-TSS (LARP1)	NA	69331	MIR1303								
DFAM71927V3_1_742_R1_peak_5809	chr13	91346914	91349879	+	3555	NA	intron (MIR17HG, intron 1 of 3)	NA	576	MIR17HG								
DFAM71927V3_1_742_R1_peak_8613	chr17	7572290	7573108	+	3506	NA	promoter-TSS (EIF4A1)	NA	-7	EIF4A1								
DFAM71927V3_1_742_R1_peak_6788	chr15	50353900	50355995	+	3471	NA	promoter-TSS (FLJ10038)	NA	-68	FLJ10038								
DFAM71927V3_1_742_R1_peak_13496	chr20	17968148	17969195	+	3336	NA	promoter-TSS (MGME1)	NA	-272	MGME1								
DFAM71927V3_1_742_R1_peak_13190	chr2	231463552	231465356	+	3315	NA	promoter-TSS (NCL)	NA	40	NCL								
DFAM71927V3_1_742_R1_peak_15790	chr3	129182797	129184277	+	3155	NA	intron (CNBP, intron 1 of 4)	NA	430	CNBP								
DFAM71927V3_1_742_R1_peak_17996	chr6	13614661	13615544	+	3038	NA	promoter-TSS (NOL7)	NA	-225	NOL7								
DFAM71927V3_1_742_R1_peak_10358	chr19	1863575	1864931	+	3018	NA	promoter-TSS (KLF16)	NA	-688	KLF16								
