PeakID (cmd=annotatePeaks.pl SP1.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_2900	chr1	222617353	222619067	+	0	NA	exon (MIA3, exon 1 of 28)	NA	-26098	MIA3								
Interval_9074	chr14	92704313	92704673	+	0	NA	intron (LGMN, intron 11 of 11)	NA	44137	LGMN								
Interval_11460	chr16	69330030	69331021	+	0	NA	promoter-TSS (PDF)	NA	70	PDF								
Interval_10501	chr16	2010364	2010526	+	0	NA	promoter-TSS (ZNF598)	NA	-624	ZNF598								
Interval_2993	chr1	227887493	227888009	+	0	NA	Intergenic	NA	53911	MIR5008								
Interval_9785	chr15	64825504	64826081	+	0	NA	promoter-TSS (PIF1)	NA	-124	PIF1								
Interval_14669	chr19	892388	893782	+	0	NA	promoter-TSS (RNU6-9)	NA	133	MED16								
Interval_16573	chr19	44500062	44500997	+	0	NA	promoter-TSS (ZNF180)	NA	-6	ZNF180								
Interval_17073	chr19	51132509	51132710	+	0	NA	intron (SIGLEC9, intron 6 of 6)	NA	7701	SIGLEC9								
Interval_12352	chr17	17511856	17512113	+	0	NA	intron (PEMT, intron 4 of 6)	NA	-15589	RASD1								
Interval_14436	chr18	63100159	63100351	+	0	NA	Intergenic	NA	219523	BCL2								
Interval_11260	chr16	56729499	56730556	+	0	NA	promoter-TSS (NUP93)	NA	47557	MT1X								
Interval_18860	chr2	169694204	169694812	+	0	NA	promoter-TSS (PHOSPHO2)	NA	54	PHOSPHO2								
Interval_29042	chr7	130205276	130205668	+	0	NA	promoter-TSS (TMEM209)	NA	2	TMEM209								
Interval_13692	chr17	77088553	77088850	+	0	NA	promoter-TSS (SEC14L1)	NA	58	LINC00338								
Interval_7569	chr12	111598558	111598826	+	0	NA	promoter-TSS (LOC102723619)	NA	-322	LOC102723619								
Interval_6156	chr11	119056732	119057734	+	0	NA	promoter-TSS (HYOU1)	NA	-28	HYOU1								
Interval_12847	chr17	41966430	41967115	+	0	NA	promoter-TSS (CNP)	NA	31	CNP								
Interval_23765	chr4	10093824	10094015	+	0	NA	promoter-TSS (WDR1)	NA	-15274	MIR3138								
Interval_4358	chr10	119080588	119081277	+	0	NA	promoter-TSS (EIF3A)	NA	-110	EIF3A								
Interval_11314	chr16	58024619	58024810	+	0	NA	promoter-TSS (MMP15)	NA	-664	MMP15								
Interval_6913	chr12	51391117	51391935	+	0	NA	promoter-TSS (GALNT6)	NA	-9186	GALNT6								
Interval_8445	chr14	22851491	22851718	+	0	NA	Intergenic	NA	15071	MMP14								
Interval_26371	chr6	24666562	24667331	+	0	NA	promoter-TSS (ACOT13)	NA	-59	TDP2								
Interval_10814	chr16	19521674	19522568	+	0	NA	promoter-TSS (GDE1)	NA	7	GDE1								
Interval_25635	chr5	148808902	148809386	+	0	NA	Intergenic	NA	-17449	ADRB2								
Interval_15923	chr19	18663996	18664312	+	0	NA	intron (KLHL26, intron 1 of 2)	NA	4467	KLHL26								
Interval_24406	chr4	139734904	139735316	+	0	NA	intron (MAML3, intron 2 of 4)	NA	69342	MGST2								
Interval_12638	chr17	34486114	34486297	+	0	NA	Intergenic	NA	93164	C17orf102								
Interval_21515	chr22	40621430	40621676	+	0	NA	intron (MKL1, intron 1 of 14)	NA	44464	LOC102723646								
Interval_871	chr1	31943936	31944862	+	0	NA	Intergenic	NA	-6020	PTP4A2								
Interval_17383	chr19	58464939	58465104	+	0	NA	intron (ZNF324, intron 1 of 3)	NA	7369	ZNF324								
Interval_1093	chr1	40979298	40980258	+	0	NA	promoter-TSS (CTPS1)	NA	82	CTPS1								
Interval_8311	chr13	105140041	105140312	+	0	NA	Intergenic	NA	-325842	DAOA								
Interval_29694	chr8	28148632	28148823	+	0	NA	intron (ELP3, intron 8 of 12)	NA	55660	ELP3								
Interval_19467	chr2	238947832	238948746	+	0	NA	Intergenic	NA	-22020	FLJ43879								
Interval_13789	chr17	78925039	78925201	+	0	NA	exon (TIMP2, exon 1 of 5)	NA	270	TIMP2								
Interval_760	chr1	27618511	27618855	+	0	NA	intron (FGR, intron 5 of 12)	NA	7557	FGR								
Interval_28472	chr7	66205177	66205399	+	0	NA	promoter-TSS (TPST1)	NA	16	TPST1								
Interval_7971	chr13	21061034	21061853	+	0	NA	exon (LATS2, exon 1 of 8)	NA	140	LATS2								
Interval_7525	chr12	110048346	110048895	+	0	NA	promoter-TSS (C12orf76)	NA	-20111	C12orf76								
Interval_32686	chrX	123962994	123963346	+	0	NA	intron (STAG2, intron 1 of 33)	NA	-1829	LOC101928402								
Interval_3708	chr10	67761865	67762081	+	0	NA	Intergenic	NA	-2530	TRNAS21								
Interval_29516	chr8	13149853	13150080	+	0	NA	intron (DLC1, intron 5 of 17)	NA	-33722	DLC1								
Interval_23001	chr3	131502804	131503155	+	0	NA	promoter-TSS (MRPL3)	NA	37	MRPL3								
Interval_17904	chr2	47896518	47896760	+	0	NA	intron (FBXO11, intron 1 of 21)	NA	9746	FBXO11								
Interval_28859	chr7	102288237	102288482	+	0	NA	intron (SH2B2, intron 1 of 8)	NA	-1148	SH2B2								
Interval_17440	chr2	8298821	8299139	+	0	NA	intron (LINC00299, intron 3 of 8)	NA	29439	LINC00299								
Interval_3605	chr10	45972303	45972494	+	0	NA	promoter-TSS (TIMM23)	NA	2	LOC728407								
Interval_32441	chrX	49155792	49156534	+	0	NA	Intergenic	NA	-6703	MAGIX								
Interval_1836	chr1	125181932	125182091	+	0	NA	Intergenic	NA	3662899	EMBP1								
Interval_24098	chr4	78057182	78057442	+	0	NA	promoter-TSS (FRAS1)	NA	344	FRAS1								
Interval_4472	chr10	125045878	125046061	+	0	NA	intron (CTBP2, intron 1 of 9)	NA	-13109	MIR4296								
Interval_16350	chr19	39539881	39540376	+	0	NA	promoter-TSS (EID2)	NA	70	EID2								
Interval_26620	chr6	31356306	31356741	+	0	NA	intron (HLA-B, intron 2 of 7)	NA	656	HLA-B								
Interval_17865	chr2	45771376	45771675	+	0	NA	intron (PRKCE, intron 5 of 19)	NA	-119478	LOC102724965								
Interval_26825	chr6	36291187	36291503	+	0	NA	exon (PNPLA1, exon 2 of 8)	NA	45540	C6orf222								
Interval_9340	chr14	106872530	106872912	+	0	NA	Intergenic	NA	390282	LINC00221								
Interval_26575	chr6	30515958	30516949	+	0	NA	Intergenic	NA	27047	HLA-E								
Interval_15437	chr19	11924428	11925587	+	0	NA	promoter-TSS (ZNF700)	NA	-61	ZNF700								
Interval_17923	chr2	54330549	54330981	+	0	NA	promoter-TSS (C2orf73)	NA	-169	C2orf73								
Interval_32475	chrX	53440936	53441140	+	0	NA	Intergenic	NA	-6662	HSD17B10								
Interval_14360	chr18	55634575	55634800	+	0	NA	intron (TCF4, intron 1 of 20)	NA	155461	MIR4529								
Interval_28898	chr7	105388709	105389400	+	0	NA	promoter-TSS (SRPK2)	NA	-90280	SRPK2								
Interval_21856	chr3	5657171	5657496	+	0	NA	Intergenic	NA	-305410	LOC102723596								
Interval_27974	chr7	2665452	2665639	+	0	NA	TTS (TTYH3)	NA	-13977	AMZ1								
Interval_10586	chr16	3234930	3235661	+	0	NA	promoter-TSS (ZNF200)	NA	150	ZNF200								
Interval_9885	chr15	69414690	69415190	+	0	NA	intron (KIF23, intron 1 of 22)	NA	694	KIF23								
Interval_6833	chr12	48956385	48956907	+	0	NA	intron (ARF3, intron 1 of 5)	NA	823	ARF3								
Interval_19959	chr20	33401339	33401784	+	0	NA	promoter-TSS (CDK5RAP1)	NA	8	CDK5RAP1								
Interval_22897	chr3	127299251	127299534	+	0	NA	Intergenic	NA	91278	RP11-88I21.2								
Interval_18497	chr2	111705845	111706163	+	0	NA	Intergenic	NA	65130	MIR4771-2								
Interval_3858	chr10	73879634	73879965	+	0	NA	Intergenic	NA	-5217	CAMK2G								
Interval_26514	chr6	28266909	28267505	+	0	NA	promoter-TSS (ZSCAN26)	NA	-152	ZSCAN26								
Interval_26526	chr6	28866319	28867064	+	0	NA	Intergenic	NA	-2935	TRNAA27								
Interval_26458	chr6	27131623	27133287	+	0	NA	promoter-TSS (HIST1H2AG)	NA	341	HIST1H2BJ								
Interval_3239	chr1	248905905	248906966	+	0	NA	intron (PGBD2, intron 1 of 3)	NA	192	PGBD2								
