PeakID (cmd=annotatePeaks.pl ZMYND8.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_20192	chr6	43053789	43053994	+	0	NA	promoter-TSS (CUL7)	NA	59	CUL7								
Interval_21248	chr7	32957232	32957409	+	0	NA	promoter-TSS (FKBP9)	NA	-84	FKBP9								
Interval_21755	chr7	102286240	102286468	+	0	NA	promoter-TSS (SH2B2)	NA	-3153	SH2B2								
Interval_17001	chr3	143001256	143001751	+	0	NA	promoter-TSS (U2SURP)	NA	-27	U2SURP								
Interval_21783	chr7	104960970	104961406	+	0	NA	intron (LOC101927902, intron 1 of 1)	NA	20232	LOC101927902								
Interval_20013	chr6	33317668	33317930	+	0	NA	promoter-TSS (ZBTB22)	NA	-64	ZBTB22								
Interval_4121	chr11	66856112	66856687	+	0	NA	promoter-TSS (LRFN4)	NA	-1006	LRFN4								
Interval_7050	chr15	31443721	31444249	+	0	NA	Intergenic	NA	117105	KLF13								
Interval_957	chr1	77779579	77779805	+	0	NA	promoter-TSS (FAM73A)	NA	68	FAM73A								
Interval_21495	chr7	73587708	73588291	+	0	NA	Intergenic	NA	-9682	TBL2								
Interval_18041	chr4	138761766	138762015	+	0	NA	Intergenic	NA	-253869	CCRN4L								
Interval_5946	chr13	24922593	24923281	+	0	NA	promoter-TSS (CENPJ)	NA	-48	CENPJ								
Interval_1768	chr1	186849433	186849678	+	0	NA	intron (PLA2G4A, intron 1 of 17)	NA	-21164	PLA2G4A								
Interval_5793	chr12	123232646	123233732	+	0	NA	promoter-TSS (C12orf65)	NA	49	MPHOSPH9								
Interval_1257	chr1	120942440	120942610	+	0	NA	promoter-TSS (RNVU1-4)	NA	-75	RNVU1-4								
Interval_4085	chr11	65903008	65903201	+	0	NA	Intergenic	NA	-2587	FOSL1								
Interval_22018	chr7	149065823	149066110	+	0	NA	Intergenic	NA	24811	ZNF786								
Interval_21553	chr7	76291656	76291955	+	0	NA	Intergenic	NA	-10753	HSPB1								
Interval_13332	chr2	101038578	101038808	+	0	NA	intron (TBC1D8, intron 6 of 19)	NA	36464	RPL31								
Interval_16281	chr3	45388407	45388699	+	0	NA	promoter-TSS (LARS2)	NA	-8	LARS2								
Interval_19085	chr5	142713249	142713532	+	0	NA	Intergenic	NA	-2815	LOC101926975								
Interval_11765	chr19	38020405	38020725	+	0	NA	intron (SIPA1L3, intron 1 of 21)	NA	113337	SIPA1L3								
Interval_17297	chr3	192835944	192836221	+	0	NA	intron (MB21D2, intron 1 of 1)	NA	82079	MB21D2								
Interval_15469	chr22	25564229	25564419	+	0	NA	promoter-TSS (ADRBK2)	NA	447	LOC100996404								
Interval_23784	chr9	93576205	93576468	+	0	NA	promoter-TSS (PHF2)	NA	-298	PHF2								
Interval_4306	chr11	77151978	77152463	+	0	NA	intron (MYO7A, intron 4 of 48)	NA	23964	MYO7A								
