chr	start	end	interval_id	num_peaks	num_samples	MV411_1_581_R1.bool	MV411_2_614_R1.bool	MV411_4_627_R1.bool	MV411_1_581_R1.fc	MV411_2_614_R1.fc	MV411_4_627_R1.fc	MV411_1_581_R1.qval	MV411_2_614_R1.qval	MV411_4_627_R1.qval	MV411_1_581_R1.pval	MV411_2_614_R1.pval	MV411_4_627_R1.pval	MV411_1_581_R1.start	MV411_2_614_R1.start	MV411_4_627_R1.start	MV411_1_581_R1.end	MV411_2_614_R1.end	MV411_4_627_R1.end	MV411_1_581_R1.summit	MV411_2_614_R1.summit	MV411_4_627_R1.summit
chr1	10087	10317	Interval_1	1	1	FALSE	TRUE	FALSE	NA	5.91491	NA	NA	6.74843	NA	NA	10.68008	NA	NA	10087	NA	NA	10317	NA	NA	102	NA
chr1	180760	181047	Interval_2	1	1	FALSE	TRUE	FALSE	NA	4.84395	NA	NA	6.83359	NA	NA	10.76925	NA	NA	180760	NA	NA	181047	NA	NA	134	NA
chr1	1013333	1013492	Interval_3	1	1	TRUE	FALSE	FALSE	5.69151	NA	NA	8.87529	NA	NA	12.9521	NA	NA	1013333	NA	NA	1013492	NA	NA	81	NA	NA
chr1	1371308	1371597	Interval_4	2	2	TRUE	TRUE	FALSE	5.89903	9.2155	NA	6.67942	22.70332	NA	10.65282	27.24254	NA	1371379	1371308	NA	1371512	1371597	NA	44	134	NA
chr1	2212501	2212878	Interval_5	2	2	TRUE	TRUE	FALSE	6.55961	9.69585	NA	7.00582	16.02011	NA	10.99683	20.35403	NA	2212570	2212501	NA	2212736	2212878	NA	73	99	NA
chr1	2234575	2234831	Interval_6	1	1	FALSE	TRUE	FALSE	NA	7.60278	NA	NA	11.12369	NA	NA	15.27063	NA	NA	2234575	NA	NA	2234831	NA	NA	122	NA
chr1	3171168	3171350	Interval_7	1	1	TRUE	FALSE	FALSE	4.19763	NA	NA	3.24501	NA	NA	7.00116	NA	NA	3171168	NA	NA	3171350	NA	NA	107	NA	NA
chr1	5220940	5221204	Interval_8	3	3	TRUE	TRUE	TRUE	7.32256	7.37574	8.59367	10.20742	12.07388	16.15384	14.33344	16.26022	20.83047	5221002	5220940	5221003	5221130	5221204	5221162	70	101	86
chr1	6743818	6744125	Interval_9	2	2	TRUE	TRUE	FALSE	9.65063	6.95871	NA	14.93184	9.61749	NA	19.22575	13.7038	NA	6743892	6743818	NA	6744054	6744125	NA	98	226	NA
chr1	6784484	6784725	Interval_10	2	2	TRUE	TRUE	FALSE	10.93268	6.29472	NA	18.60469	7.36494	NA	22.99035	11.32623	NA	6784511	6784484	NA	6784715	6784725	NA	92	160	NA
chr1	7555082	7555280	Interval_11	2	2	FALSE	TRUE	TRUE	NA	6.33284	5.04073	NA	7.05085	3.59332	NA	11.00374	7.66298	NA	7555082	7555085	NA	7555280	7555240	NA	95	85
chr1	8026245	8026437	Interval_12	2	2	TRUE	TRUE	FALSE	7.87153	4.52316	NA	10.23053	3.32912	NA	14.36409	7.00015	NA	8026245	8026260	NA	8026437	8026434	NA	114	99	NA
chr1	8395593	8395855	Interval_13	2	2	TRUE	TRUE	FALSE	6.14317	4.28719	NA	7.44523	3.47481	NA	11.45795	7.16285	NA	8395714	8395593	NA	8395853	8395855	NA	38	125	NA
chr1	8712790	8712909	Interval_14	1	1	FALSE	FALSE	TRUE	NA	NA	6.16466	NA	NA	9.1835	NA	NA	13.58947	NA	NA	8712790	NA	NA	8712909	NA	NA	54
chr1	8713072	8713191	Interval_15	1	1	TRUE	FALSE	FALSE	5.84276	NA	NA	4.95532	NA	NA	8.82831	NA	NA	8713072	NA	NA	8713191	NA	NA	76	NA	NA
chr1	8931406	8931610	Interval_16	1	1	FALSE	TRUE	FALSE	NA	7.65194	NA	NA	9.90968	NA	NA	14.00214	NA	NA	8931406	NA	NA	8931610	NA	NA	109	NA
chr1	9069617	9069996	Interval_17	2	2	TRUE	TRUE	FALSE	6.99692	8.41421	NA	8.05279	12.45037	NA	12.09366	16.65527	NA	9069617	9069737	NA	9069894	9069996	NA	173	125	NA
chr1	9425889	9426158	Interval_18	3	3	TRUE	TRUE	TRUE	7.4573	10.98815	6.87702	9.16335	20.92597	7.77736	13.2544	25.4097	12.10948	9425937	9425889	9425932	9426073	9426158	9426095	31	117	70
chr1	9759584	9759737	Interval_19	1	1	TRUE	FALSE	FALSE	6.40058	NA	NA	7.48999	NA	NA	11.50451	NA	NA	9759584	NA	NA	9759737	NA	NA	106	NA	NA
chr1	10067102	10067305	Interval_20	3	3	TRUE	TRUE	TRUE	10.77645	6.85951	8.89892	19.46144	11.13569	15.61602	23.86974	15.28686	20.26711	10067107	10067102	10067133	10067286	10067305	10067265	83	115	68
chr1	10400631	10400829	Interval_21	1	1	FALSE	TRUE	FALSE	NA	5.83589	NA	NA	6.27443	NA	NA	10.17497	NA	NA	10400631	NA	NA	10400829	NA	NA	102	NA
chr1	10965791	10965931	Interval_22	1	1	TRUE	FALSE	FALSE	8.05482	NA	NA	12.31985	NA	NA	16.52468	NA	NA	10965791	NA	NA	10965931	NA	NA	76	NA	NA
chr1	11790853	11791178	Interval_23	3	3	TRUE	TRUE	TRUE	10.28726	15.61143	11.04275	17.53924	40.29546	23.58408	21.9024	45.26129	28.46618	11790952	11790853	11790940	11791139	11791178	11791147	107	168	113
chr1	12180368	12180533	Interval_24	1	1	FALSE	TRUE	FALSE	NA	6.68048	NA	NA	8.75221	NA	NA	12.79424	NA	NA	12180368	NA	NA	12180533	NA	NA	73	NA
chr1	12528338	12528512	Interval_25	1	1	FALSE	TRUE	FALSE	NA	5.59662	NA	NA	5.57359	NA	NA	9.41799	NA	NA	12528338	NA	NA	12528512	NA	NA	73	NA
chr1	12528598	12528839	Interval_26	1	1	FALSE	TRUE	FALSE	NA	6.26284	NA	NA	7.67774	NA	NA	11.66516	NA	NA	12528598	NA	NA	12528839	NA	NA	160	NA
chr1	12617881	12617998	Interval_27	1	1	TRUE	FALSE	FALSE	6.78517	NA	NA	8.10282	NA	NA	12.14674	NA	NA	12617881	NA	NA	12617998	NA	NA	65	NA	NA
chr1	14780445	14780719	Interval_28	3	3	TRUE	TRUE	TRUE	15.58608	14.37485	10.41068	33.20878	33.7981	19.97986	37.90489	38.62402	24.76902	14780468	14780445	14780487	14780719	14780702	14780694	89	126	58
chr1	15258880	15259097	Interval_29	2	2	TRUE	TRUE	FALSE	6.1223	6.66499	NA	5.98827	8.33695	NA	9.92772	12.35322	NA	15258921	15258880	NA	15259041	15259097	NA	63	63	NA
chr1	15328993	15329560	Interval_30	3	3	TRUE	TRUE	TRUE	16.38179	14.86227	8.53052	43.34561	43.26375	18.75765	48.20706	48.28894	23.51211	15329135	15328993	15329209	15329418	15329560	15329393	168	328	92
chr1	16012738	16013136	Interval_31	2	2	TRUE	TRUE	FALSE	13.31021	13.22156	NA	31.32632	30.3923	NA	35.9889	35.145	NA	16012796	16012738	NA	16013092	16013136	NA	115	190	NA
chr1	16013328	16013486	Interval_32	1	1	TRUE	FALSE	FALSE	7.33618	NA	NA	8.97788	NA	NA	13.05576	NA	NA	16013328	NA	NA	16013486	NA	NA	107	NA	NA
chr1	16302799	16302969	Interval_33	1	1	FALSE	TRUE	FALSE	NA	5.07917	NA	NA	3.90131	NA	NA	7.61204	NA	NA	16302799	NA	NA	16302969	NA	NA	79	NA
chr1	17141839	17142013	Interval_34	1	1	FALSE	TRUE	FALSE	NA	5.91306	NA	NA	6.04908	NA	NA	9.94125	NA	NA	17141839	NA	NA	17142013	NA	NA	68	NA
chr1	17569798	17570134	Interval_35	2	2	TRUE	TRUE	FALSE	5.87669	5.91491	NA	8.10542	6.74843	NA	12.15147	10.68008	NA	17569798	17569889	NA	17569961	17570134	NA	56	140	NA
chr1	17630147	17630289	Interval_36	1	1	TRUE	FALSE	FALSE	6.80466	NA	NA	7.38896	NA	NA	11.39433	NA	NA	17630147	NA	NA	17630289	NA	NA	85	NA	NA
chr1	17640499	17640802	Interval_37	2	2	TRUE	TRUE	FALSE	9.41261	7.06842	NA	16.08894	11.08547	NA	20.40476	15.23117	NA	17640525	17640499	NA	17640708	17640802	NA	82	132	NA
chr1	18041450	18041702	Interval_38	2	2	TRUE	TRUE	FALSE	5.80189	5.47114	NA	6.51501	5.37065	NA	10.48557	9.20877	NA	18041571	18041450	NA	18041702	18041617	NA	57	12	NA
chr1	18922349	18922508	Interval_39	1	1	TRUE	FALSE	FALSE	4.50578	NA	NA	4.89594	NA	NA	8.76565	NA	NA	18922349	NA	NA	18922508	NA	NA	78	NA	NA
chr1	19319150	19319381	Interval_40	3	3	TRUE	TRUE	TRUE	11.3411	9.85144	8.24853	19.26973	17.33125	11.85322	23.67413	21.7099	16.3794	19319172	19319150	19319167	19319327	19319381	19319357	60	100	81
chr1	19505276	19505484	Interval_41	1	1	FALSE	TRUE	FALSE	NA	6.72864	NA	NA	8.04514	NA	NA	12.05283	NA	NA	19505276	NA	NA	19505484	NA	NA	109	NA
chr1	20131834	20132135	Interval_42	3	3	TRUE	TRUE	TRUE	10.33301	10.24931	5.37692	16.04405	18.00283	4.42606	20.35922	22.3959	8.56201	20131886	20131834	20131949	20132111	20132135	20132087	109	146	30
chr1	20164788	20164933	Interval_43	1	1	TRUE	FALSE	FALSE	6.48446	NA	NA	8.39744	NA	NA	12.45354	NA	NA	20164788	NA	NA	20164933	NA	NA	77	NA	NA
chr1	21261940	21262169	Interval_44	2	2	TRUE	TRUE	FALSE	5.69151	5.82031	NA	8.87529	9.15853	NA	12.9521	13.22023	NA	21261940	21261965	NA	21262169	21262137	NA	76	68	NA
chr1	21909735	21909937	Interval_45	1	1	FALSE	TRUE	FALSE	NA	5.21904	NA	NA	4.98169	NA	NA	8.78487	NA	NA	21909735	NA	NA	21909937	NA	NA	57	NA
chr1	23691536	23691718	Interval_46	1	1	TRUE	FALSE	FALSE	6.82575	NA	NA	9.37164	NA	NA	13.47116	NA	NA	23691536	NA	NA	23691718	NA	NA	92	NA	NA
chr1	23865687	23865827	Interval_47	1	1	TRUE	FALSE	FALSE	4.43674	NA	NA	3.12264	NA	NA	6.85631	NA	NA	23865687	NA	NA	23865827	NA	NA	101	NA	NA
chr1	24190130	24190583	Interval_48	2	2	TRUE	TRUE	FALSE	10.05807	6.00207	NA	16.10732	8.36709	NA	20.42929	12.38917	NA	24190137	24190130	NA	24190426	24190583	NA	144	146	NA
chr1	24190972	24191222	Interval_49	2	2	TRUE	TRUE	FALSE	9.09756	7.7926	NA	12.18042	10.12585	NA	16.37791	14.23412	NA	24191008	24190972	NA	24191222	24191194	NA	109	74	NA
chr1	24709012	24709230	Interval_50	1	1	TRUE	FALSE	FALSE	7.93577	NA	NA	9.52051	NA	NA	13.62369	NA	NA	24709012	NA	NA	24709230	NA	NA	114	NA	NA
chr1	24770300	24770477	Interval_51	2	2	TRUE	TRUE	FALSE	7.51492	5.30462	NA	8.86225	4.80952	NA	12.93755	8.59757	NA	24770300	24770313	NA	24770427	24770477	NA	68	84	NA
chr1	24971521	24971790	Interval_52	2	2	TRUE	TRUE	FALSE	5.80189	4.00138	NA	6.51501	2.76959	NA	10.48557	6.37929	NA	24971521	24971587	NA	24971696	24971790	NA	60	135	NA
chr1	25022761	25023050	Interval_53	3	3	TRUE	TRUE	TRUE	10.77645	7.65459	6.63788	19.46144	11.65374	7.84805	23.86974	15.82649	12.18118	25022838	25022761	25022911	25023050	25023041	25023038	114	136	24
chr1	25549448	25549819	Interval_54	3	3	TRUE	TRUE	TRUE	16.61768	18.94508	10.11224	36.34986	49.31348	19.4611	41.10237	54.4491	24.23245	25549460	25549448	25549520	25549818	25549819	25549717	165	186	93
chr1	25699524	25699780	Interval_55	2	2	TRUE	TRUE	FALSE	6.1223	6.95871	NA	5.98827	9.61749	NA	9.92772	13.7038	NA	25699583	25699524	NA	25699763	25699780	NA	83	125	NA
chr1	26016918	26017114	Interval_56	1	1	TRUE	FALSE	FALSE	13.16394	NA	NA	25.84026	NA	NA	30.39539	NA	NA	26016918	NA	NA	26017114	NA	NA	103	NA	NA
chr1	26120040	26120214	Interval_57	1	1	TRUE	FALSE	FALSE	8.16559	NA	NA	10.69805	NA	NA	14.84736	NA	NA	26120040	NA	NA	26120214	NA	NA	94	NA	NA
chr1	26378255	26378572	Interval_58	1	1	FALSE	TRUE	FALSE	NA	5.19507	NA	NA	4.06195	NA	NA	7.79667	NA	NA	26378255	NA	NA	26378572	NA	NA	170	NA
chr1	26385656	26385901	Interval_59	3	3	TRUE	TRUE	TRUE	11.78372	9.89507	6.44825	19.99374	16.87847	7.21958	24.41295	21.23488	11.5289	26385686	26385656	26385757	26385901	26385899	26385869	116	131	75
chr1	26744130	26744459	Interval_60	3	3	TRUE	TRUE	TRUE	16.72308	14.89709	6.87442	44.72938	41.87363	11.87794	49.61203	46.87382	16.40859	26744184	26744130	26744214	26744408	26744459	26744370	107	140	90
chr1	27112141	27112309	Interval_61	1	1	FALSE	TRUE	FALSE	NA	4.00138	NA	NA	2.76959	NA	NA	6.37929	NA	NA	27112141	NA	NA	27112309	NA	NA	42	NA
chr1	27155455	27155626	Interval_62	1	1	FALSE	TRUE	FALSE	NA	4.88777	NA	NA	3.89019	NA	NA	7.60041	NA	NA	27155455	NA	NA	27155626	NA	NA	138	NA
chr1	27525526	27525700	Interval_63	1	1	FALSE	TRUE	FALSE	NA	5.71626	NA	NA	7.48952	NA	NA	11.46207	NA	NA	27525526	NA	NA	27525700	NA	NA	115	NA
chr1	27659643	27659831	Interval_64	1	1	FALSE	TRUE	FALSE	NA	5.77317	NA	NA	5.84972	NA	NA	9.71063	NA	NA	27659643	NA	NA	27659831	NA	NA	43	NA
chr1	30754732	30755002	Interval_65	2	2	TRUE	TRUE	FALSE	9.21476	8.24544	NA	16.79448	18.5509	NA	21.13372	22.96843	NA	30754781	30754732	NA	30754937	30755002	NA	58	110	NA
chr1	30888604	30888726	Interval_66	1	1	TRUE	FALSE	FALSE	5.80189	NA	NA	6.51501	NA	NA	10.48557	NA	NA	30888604	NA	NA	30888726	NA	NA	68	NA	NA
chr1	31028222	31028486	Interval_67	2	2	TRUE	TRUE	FALSE	7.99547	7.61875	NA	9.61565	9.85609	NA	13.72127	13.94734	NA	31028233	31028222	NA	31028480	31028486	NA	167	139	NA
chr1	31111331	31111535	Interval_68	1	1	FALSE	TRUE	FALSE	NA	4.52316	NA	NA	3.32912	NA	NA	7.00015	NA	NA	31111331	NA	NA	31111535	NA	NA	135	NA
chr1	31446099	31446308	Interval_69	1	1	TRUE	FALSE	FALSE	10.49538	NA	NA	17.34624	NA	NA	21.70099	NA	NA	31446099	NA	NA	31446308	NA	NA	71	NA	NA
chr1	31613974	31614173	Interval_70	1	1	FALSE	TRUE	FALSE	NA	7.03208	NA	NA	9.74236	NA	NA	13.83155	NA	NA	31613974	NA	NA	31614173	NA	NA	95	NA
chr1	32013556	32013689	Interval_71	1	1	TRUE	FALSE	FALSE	3.91779	NA	NA	2.53362	NA	NA	6.2302	NA	NA	32013556	NA	NA	32013689	NA	NA	65	NA	NA
chr1	32066477	32066764	Interval_72	3	3	TRUE	TRUE	TRUE	11.94506	8.48796	6.16466	26.27087	19.57325	9.1835	30.83341	24.01903	13.58947	32066508	32066477	32066510	32066764	32066761	32066741	112	109	94
chr1	32100532	32100659	Interval_73	1	1	TRUE	FALSE	FALSE	4.94662	NA	NA	4.4735	NA	NA	8.32061	NA	NA	32100532	NA	NA	32100659	NA	NA	107	NA	NA
chr1	32992384	32992739	Interval_74	3	3	TRUE	TRUE	TRUE	7.25831	5.65591	5.85556	8.45989	5.33779	5.52328	12.51973	9.1722	9.72249	32992558	32992426	32992384	32992739	32992703	32992494	76	50	77
