PeakID (cmd=annotatePeaks.pl LMO2.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_19110	chr6	125301439	125302008	+	0	NA	exon (LOC102723327, exon 1 of 2)	NA	108	LOC102723327								
Interval_16482	chr4	15660178	15660365	+	0	NA	promoter-TSS (FBXL5)	NA	-4859	FBXL5								
Interval_15297	chr3	39178149	39178328	+	0	NA	Intergenic	NA	14348	XIRP1								
Interval_2603	chr10	69068180	69068599	+	0	NA	Intergenic	NA	-19683	SRGN								
Interval_20472	chr7	157644041	157644220	+	0	NA	intron (PTPRN2, intron 13 of 21)	NA	-69760	MIR153-2								
Interval_15523	chr3	50321226	50321821	+	0	NA	promoter-TSS (HYAL2)	NA	1327	HYAL2								
Interval_15274	chr3	36993490	36994328	+	0	NA	promoter-TSS (EPM2AIP1)	NA	449	MLH1								
Interval_8078	chr16	68264153	68264983	+	0	NA	promoter-TSS (SLC7A6)	NA	52	SLC7A6								
Interval_22111	chr9	124257978	124259958	+	0	NA	intron (NEK6, intron 1 of 9)	NA	-27420	NEK6								
Interval_10930	chr19	19821158	19821844	+	0	NA	intron (ZNF506, intron 1 of 2)	NA	250	ZNF506								
Interval_13882	chr20	41008408	41008623	+	0	NA	Intergenic	NA	-20307	TOP1								
Interval_10012	chr18	62722051	62722420	+	0	NA	intron (PHLPP1, intron 1 of 16)	NA	6796	PHLPP1								
Interval_16799	chr4	102867783	102868885	+	0	NA	promoter-TSS (CISD2)	NA	40200	CISD2								
Interval_19218	chr6	144284863	144285251	+	0	NA	Intergenic	NA	-45768	UTRN								
Interval_16744	chr4	87005957	87006136	+	0	NA	promoter-TSS (AFF1)	NA	69754	AFF1								
Interval_10408	chr19	5717973	5720640	+	0	NA	intron (LONP1, intron 1 of 17)	NA	1146	LONP1								
Interval_7852	chr16	31116920	31117312	+	0	NA	promoter-TSS (KAT8)	NA	-548	KAT8								
Interval_22868	chrX	130171266	130171769	+	0	NA	promoter-TSS (RAB33A)	NA	-282	RAB33A								
Interval_20371	chr7	148883705	148884283	+	0	NA	promoter-TSS (EZH2)	NA	-33474	EZH2								
Interval_20007	chr7	77799012	77799398	+	0	NA	promoter-TSS (TMEM60)	NA	362	PHTF2								
Interval_4311	chr11	119120884	119121241	+	0	NA	promoter-TSS (HINFP)	NA	-779	HINFP								
Interval_14722	chr22	36860746	36863196	+	0	NA	intron (NCF4, intron 1 of 8)	NA	983	NCF4								
Interval_2034	chr1	228406175	228406847	+	0	NA	exon (TRIM11, exon 1 of 6)	NA	305	TRIM11								
Interval_7758	chr16	29790798	29791233	+	0	NA	promoter-TSS (KIF22)	NA	302	KIF22								
Interval_1767	chr1	201154211	201154421	+	0	NA	exon (TMEM9, exon 1 of 5)	NA	239	TMEM9								
Interval_5379	chr12	121450982	121451164	+	0	NA	intron (KDM2B, intron 13 of 22)	NA	-6726	MIR7107								
Interval_7895	chr16	47565581	47565730	+	0	NA	intron (PHKB, intron 8 of 31)	NA	104356	PHKB								
