#Column descriptions							
#Cluster_ID: Motif cluster number							
#Name: Cluster name (motif, DBD or individual TF gene names)							
#DBD: DNA-binding domain family							
#Seed_motif: Motif to which other cluster members are aligned 							
#Total_width: Total with of all aligned motifs within cluster							
#Consensus_left: Left boundary of archetype motif							
#Consensus_right: Right boundary of archetype motif							
#Cluster_size: Number of motifs in cluster							
							
Cluster_ID	Name	DBD	Seed_motif	Total_width	Consensus_left	Consensus_right	Cluster_size
284	AHR	bHLH	AHR_HUMAN.H11MO.0.B	9	2	8	3
139	AIRE	not_classified	AIRE_HUMAN.H11MO.0.C	18	2	17	2
54	AP1/1	bZIP	ATF3_MOUSE.H11MO.0.A	17	4	12	41
53	AP1/2	bZIP	BACH1_HUMAN.H11MO.0.A	19	4	15	12
88	ARI5A	ARID	Arid5a_MA0602.1	14	2	10	1
86	ARI5B	ARID	ARI5B_HUMAN.H11MO.0.C	13	2	12	2
138	BATF	bZIP	BATF3_HUMAN.H11MO.0.B	19	2	16	4
169	BCL6/1	C2H2	BCL6B_C2H2_1	17	0	16	2
170	BCL6/2	C2H2	BCL6_HUMAN.H11MO.0.A	14	2	13	3
52	CCAAT/CEBP	bZIP	CEBPA_HUMAN.H11MO.0.A	14	2	11	37
200	CENBP	CENPB	CENPB_CENPB_1	15	0	15	2
23	CPEB1	RRM	CPEB1_RRM_1	11	1	9	3
49	CREB/ATF/1	bZIP	ATF1_HUMAN.H11MO.0.B	17	5	14	23
50	CREB/ATF/2	bZIP	ATF7_MA0834.1	18	4	14	15
51	CREB/ATF/3	bZIP	ATF4_HUMAN.H11MO.0.A	14	3	13	8
61	CREB3/XBP1	bZIP	ATF6A_HUMAN.H11MO.0.B	17	2	13	11
265	CTCF	C2H2	CTCFL_HUMAN.H11MO.0.A	20	3	17	7
14	CUX/1	CUT	CUX1_CUT_3	14	3	12	18
16	CUX/2	CUT	CUX1_CUT_2	20	2	20	4
15	CUX/3	CUT	CUX1_CUT_1	17	0	17	1
17	CUX/4	CUT	CUX2_MOUSE.H11MO.0.C	11	1	10	1
215	DDIT3+CEBPA	bZIP	Ddit3+Cebpa_MA0019.1	12	3	12	1
90	DMRT1	DM	DMRT1_MOUSE.H11MO.0.C	17	2	15	2
214	DMRT3	DM	DMRT3_MA0610.1	11	2	9	1
186	E2F/1	E2F	E2F1_E2F_1	18	2	16	15
156	E2F/2	E2F	E2F1_HUMAN.H11MO.0.A	15	4	12	14
157	E2F/3	E2F	E2F7_E2F_1	14	1	13	4
158	E2F/4	E2F	E2F2_HUMAN.H11MO.0.B	10	1	9	4
174	EBF1	EBF	COE1_HUMAN.H11MO.0.A	15	3	13	4
68	Ebox/CACCTG	bHLH	FIGLA_MA0820.1	12	2	9	19
58	Ebox/CACGTG/1	bHLH	ARNTL_bHLH_1	26	9	18	68
59	Ebox/CACGTG/2	bHLH	CLOCK_HUMAN.H11MO.0.C	18	6	15	17
63	Ebox/CAGATGG	bHLH	ATOH1_HUMAN.H11MO.0.B	21	4	18	18
65	Ebox/CAGCTG	bHLH	ASCL1_HUMAN.H11MO.0.A	18	3	12	37
62	Ebox/CATATG	bHLH	Atoh1.mouse_bHLH_1	12	1	10	22
111	EGR	C2H2	EGR1_C2H2_1	16	2	13	13
98	ETS/1	ETS	EHF_ETS_1	25	7	17	71
96	ETS/2	ETS	EHF_HUMAN.H11MO.0.B	18	3	14	24
241	EVI1/MECOM	C2H2	EVI1_HUMAN.H11MO.0.B	16	1	14	3
117	EWSR1/FLI1	ETS	EWSR1-FLI1_MA0149.1	18	0	17	1
122	FEZF1	C2H2	FEZF1_HUMAN.H11MO.0.C	12	2	11	1
76	FOX/1	forkhead	FOXH1_HUMAN.H11MO.0.A	11	0	8	2
77	FOX/2	forkhead	FOXO1_forkhead_2	14	0	14	4
78	FOX/3	forkhead	FOXI1_forkhead_2	17	2	16	4
79	FOX/4	forkhead	ANDR_HUMAN.H11MO.0.A	23	10	20	31
80	FOX/5	forkhead	FOXC1_forkhead_1	22	5	17	51
87	FOX/6	forkhead	FOXB1_forkhead_2	18	3	15	5
164	FOX/7	forkhead	FOXO1_forkhead_3	14	1	11	4
203	FOX/8	forkhead	FOXG1_forkhead_2	12	1	11	5
279	FOX/9	forkhead	FOXB1_forkhead_1	14	1	13	1
242	GATA	C2H2	GATA1+TAL1_MA0140.2	22	4	14	23
113	GC-tract	C2H2	KLF15_HUMAN.H11MO.0.A	30	6	26	13
201	GCM	GCM	GCM1_GCM_1	17	1	12	6
181	GFI	C2H2	GFI1B_HUMAN.H11MO.0.A	12	2	10	6
262	GLI	C2H2	GLI1_MOUSE.H11MO.0.C	17	5	15	10
261	GLIS	C2H2	GLIS1_C2H2_1	16	1	15	6
223	GMEB2/1	SAND	GMEB2_SAND_2	14	1	14	1
277	GMEB2/2	SAND	GMEB2_MA0862.1	17	5	12	4
278	GMEB2/3	SAND	GMEB2_SAND_3	15	1	15	1
258	GRHL	CP2	GRHL1_CP2_1	20	5	17	9
148	HAND1	bHLH	HAND1_MOUSE.H11MO.0.C	17	2	16	2
1	HD/1	homeodomain	LHX6_homeodomain_3	12	0	12	2
10	HD/10	homeodomain	HNF1A_HUMAN.H11MO.0.C	15	1	14	9
11	HD/11	homeodomain	MEOX2_homeodomain_3	14	1	13	1
12	HD/12	homeodomain	PBX1_HUMAN.H11MO.0.A	17	3	13	7
18	HD/13	homeodomain	CDX1_HUMAN.H11MO.0.C	8	1	7	2
19	HD/14	homeodomain	HXA10_HUMAN.H11MO.0.C	14	2	11	9
20	HD/15	homeodomain	HXA1_HUMAN.H11MO.0.C	10	1	10	2
21	HD/16	homeodomain	HXB7_HUMAN.H11MO.0.C	15	4	13	8
22	HD/17	homeodomain	HOXA10_homeodomain_1	12	1	10	24
24	HD/18	homeodomain	Arid3a_MA0151.1	13	3	12	32
25	HD/19	homeodomain	OTX1_homeodomain_1	15	2	13	3
2	HD/2	homeodomain	ALX3_MA0634.1	26	8	16	186
26	HD/20	homeodomain	CRX_HUMAN.H11MO.0.B	17	6	12	30
27	HD/21	homeodomain	NKX28_HUMAN.H11MO.0.C	9	1	8	2
28	HD/22	homeodomain	NKX2-3_MA0672.1	13	3	11	14
204	HD/23	homeodomain	IRX2_homeodomain_1	12	1	11	3
205	HD/24	homeodomain	Rhox11.mouse_homeodomain_1	17	4	13	2
210	HD/25	homeodomain	HMBOX1_MA0895.1	10	1	9	2
3	HD/3	homeodomain	VENTX_homeodomain_2	21	3	20	1
4	HD/4	homeodomain	BARX1_MOUSE.H11MO.0.C	17	5	13	17
5	HD/5	homeodomain	BARX1_homeodomain_1	21	2	18	6
6	HD/6	homeodomain	BARHL2_MA0635.1	18	1	16	11
7	HD/7	homeodomain	EMX1_homeodomain_2	14	0	14	5
8	HD/8	homeodomain	ALX1_HUMAN.H11MO.0.B	13	1	12	26
9	HD/9	homeodomain	Lhx3_MA0135.1	13	1	12	1
64	HEN1	bHLH	HEN1_HUMAN.H11MO.0.C	20	2	18	2
187	HIC/1	C2H2	HIC2_C2H2_1	18	1	15	5
243	HIC/2	C2H2	HIC1_HUMAN.H11MO.0.C	9	1	8	2
60	HIF	bHLH	ARNT+HIF1A_MA0259.1	10	1	8	8
274	HINFP1/1	C2H2	HINFP1_C2H2_1	16	1	11	4
275	HINFP1/2	C2H2	HINFP1_C2H2_2	20	0	20	1
276	HINFP1/3	C2H2	HINFP1_C2H2_3	19	0	19	1
185	HLTF	not_classified	HLTF_MA0109.1	10	2	8	1
195	HOMEZ	HOMEZ	HOMEZ_HOMEZ_1	12	1	11	1
249	HSF	HSF	HSF1_HSF_1	15	0	13	11
209	HSFY2	HSF	HSFY2_HSF_1	16	1	15	3
266	INSM1	C2H2	INSM1_HUMAN.H11MO.0.C	12	0	12	3
104	IRF/1	IRF	IRF2_MA0051.1	25	7	19	16
106	IRF/2	IRF	BC11A_HUMAN.H11MO.0.A	24	3	19	16
103	IRF/3	IRF	IRF5_IRF_1	16	2	14	3
196	IRF/4	IRF	IRF7_IRF_2	17	1	16	1
155	KAISO	C2H2	KAISO_HUMAN.H11MO.0.A	15	2	14	3
112	KLF/SP/1	C2H2	KLF13_C2H2_1	19	3	14	20
109	KLF/SP/2	C2H2	EGR1_HUMAN.H11MO.0.A	35	10	27	37
285	KLF/SP/3	C2H2	KLF8_HUMAN.H11MO.0.C	9	0	9	2
120	LEF1	HMG	LEF1_HUMAN.H11MO.0.A	18	3	16	4
224	LIN54	CXC	LIN54_MA0619.1	9	1	8	1
55	MAF	bZIP	MAFB_HUMAN.H11MO.0.B	23	3	18	24
239	MBD2	MBD	MBD2_HUMAN.H11MO.0.B	11	1	10	2
97	MECP2	MBD	MECP2_HUMAN.H11MO.0.C	7	0	7	2
183	MEF2	MADS	MEF2A_HUMAN.H11MO.0.A	17	4	14	14
199	MFZ1	C2H2	MZF1_MA0057.1	10	1	9	1
69	MIES	MEIS	MEIS1_MA0498.2	13	1	13	25
206	MTF1	C2H2	MTF1_C2H2_1	17	2	16	4
253	MYB/1	MYB	MYBL1_MA0776.1	14	1	12	3
254	MYB/2	MYB	MYBL1_MYB_4	17	2	16	2
255	MYB/3	MYB	MYBL1_MYB_1	15	1	13	3
256	MYB/4	MYB	MYBL1_MYB_3	11	2	10	3
252	MYB/5	MYB	MYBA_MOUSE.H11MO.0.C	15	3	11	4
114	MZF1	C2H2	MZF1_HUMAN.H11MO.0.B	21	4	20	2
101	NFAC/2	NFAT	NFAC1_HUMAN.H11MO.0.B	17	2	14	2
100	NFAT/1	NFAT	NFAC1_MOUSE.H11MO.0.A	15	1	10	8
99	NFAT/2	NFAT	NFAT5_MA0606.1	20	3	18	5
102	NFAT/3	NFAT	NFATC1_NFAT_2	15	0	15	1
168	NFAT/4	NFAT	NFATC1_NFAT_3	14	1	13	1
189	NFI/1	NFI	NFIA_NFI_1	17	2	16	10
188	NFI/2	NFI	NFIA_MA0670.1	11	2	8	3
128	NFI/3	NFI	NFIA_HUMAN.H11MO.0.C	17	2	15	3
160	NFKB/1	NFAT	NFKB1_HUMAN.H11MO.1.B	14	2	12	10
161	NFKB/2	NFAT	NFKB1_MA0105.4	13	1	12	4
159	NFKB/3	NFAT	REL_HUMAN.H11MO.0.B	15	2	14	2
13	NFY	NFY	Dux_MA0611.1	17	5	15	12
30	NR/1	nuclearreceptor	HNF4A_HUMAN.H11MO.0.A	17	2	15	33
39	NR/10	nuclearreceptor	THRB_nuclearreceptor_2	19	1	18	1
40	NR/11	nuclearreceptor	ERR2_MOUSE.H11MO.0.A	26	9	22	10
41	NR/12	nuclearreceptor	COT1_MOUSE.H11MO.0.B	30	2	19	30
42	NR/13	nuclearreceptor	NR2F1_nuclearreceptor_2	22	5	19	16
43	NR/14	nuclearreceptor	NR2E1_nuclearreceptor_1	15	2	14	5
44	NR/15	nuclearreceptor	RXRA+VDR_MA0074.1	16	1	16	6
45	NR/16	nuclearreceptor	NR1H3_HUMAN.H11MO.0.B	20	3	19	20
46	NR/17	nuclearreceptor	ESR1_HUMAN.H11MO.0.A	21	3	18	10
47	NR/18	nuclearreceptor	NR1A4+RXRA_MA1146.1	19	1	18	4
48	NR/19	nuclearreceptor	NR1D1_HUMAN.H11MO.0.B	19	3	14	8
31	NR/2	nuclearreceptor	NR2E3_HUMAN.H11MO.0.C	14	1	14	2
248	NR/20	nuclearreceptor	ANDR_MOUSE.H11MO.0.A	17	2	16	13
32	NR/3	nuclearreceptor	COT1_HUMAN.H11MO.0.C	20	3	17	15
33	NR/4	nuclearreceptor	RXRA_nuclearreceptor_2	14	1	13	5
34	NR/5	nuclearreceptor	THRA_nuclearreceptor_1	18	1	17	2
35	NR/6	nuclearreceptor	NR4A2_nuclearreceptor_2	16	0	15	1
36	NR/7	nuclearreceptor	ERR1_HUMAN.H11MO.0.A	22	2	17	17
37	NR/8	nuclearreceptor	THRB_nuclearreceptor_3	20	1	19	1
38	NR/9	nuclearreceptor	NR4A2_nuclearreceptor_1	17	0	17	1
216	NR2E3	nuclearreceptor	Nr2e3_MA0164.1	7	1	7	1
192	NRF1	CNC-bZIP	NRF1_HUMAN.H11MO.0.A	17	3	14	4
84	OCT4+SOX2	POU	NANOG_HUMAN.H11MO.0.A	17	2	16	7
130	OSR2	C2H2	OSR2_HUMAN.H11MO.0.C	16	3	14	1
240	OVOL1	C2H2	OVOL1_HUMAN.H11MO.0.C	9	0	9	2
257	P53-like/1	P53L	P53_HUMAN.H11MO.0.A	20	2	18	12
233	P53-like/2	P53L	Tp53.mouse_p53l_2	17	0	17	1
234	P53-like/3	P53L	Tp53.mouse_p53l_1	18	0	18	1
283	PAX-halfsite	PAX	Pax2_MA0067.1	8	1	7	1
281	PAX/1	PAX	PAX1_MA0779.1	19	1	15	10
282	PAX/2	PAX	PAX5_HUMAN.H11MO.0.A	24	4	21	3
268	PLAG1	C2H2	PLAG1_MA0163.1	14	0	14	1
85	POU/1	POU	PO2F1_HUMAN.H11MO.0.C	18	5	14	24
82	POU/2	POU	POU1F1_POU_1	19	4	16	12
83	POU/3	POU	PIT1_HUMAN.H11MO.0.C	17	2	14	11
105	PRDM1	C2H2	PRDM1_C2H2_1	15	2	13	4
149	PRDM14	C2H2	PRD14_HUMAN.H11MO.0.A	16	2	13	2
176	PRDM16	C2H2	PRD16_MOUSE.H11MO.0.B	10	1	9	1
225	PRDM4	C2H2	PRDM4_C2H2_1	13	0	13	1
116	PRDM5	C2H2	PRDM5_MOUSE.H11MO.0.A	15	2	14	1
131	PRDM9	C2H2	PRDM9_MOUSE.H11MO.0.C	19	1	17	1
238	PROX1	PROX	PROX1_MA0794.1	12	1	11	2
165	RBPJ	not_classified	RBPJ_MA1116.1	14	3	12	4
162	REL-halfsite	NFAT	MZF1_MA0056.1	11	2	9	2
151	REST/NRSF	C2H2	REST_HUMAN.H11MO.0.A	22	2	20	3
247	RFX/1	RFX	RFX1_HUMAN.H11MO.0.B	24	6	20	19
245	RFX/2	RFX	RFX2_RFX_2	15	1	14	4
246	RFX/3	RFX	RFX5_HUMAN.H11MO.0.A	20	4	17	2
179	RUNX/1	RUNX	PEBB_HUMAN.H11MO.0.C	18	5	15	16
178	RUNX/2	RUNX	RUNX2_RUNX_2	18	2	16	2
66	SCRT1	C2H2	SCRT1_C2H2_1	15	2	12	4
180	SIX/1	SIX	SIX1_HUMAN.H11MO.0.A	17	4	15	6
280	SIX/2	SIX	Six3_MA0631.1	17	1	14	1
129	SMAD	SMAD	SMAD3_HUMAN.H11MO.0.B	14	2	12	3
147	SMAD	SMAD	SMAD2+SMAD3+SMAD4_MA0513.1	13	1	12	4
207	SMAD	MAD	SMAD3_MA0795.1	10	1	9	3
250	SMARCA1	MYB/SANT	SMCA1_HUMAN.H11MO.0.C	12	1	11	1
125	SMARCA5	MYB/SANT	SMCA5_HUMAN.H11MO.0.C	24	2	21	4
67	SNAI2	C2H2	SNAI2_C2H2_1	10	2	8	4
89	SOX/1	HMG	SOX10_HUMAN.H11MO.0.B	19	3	16	21
91	SOX/2	HMG	SOX5_HUMAN.H11MO.0.C	8	1	7	3
92	SOX/3	HMG	SOX10_HMG_4	17	2	15	16
93	SOX/4	HMG	SOX10_HMG_1	17	1	16	22
94	SOX/5	HMG	SOX10_HMG_3	17	1	15	14
190	SOX/6	HMG	SOX10_HMG_2	16	0	16	7
191	SOX/7	HMG	SOX9_HMG_3	16	0	16	1
202	SOX/8	HMG	SOX10_HMG_5	16	1	15	4
211	SPDEF/1	ETS	SPDEF_ETS_2	15	1	14	2
212	SPDEF/2	ETS	SPDEF_ETS_3	16	1	15	2
95	SPI	ETS	SPI1_ETS_1	18	2	14	11
150	SPZ1	bHLH-ZIP	Spz1_MA0111.1	11	0	11	1
74	SREBF1	bHLH-ZIP	SRBP1_HUMAN.H11MO.0.A	13	2	11	6
184	SRF	MADS	SRF_HUMAN.H11MO.0.A	18	2	15	5
167	STAT/1	STAT	STAT6_HUMAN.H11MO.0.B	16	3	13	3
171	STAT/2	STAT	STA5A_HUMAN.H11MO.0.A	19	5	14	13
182	TATA	not_classified	TBP_HUMAN.H11MO.0.A	15	1	10	3
70	TBX/1	TBX	BRAC_HUMAN.H11MO.0.A	25	2	18	6
71	TBX/2	TBX	MGA_TBX_2	20	2	19	7
72	TBX/3	TBX	EOMES_TBX_2	22	2	20	5
73	TBX/4	TBX	EOMES_MA0800.1	33	6	29	34
29	TCF/LEF	HMG	LEF1_HMG_1	17	3	13	12
166	TEAD	TEA	TEAD1_HUMAN.H11MO.0.A	19	2	15	14
264	TFAP2/1	TFAP	AP2A_HUMAN.H11MO.0.A	15	3	12	24
263	TFAP2/2	TFAP	TFAP2A_AP2_6	13	1	12	9
259	TFCP2	CP2	TF2L1_MOUSE.H11MO.0.C	19	2	17	2
132	THAP1	not_classified	THAP1_MA0597.1	9	1	9	1
145	YY1	C2H2	TYY1_HUMAN.H11MO.0.A	16	1	12	10
237	ZBED1	C2H2	ZBED1_MA0749.1	13	1	12	2
217	ZBTB14	C2H2	ZBT14_HUMAN.H11MO.0.C	9	1	9	1
175	ZBTB48	C2H2	ZBT48_HUMAN.H11MO.0.C	12	1	10	1
226	ZBTB49	C2H2	ZBTB49_C2H2_1	17	0	16	1
146	ZBTB6	C2H2	ZBTB6_HUMAN.H11MO.0.C	13	0	12	1
267	ZBTB7A	C2H2	ZBT7A_HUMAN.H11MO.0.A	9	1	8	2
244	ZFN121	C2H2	ZN121_HUMAN.H11MO.0.C	20	0	19	1
144	ZFX	C2H2	ZFX_HUMAN.H11MO.0.A	22	7	18	3
273	ZIC	C2H2	ZIC1_C2H2_1	15	1	14	10
110	ZIC/2	C2H2	ZIC1_HUMAN.H11MO.0.B	11	2	10	6
108	ZIM3	C2H2	ZIM3_HUMAN.H11MO.0.C	19	2	16	1
272	ZKSCAN1	C2H2	ZKSC1_HUMAN.H11MO.0.B	19	3	17	2
135	ZNF134	C2H2	ZN134_HUMAN.H11MO.0.C	22	1	21	1
227	ZNF136	C2H2	ZN136_HUMAN.H11MO.0.C	24	1	23	1
143	ZNF140	C2H2	ZN140_HUMAN.H11MO.0.C	24	4	22	1
172	ZNF143	C2H2	ZNF143_C2H2_1	16	1	15	2
173	ZNF143	C2H2	IKZF1_HUMAN.H11MO.0.C	24	3	22	7
208	ZNF146	C2H2	OZF_HUMAN.H11MO.0.C	24	1	23	2
235	ZNF232	C2H2	ZNF232_C2H2_1	19	2	18	1
198	ZNF24	C2H2	ZNF24_MA1124.1	13	1	12	1
219	ZNF250	C2H2	ZN250_HUMAN.H11MO.0.C	20	1	19	1
75	ZNF257	C2H2	ZN257_HUMAN.H11MO.0.C	12	1	11	1
123	ZNF274	C2H2	ZN274_HUMAN.H11MO.0.A	20	0	20	1
