PeakID (cmd=annotatePeaks.pl ZEB2.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_10374	chr2	242088551	242088882	+	0	NA	promoter-TSS (LOC728323)	NA	23	LOC728323								
Interval_1752	chr10	17509098	17509369	+	0	NA	Intergenic	NA	-54824	ST8SIA6								
Interval_7636	chr19	1211546	1211718	+	0	NA	intron (STK11, intron 1 of 9)	NA	5343	STK11								
Interval_349	chr1	23914434	23914654	+	0	NA	intron (CNR2, intron 2 of 2)	NA	-14526	MIR378F								
Interval_5884	chr16	65688519	65688711	+	0	NA	Intergenic	NA	-112315	LINC00922								
Interval_9409	chr2	43717497	43717655	+	0	NA	intron (PLEKHH2, intron 15 of 22)	NA	-41254	LOC728819								
Interval_8938	chr19	50025852	50026038	+	0	NA	promoter-TSS (VRK3)	NA	-10	ZNF473								
Interval_9524	chr2	65940995	65941218	+	0	NA	Intergenic	NA	43484	LOC101927533								
Interval_6565	chr17	35142278	35142464	+	0	NA	promoter-TSS (NLE1)	NA	-141	NLE1								
Interval_12876	chr4	99949182	99949375	+	0	NA	exon (H2AFZ, exon 3 of 4)	NA	1077	H2AFZ								
Interval_2428	chr11	2186817	2187057	+	0	NA	Intergenic	NA	13865	MIR4686								
Interval_9761	chr2	107942690	107942913	+	0	NA	Intergenic	NA	38783	LOC102724762								
Interval_6066	chr16	84726533	84726928	+	0	NA	intron (USP10, intron 2 of 14)	NA	26781	USP10								
Interval_4598	chr14	76863833	76864320	+	0	NA	intron (C14orf166B, intron 8 of 10)	NA	35049	C14orf166B								
Interval_8281	chr19	17384060	17384481	+	0	NA	Intergenic	NA	-6942	PLVAP								
Interval_7900	chr19	7192322	7192591	+	0	NA	intron (INSR, intron 2 of 21)	NA	33582	LOC100996405								
Interval_4170	chr13	28106094	28106304	+	0	NA	Intergenic	NA	-5607	FLT3								
Interval_15076	chr7	67274149	67274365	+	0	NA	Intergenic	NA	28185	PMS2P4								
Interval_10975	chr21	8233101	8233266	+	0	NA	Intergenic	NA	9890	LOC102723570								
Interval_4537	chr14	69317884	69318293	+	0	NA	intron (GALNT16, intron 1 of 14)	NA	58124	GALNT16								
Interval_5692	chr16	29335509	29335815	+	0	NA	intron (SNX29P2, intron 5 of 8)	NA	33375	SNX29P2								
Interval_6812	chr17	55526189	55526489	+	0	NA	Intergenic	NA	63393	LOC102724732								
Interval_15581	chr7	157599608	157600461	+	0	NA	intron (PTPRN2, intron 16 of 22)	NA	-25664	MIR153-2								
Interval_8880	chr19	48899955	48900176	+	0	NA	promoter-TSS (NUCB1)	NA	15	NUCB1								
Interval_4394	chr14	31488160	31488503	+	0	NA	promoter-TSS (GPR33)	NA	-386	GPR33								
Interval_5675	chr16	28478663	28478969	+	0	NA	intron (CLN3, intron 11 of 12)	NA	13266	CLN3								
Interval_10370	chr2	241881132	241881290	+	0	NA	promoter-TSS (AC131097.3)	NA	-152	AC131097.3								
Interval_13332	chr5	76292887	76293152	+	0	NA	intron (SV2C, intron 8 of 12)	NA	-110236	IQGAP2								
Interval_4349	chr14	22556190	22556788	+	0	NA	Intergenic	NA	32748	DAD1								
Interval_13291	chr5	65625023	65625182	+	0	NA	promoter-TSS (TRIM23)	NA	371	TRAPPC13								
Interval_5905	chr16	67246688	67247053	+	0	NA	intron (FHOD1, intron 1 of 21)	NA	597	FHOD1								
Interval_7988	chr19	9930872	9931121	+	0	NA	intron (OLFM2, intron 1 of 5)	NA	5398	OLFM2								
Interval_12394	chr3	179604576	179604838	+	0	NA	promoter-TSS (MRPL47)	NA	-61	MRPL47								
Interval_14000	chr6	21611027	21611384	+	0	NA	Intergenic	NA	17464	SOX4								
Interval_12359	chr3	169863449	169863619	+	0	NA	intron (LRRC31, intron 1 of 7)	NA	6401	LRRC31								
Interval_9099	chr19	55620462	55620704	+	0	NA	TTS (ZNF784)	NA	3992	ZNF784								
Interval_10986	chr21	20998185	20998425	+	0	NA	promoter-TSS (NCAM2)	NA	-195197	LINC00320								
Interval_10681	chr20	37409096	37409566	+	0	NA	Intergenic	NA	17079	LOC102724936								
Interval_10054	chr2	191051939	191052114	+	0	NA	intron (STAT4, intron 14 of 23)	NA	-37776	STAT1								
Interval_1408	chr1	203500421	203500593	+	0	NA	intron (OPTC, intron 5 of 7)	NA	6364	OPTC								
Interval_1872	chr10	46298996	46299250	+	0	NA	intron (ANTXRL, intron 9 of 15)	NA	12126	ANTXRL								
Interval_15744	chr8	22580001	22580310	+	0	NA	promoter-TSS (PDLIM2)	NA	-319	PDLIM2								
Interval_6929	chr17	66759103	66759310	+	0	NA	intron (PRKCA, intron 13 of 16)	NA	-27926	MIR634								
Interval_6938	chr17	67884261	67884431	+	0	NA	intron (BPTF, intron 5 of 30)	NA	58818	BPTF								
Interval_13477	chr5	130540858	130541016	+	0	NA	Intergenic	NA	624411	HINT1								
Interval_1074	chr1	151611789	151612137	+	0	NA	promoter-TSS (SNX27)	NA	-127	SNX27								
Interval_12351	chr3	167520825	167521299	+	0	NA	intron (WDR49, intron 12 of 14)	NA	-46930	SERPINI2								
Interval_5942	chr16	68704431	68704591	+	0	NA	Intergenic	NA	-32781	CDH1								
Interval_3294	chr12	8051159	8051503	+	0	NA	TTS (FOXJ2)	NA	15028	C3AR1								
Interval_13611	chr5	143435304	143435550	+	0	NA	promoter-TSS (NR3C1)	NA	-28745	LOC102723997								
Interval_10618	chr20	32625568	32625850	+	0	NA	Intergenic	NA	26272	C20orf203								
Interval_17129	chr9	130045129	130045287	+	0	NA	Intergenic	NA	-2041	FNBP1								
Interval_9573	chr2	70553229	70553720	+	0	NA	exon (TGFA, exon 1 of 6)	NA	164	TGFA								
Interval_9037	chr19	54343910	54344128	+	0	NA	Intergenic	NA	-4869	LILRA4								
Interval_7131	chr17	81296105	81296318	+	0	NA	promoter-TSS (SLC38A10)	NA	-778	SLC38A10								
Interval_6104	chr16	85982601	85982798	+	0	NA	Intergenic	NA	64303	MIR6774								
Interval_12330	chr3	155854422	155854691	+	0	NA	promoter-TSS (SLC33A1)	NA	-97	SLC33A1								
Interval_4949	chr15	45634661	45635031	+	0	NA	exon (SQRDL, exon 1 of 10)	NA	106	SQRDL								
Interval_14887	chr7	20199515	20199742	+	0	NA	intron (MACC1, intron 1 of 6)	NA	17762	MACC1								
Interval_3688	chr12	81810368	81810526	+	0	NA	Intergenic	NA	-51758	PPFIA2								
Interval_2766	chr11	63997015	63997362	+	0	NA	exon (OTUB1, exon 6 of 7)	NA	-3700	LOC101927673								
Interval_7025	chr17	75941055	75941234	+	0	NA	promoter-TSS (FBF1)	NA	-106	FBF1								
Interval_11245	chr22	23750762	23751196	+	0	NA	exon (ZNF70, exon 1 of 2)	NA	113	ZNF70								
Interval_14250	chr6	43032352	43032568	+	0	NA	Intergenic	NA	10813	RRP36								
Interval_13264	chr5	54517625	54517751	+	0	NA	promoter-TSS (SNX18)	NA	-75	SNX18								
Interval_2739	chr11	62541057	62541354	+	0	NA	intron (AHNAK, intron 1 of 5)	NA	-4763	LOC101927617								
Interval_4388	chr14	31207765	31208240	+	0	NA	promoter-TSS (HECTD1)	NA	58	HECTD1								
Interval_2541	chr11	17351457	17351660	+	0	NA	promoter-TSS (NCR3LG1)	NA	-204	NCR3LG1								
Interval_16962	chr9	112333822	112334027	+	0	NA	promoter-TSS (PTBP3)	NA	44923	PTBP3								
Interval_13809	chr5	179550757	179550924	+	0	NA	exon (RUFY1, exon 1 of 19)	NA	162	RUFY1								
Interval_9709	chr2	97995890	97996327	+	0	NA	promoter-TSS (TMEM131)	NA	-217	TMEM131								
Interval_15436	chr7	131231366	131231591	+	0	NA	intron (MKLN1, intron 2 of 18)	NA	96239	MKLN1-AS								
Interval_11999	chr3	55012355	55012513	+	0	NA	intron (CACNA2D3, intron 33 of 36)	NA	-84389	LRTM1								
Interval_10325	chr2	237931419	237931577	+	0	NA	Intergenic	NA	-35447	UBE2F-SCLY								
Interval_14466	chr6	110475814	110476198	+	0	NA	intron (SLC22A16, intron 1 of 7)	NA	635	SLC22A16								
Interval_9164	chr2	3319752	3320528	+	0	NA	intron (TSSC1, intron 3 of 8)	NA	57742	TSSC1								
Interval_13997	chr6	20719955	20720178	+	0	NA	intron (CDKAL1, intron 5 of 12)	NA	185609	CDKAL1								
Interval_8757	chr19	45456401	45456572	+	0	NA	intron (ERCC1, intron 1 of 8)	NA	-11510	FOSB								
Interval_10023	chr2	177281428	177281651	+	0	NA	Intergenic	NA	-17650	NFE2L2								
Interval_8493	chr19	35909153	35909650	+	0	NA	promoter-TSS (TYROBP)	NA	-886	TYROBP								
