PeakID (cmd=annotatePeaks.pl IKZF1.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_16370	chr18	66026216	66026356	+	0	NA	Intergenic	NA	276034	CDH7								
Interval_13795	chr17	10001346	10001555	+	0	NA	intron (GAS7, intron 2 of 12)	NA	35111	GAS7								
Interval_15953	chr18	23422968	23423284	+	0	NA	intron (TMEM241, intron 2 of 14)	NA	14833	TMEM241								
Interval_20200	chr2	86000302	86000657	+	0	NA	Intergenic	NA	23389	LOC90784								
Interval_22553	chr20	38761747	38762064	+	0	NA	intron (ACTR5, intron 5 of 8)	NA	12230	ACTR5								
Interval_33550	chr8	21059420	21059568	+	0	NA	Intergenic	NA	85508	RP11-421P23.1								
Interval_19055	chr2	3599026	3599170	+	0	NA	intron (COLEC11, intron 1 of 4)	NA	4266	COLEC11								
Interval_26556	chr3	195441826	195442058	+	0	NA	intron (ACAP2, intron 1 of 22)	NA	1146	ACAP2								
Interval_11178	chr15	59350175	59350404	+	0	NA	intron (MYO1E, intron 1 of 27)	NA	22583	MYO1E								
Interval_4128	chr10	42321300	42321498	+	0	NA	Intergenic	NA	46646	LOC441666								
Interval_9966	chr14	63543382	63543568	+	0	NA	promoter-TSS (PPP2R5E)	NA	-35237	PPP2R5E								
Interval_35996	chr9	99182347	99182506	+	0	NA	Intergenic	NA	39538	ALG2								
Interval_9864	chr14	51741721	51741866	+	0	NA	Intergenic	NA	-23483	RP11-280K24.4								
Interval_22684	chr20	46363049	46363232	+	0	NA	exon (SLC35C2, exon 2 of 11)	NA	1318	SLC35C2								
Interval_28039	chr5	17118589	17119013	+	0	NA	Intergenic	NA	-98022	BASP1								
Interval_3264	chr1	224012025	224012239	+	0	NA	intron (LOC101926980, intron 3 of 3)	NA	3470	LOC100287497								
Interval_21358	chr2	215811894	215812212	+	0	NA	intron (LINC00607, intron 1 of 9)	NA	31483	LINC00607								
Interval_23524	chr21	39006370	39006516	+	0	NA	exon (LOC102724740, exon 2 of 3)	NA	4816	LOC102724740								
Interval_30530	chr6	41272058	41272238	+	0	NA	intron (TREM1, intron 2 of 2)	NA	14571	TREM1								
Interval_37042	chrX	1244732	1244953	+	0	NA	Intergenic	NA	-19990	CSF2RA								
Interval_1394	chr1	59564503	59565018	+	0	NA	intron (FGGY, intron 9 of 16)	NA	168531	MIR4711								
Interval_25394	chr3	52244945	52245271	+	0	NA	promoter-TSS (PPM1M)	NA	282	LOC101929054								
Interval_5169	chr10	121171682	121171925	+	0	NA	Intergenic	NA	-6897	LINC01153								
Interval_6760	chr11	86301967	86302442	+	0	NA	promoter-TSS (C11orf73)	NA	-7	C11orf73								
Interval_24018	chr22	35630569	35630735	+	0	NA	Intergenic	NA	-13144	MB								
Interval_34401	chr8	80240681	80240903	+	0	NA	promoter-TSS (MIR5708)	NA	-606	MIR5708								
Interval_21803	chr20	62671	63235	+	0	NA	Intergenic	NA	-24757	DEFB125								
Interval_34997	chr8	127743081	127743468	+	0	NA	Intergenic	NA	7205	MYC								
Interval_31976	chr7	27297321	27297570	+	0	NA	Intergenic	NA	54900	EVX1								
Interval_11592	chr15	77084773	77085511	+	0	NA	Intergenic	NA	-13914	TSPAN3								
Interval_11771	chr15	89363192	89363467	+	0	NA	Intergenic	NA	-4688	MIR9-3								
Interval_29154	chr5	150486494	150486784	+	0	NA	promoter-TSS (LOC102546298)	NA	-647	LOC102546298								
Interval_34461	chr8	90530378	90530586	+	0	NA	Intergenic	NA	75581	LINC01030								
Interval_26565	chr3	196055882	196056217	+	0	NA	intron (TFRC, intron 16 of 18)	NA	26112	TFRC								
Interval_21461	chr2	218710696	218710918	+	0	NA	promoter-TSS (TTLL4)	NA	-38	TTLL4								
Interval_36542	chr9	130448050	130448278	+	0	NA	intron (ASS1, intron 1 of 14)	NA	2994	ASS1								
Interval_21697	chr2	237149976	237150115	+	0	NA	Intergenic	NA	64604	COPS8								
